[0:00:09] su1ryu30: こんちゃー
[0:00:45] shinoseeen: こんぎる、もうこんな時間か
[0:00:45] reethen: guilty38Kon
[0:00:46] sy_brown: 黒初日きたー！
[0:00:46] ぱぐぞぅ: こんぎる
[0:00:46] taaamiii: guilty38Kon
[0:00:47] おろくいお: コンニチハ
[0:00:47] hime_25253: おはよー！！！
[0:00:47] kuzukiru3: こんぎるー
[0:00:49] あひる55: おはようございます！
[0:00:49] negi1942: こんぎるー
[0:00:49] mizutapi_95: こんぎる〜
[0:00:49] o0oakio0o: おはようございます☀️
[0:00:50] tikuwa0110: ごんぎるー
[0:00:50] ajaj1414wa: PopNemo PopNemo PopNemo
[0:00:55] chachamartu: こんぎるー
[0:00:56] うな重うな抜き: 仮眠は出来ましたか
[0:00:57] かふぃーちゃん: こんにちはー！
[0:00:57] ほまれ_668: 今日も今日とて配信感謝
[0:00:59] 鮎の開き: おはよー
[0:01:01] Nightbot: 出来事や発言はすべてロールプレイで起こったフィクションです!指示コメ禁止!鳩コメ禁止!他視点の情報も禁止見かけてもスルーお願いします!
[0:01:02] かるたん: 今日も始まった
[0:01:03] veterues: 遂に黒市民だー
[0:01:04] ら民の社畜: こんぎる！1番狙う？
[0:01:05] あらんえむかーびぃ: www
[0:01:05] nassan46: こんぎる~
[0:01:08] sierra2526: こん
[0:01:10] おチャチャさん: もう5時か
[0:01:10] なぷるす: guilty38Kon
[0:01:10] 1amsat0: www
[0:01:11] はらちゃん3: 17
[0:01:11] riban_island: こんぎる！まだ捕まってませんか？
[0:01:11] ayame_oxo: 実際アラーム
[0:01:11] panpanda5533: アラームです
[0:01:13] あしゅ_1127_: www
[0:01:13] hatoya0210: もう17時か
[0:01:14] muru1113: guilty38Kon guilty38Kon guilty38Kon
[0:01:14] sie911: おはよ
[0:01:14] ruabu: 17時を告げる配信通知
[0:01:16] nimo__00: 結構わかる
[0:01:16] ryu9726: おはよー
[0:01:16] Smaat0430: はーいこんちは
[0:01:17] うな重うな抜き: もう１７時かーｗｗｗ
[0:01:18] Halu0401: 割とその節あります
[0:01:18] pennginn_ta: 思ってるw
[0:01:18] kuzukiru3: アラーム扱いw
[0:01:18] yuu67827: 助かる！！
[0:01:21] rinco1108: 実際アラームにしてます
[0:01:21] ねろやで: 実質アラーム
[0:01:23] はらちゃん3: 17時のお知らせ
[0:01:24] mamoruall: アラーム助かる
[0:01:25] アルエ1124: 17時のアラームではある
[0:01:25] kahiune: 17時ピッタリだからな
[0:01:27] うじちゃ: 配信通知17時のアラームにしてるよ。
[0:01:27] Nightbot: Twitter:https://twitter.com/R6S_guilty
[0:01:28] remuril: 違った？
[0:01:29] 凛君: ほぼアラーム
[0:01:30] ねづき: アラームありがとうございます
[0:01:30] メビー: ついに黒になったか
[0:01:31] おるぅくん: 昨日寝落ちしちゃったからアーカイブみよーっておもったらサブ限なってて泣いたｗｗ
[0:01:31] swift_horse2: 実質アラームやね
[0:01:31] chachamartu: 今日は何番かな
[0:01:32] yurimeru_polaris: 一家に一台ケインオーアラーム
[0:01:33] sie911: 時報だと思ってる
[0:01:36] fufunoki: まじで今回からケインオーの行動制限無くなってバカ楽しみwwwww
[0:01:36] おチャチャさん: 丁度いいし
[0:01:38] yu5965ka: 見守るために仕事早退してきました!
[0:01:39] yura_murasame: 実質アラーム
[0:01:42] 暴れ鹿: おはよー昨日のRPが良すぎてサブスク入ったよー
[0:01:42] EarlGrey_SPR: アラーム機能搭載してますよね？
[0:01:43] 麦畑むぎちゃ: アラームありがたい
[0:01:44] kuzukiru3: 田舎の夕方のサイレンとおなじ
[0:01:44] kayakayb: アラームやね
[0:01:44] 名無し333: 定時のアラーム
[0:01:45] びいち: おはようございます😃
[0:01:45] kakaomame_: 毎日アラーム助かる〜
[0:01:47] shinoseeen: いつも配信ありがとう
[0:01:48] melmephi: ばれたか
[0:01:49] おるぅくん: 認めたw
[0:01:50] chanpon__73: 今日は何番かな？？
[0:01:50] うな重うな抜き: 納得しちゃったｗｗ
[0:01:50] homa0329: 市役所のチャイムと共に
[0:01:54] アーホルン: こんぎる！！
[0:01:56] sabiasava: おはよー
[0:01:57] yukiyukikon: 黒市民生活の始まりだー
[0:01:57] origin070430: 黒の世界にようこそ
[0:01:58] hatoya0210: 最初から声それなんかw
[0:02:00] ぱぬたろ: guilty38Kon
[0:02:04] Okina_xst: こんぎる
[0:02:05] amiiii_go: 時報たすかる
[0:02:05] おもい: 助かります
[0:02:08] にゃんるな: こんぎる
[0:02:08] no___ri: 17時をお知らせします
[0:02:08] うな重うな抜き: ログイン戦争
[0:02:12] sabiasava: いつのまにか黒？
[0:02:13] まめダックス: こんぎる
[0:02:14] karino000: こんぎる！
[0:02:21] sino_kage: こんぎる
[0:02:21] おるぅくん: 時報きたー
[0:02:21] はーちゃん410: guilty38Kon guilty38Kon guilty38Kon
[0:02:24] うな重うな抜き: お。いけた
[0:02:25] ritusuku_rt: DinoDance
[0:02:25] ねづき: ぽーん
[0:02:26] sie911: 黒デビューおめでとーｗびっっっっっっｌ−
[0:02:26] 五芒: guilty38Kon
[0:02:26] mero2213: ギルギル動画
[0:02:34] nebosuke1009: guilty38Kon guilty38Kon guilty38Kon
[0:02:37] おチャチャさん: 今日は何番かな
[0:02:39] sino_kage: 黒市民おめでとうございます
[0:02:42] kihouryu: 見れなかった部を見たくてサブスク入りました
[0:02:43] 如月望満きさらぎのぞみ: guilty38Kon guilty38Kon guilty38Kon
[0:02:44] eaSTARTwind39: ほう
[0:02:46] アルエ1124: まずはログイン勝負
[0:02:47] うな重うな抜き: おとなのじじょう
[0:02:48] ferunora: あ、1番？
[0:02:53] kayakayb: サブスク
[0:02:56] syahal_kun: こんばんわ～
[0:02:56] シャドウハウイン: おはようございます
[0:02:56] おるぅくん: あらま
[0:03:00] 名無し333: あら
[0:03:00] ら民の社畜: え
[0:03:01] ぽつゲームズ: おはよー
[0:03:02] weygw_: チーン
[0:03:02] シャドウハウイン: あらま
[0:03:02] テトりる: あらま
[0:03:02] From774: ほんまや
[0:03:02] ha_7_bi: こんにちは！
[0:03:02] eaSTARTwind39: あら
[0:03:03] chanpon__73: あらら
[0:03:05] jseedv: ほんとだ
[0:03:05] レモンスター: ？｜
[0:03:05] angs192: ほんまや
[0:03:06] ら民の社畜: (´・∀・｀ )ｱﾗﾏｧ
[0:03:07] syahal_kun: 黒市民おめでとうございます！
[0:03:07] うお2: チンベル；；
[0:03:08] たこジュン: ほんとだ
[0:03:09] nikukue: 本当だ
[0:03:09] nanun03: あら
[0:03:09] swift_horse2: 動画化するときにね・・・
[0:03:10] ぼちや: やっと１万たまったのに
[0:03:10] shintanjent: まぁ、しょうがないね
[0:03:11] kuro00000000000000: ほんまや
[0:03:13] ぽつゲームズ: ベル；；
[0:03:13] rukario_nijhol: ほんまや
[0:03:13] melmephi: ありがとう！！
[0:03:14] kuzukiru3: やかましいw
[0:03:15] Smaat0430: ID1をくれ！！
[0:03:15] わらび犬: チンベルよ永遠に
[0:03:15] テトりる: チンベル
[0:03:16] 黒ごまソフト: 動画にするからね…
[0:03:16] らける1380: チンベル押しすぎた...
[0:03:16] amiiii_go: 了解ー
[0:03:19] ayame_oxo: 呼び込み君…
[0:03:19] kunrin_saru: ありがとう！！
[0:03:19] rioirar: チンベルが、、、、、
[0:03:20] おるぅくん: チンベル…
[0:03:20] ぷー汰: やかましいｗ
[0:03:21] epdk114: そこは仕方ない
[0:03:21] xxx4nthemxxx: チーンが…
[0:03:22] はーちゃん410: あらま
[0:03:23] にこにここ: あざす！
[0:03:23] mint_310: ありがとう
[0:03:24] soreaeye: こんちゃ
[0:03:24] betuyama: しゃあなしよw
[0:03:24] ただのばんり: チンチン毎回なるとやかましいか
[0:03:26] ryu031529: 一番かな
[0:03:26] うな重うな抜き: IDwktk
[0:03:28] kuro00000000000000: しゃーなし
[0:03:28] 名無し333: チンベルばいばい
[0:03:29] weygw_: 連携芸だったのに
[0:03:30] アルエ1124: まぁ良きw
[0:03:32] シャドウハウイン: しゃーない
[0:03:33] kirinyuca: 結構なってたからねｗ
[0:03:35] ら民の社畜: 会長のチンベルが、、、
[0:03:39] rioirar: 多すぎてもあれだけど...
[0:03:42] eaSTARTwind39: 確かにうるさい部分があった
[0:03:42] mol_guri: ちょっとね・・・
[0:03:42] スコーンをすこーん: こんぎる
[0:03:43] Smaat0430: いたずらに何度もあってもアレだしな
[0:03:44] maneuver33: うるさかったから無くなってよかった
[0:03:47] たこジュン: チンベル多いと騒がしいからね
[0:03:53] remuril: ベルめっちゃうるさかったもんね
[0:03:55] nebosuke1009: 確かに音がデカかった
[0:03:57] はーちゃん410: サブスクのやつもなくなったのか
[0:04:00] eaSTARTwind39: キャップｗ
[0:04:01] テトりる: まぁうるさくはあった
[0:04:01] 手羽本カヱデ: ありがとうとチンベル忘れないよ……
[0:04:02] ずきぐま: 昨日はお疲れ様でした〜今日も頑張ってくださーい!
[0:04:05] こるりる: 他のもちょっと音量下げてくれたら嬉しい
[0:04:07] kakaomame_: 今日ブースティングしますか？
[0:04:10] mk_masado: 特殊刑事課！
[0:04:19] にこにここ: ありがたい
[0:04:19] アルエ1124: 警察に詰められてる時一生鳴ってたからなw
[0:04:20] ら民の社畜: まぁね
[0:04:20] ぱぬたろ: ほほぉ
[0:04:22] こるりる: ありがてぇ
[0:04:25] toga_pon: たすかる
[0:04:25] うな重うな抜き: ほーい
[0:04:25] たこジュン: そっちのがありがたい
[0:04:26] 麦畑むぎちゃ: Cheer100
[0:04:27] ねづき: ありがたい
[0:04:28] goropy: わーい！
[0:04:29] reo_hi_ragi: こんぎる！
[0:04:30] おもい: ありがとう
[0:04:30] ぁちゃも: たすかる
[0:04:31] つかさ0120: guilty38Kon
[0:04:33] ruterute_016: ありがたい
[0:04:34] せれすん: たすかる
[0:04:35] swift_horse: Cheer1000
[0:04:37] epdk114: たすかる
[0:04:38] kuzukiru3: シリアスブレイクだったからw
[0:04:39] daikimarumaru: アーカイブはこれからずっとサブ限？？
[0:04:40] ラミュゥ: ラミュゥ subscribed at Tier 1. 
[0:04:41] おるぅくん: あれはデカかったｗ
[0:04:41] こるりる: 棒読みちゃんｗｗｗｗ
[0:04:41] eaSTARTwind39: 7か
[0:04:43] mont_blanc1106: 十分うるさいｗ
[0:04:43] ら民の社畜: そう？
[0:04:44] ただのばんり: それはでかいんだw
[0:04:46] mol_guri: いいね
[0:04:46] たこジュン: Cheer100
[0:04:48] ねぎとろドン: ファンの音は残してくださいお願いします
[0:04:52] mint_310: 読み上げの声まぁまぁでかいかw
[0:04:53] スコーンをすこーん: いい感じ
[0:04:53] ただのばんり: ほんとだ
[0:04:53] angs192: 割と大きいｗ
[0:04:54] Smaat0430: 音声はそのままなのね
[0:04:54] melmephi: 棒読みちゃんはかわらなくて草
[0:04:55] せれすん: 大きくはあるｗ
[0:04:56] junjujun: 棒読みちゃんがでかいか
[0:04:59] うな重うな抜き: ７番！？！？
[0:05:01] 黒ごまソフト: ファンの音は据え置き
[0:05:01] のどごし悪男: ほんとだ
[0:05:02] ら民の社畜: 棒読みはデカい
[0:05:02] こるりる: ぎるくんの声より棒読みちゃんのがでかいｗｗ
[0:05:09] wjgdgdt: 7番かw
[0:05:13] Smaat0430: 7かー
[0:05:13] mint_310: うっさ
[0:05:14] おるぅくん: ｗｗｗｗｗ
[0:05:14] ら民の社畜: 7番かぁ
[0:05:14] ritusuku_rt: 7!!
[0:05:14] daikimarumaru: でっかｗ
[0:05:15] なち222: でっっか
[0:05:15] mol_guri: でかいｗｗｗｗ
[0:05:15] スコーンをすこーん: うるさ
[0:05:15] shinoseeen: www
[0:05:16] junjujun: ！？
[0:05:16] ぷー汰: うるさｗｗ
[0:05:16] ふたばかも: でっかwwwwwww
[0:05:17] ayame_oxo: めっちゃでっか
[0:05:17] jseedv: でか
[0:05:17] huyunori: でかw
[0:05:17] ぽつゲームズ: でっかｗｗ
[0:05:17] 逢碧: でっかwwww
[0:05:17] Halu0401: びっくりしたww
[0:05:18] うな重うな抜き: おとでっっか
[0:05:18] nanun03: わ
[0:05:18] bekku1033: でっかw
[0:05:18] nnna_a: でか
[0:05:18] せれすん: でっかｗｗ
[0:05:18] wjgdgdt: でっかw
[0:05:18] miam_1018: でっかwww
[0:05:18] にこにここ: びっくりしたwww
[0:05:19] nekofuji_0343: でか
[0:05:19] sabiasava: www
[0:05:19] ritusuku_rt: でっか
[0:05:19] qpricotton_orca: wwwwwww
[0:05:19] niicccooooooo: でかー
[0:05:19] 黒ごまソフト: ｗｗｗｗ
[0:05:19] roko04137: デカすぎwwww
[0:05:19] ねろやで: でっか
[0:05:20] ねづき: でかーいw
[0:05:20] 白_白: でかいww
[0:05:20] siwo_nj: でっかwwww
[0:05:20] momo_momo0505: wwww
[0:05:20] pippikh: びっくりした
[0:05:20] ぱぬたろ: うるさwww
[0:05:20] rukario_nijhol: 逆にでかくなってなあ？w
[0:05:20] おっとっとくう: えwww
[0:05:20] pakuo_2: 耳壊れた
[0:05:20] ずきぐま: うわぁ！
[0:05:20] hal_8801: でっかｗ
[0:05:21] epopopo_i: radaoBikkuri radaoBikkuri radaoBikkuri
[0:05:21] timuwabuman: くっそでけえ
[0:05:21] つかさ0120: でか
[0:05:21] maneuver33: うるさ
[0:05:21] melmephi: わはははwでかいw
[0:05:21] 09imugi: 全然うるさいｗｗｗｗｗ
[0:05:21] ten9cat: 耳ないなった
[0:05:21] negi1942: でかいぞｗ
[0:05:21] goropy: でっかw
[0:05:21] rei052007: 今日から犯罪ファーム
[0:05:21] nikukue: うっさ
[0:05:22] tanukino_: でっ
[0:05:22] yura_murasame: でっか
[0:05:22] ら民の社畜: でけぇ
[0:05:22] 麦畑むぎちゃ: でっかww
[0:05:23] はーちゃん410: www
[0:05:23] mouse12211: でかw
[0:05:23] kayakayb: うるさ！
[0:05:23] 揚羽田: デッカwww
[0:05:23] eaSTARTwind39: ｗｗｗｗｗｗｗ
[0:05:23] shintanjent: でかー
[0:05:23] kanariatobu: でっか
[0:05:24] ふこうし: でっか
[0:05:25] bestiadraco: 耳壊れた
[0:05:25] スコーンをすこーん: 油断してた
[0:05:26] mero2213: 耳5個なくなった
[0:05:26] おるぅくん: 油断してたw
[0:05:26] aypp1001: でかいwww
[0:05:26] ざじお: deka
[0:05:26] きなこ湯: おっきいよう
[0:05:26] sabiasava: でかー
[0:05:26] kemtya7: でっかww
[0:05:26] あしゅ_1127_: でっかwww
[0:05:26] テトりる: でっか
[0:05:27] Okina_xst: びっくりした
[0:05:27] さつまの: でっかw
[0:05:27] didcfhc: でっかww
[0:05:27] nebosuke1009: でっか
[0:05:28] chocotart_11: でっか
[0:05:28] kotetsu1019: くそうるせぇ！笑
[0:05:28] mamoruall: びっくり！ww
[0:05:28] yunn0921: yunn0921 subscribed at Tier 1. 
[0:05:28] こるりる: みみないなった
[0:05:28] hhh0u0: でかいwwwwww
[0:05:28] おろくいお: むしろでかくなってる
[0:05:29] にゃんるな: wwwwww
[0:05:30] rukario_nijhol: でかくなった？w
[0:05:31] epdk114: でっか
[0:05:31] betuyama: デカすぎの塊やね！
[0:05:31] ら民の社畜: えいえい
[0:05:33] wjgdgdt: 全部でかいw
[0:05:34] remuril: この音も結構でかいよね
[0:05:34] ka_4ko: びっくりしたぁw
[0:05:34] ritusuku_rt: バグ？
[0:05:35] kayakayb: PogBones PogBones PogBones PogBones
[0:05:35] dokukinoco: ビックリしたw
[0:05:38] アルエ1124: 100は小さそうw
[0:05:38] aisu_202: 耳ないたった
[0:05:39] うな重うな抜き: こまくないなった
[0:05:43] ねづき: ナイスデバッグ
[0:05:47] kuzukiru3: 1000だけ？
[0:05:47] shintanjent: 個別設定なのか？？
[0:05:47] 揚羽田: ナイスデバック
[0:05:50] kirikrs: guilty38Kon guilty38Kon guilty38Kon guilty38Kon guilty38Kon guilty38Kon guilty38Kon
[0:05:52] yukiyukikon: さっそく強盗チェイスかな
[0:05:53] くうれい: くうれい subscribed at Tier 1. 
[0:05:54] アーホルン: 鼓膜無くなりましたありがとうございます
[0:05:55] aypp1001: でかくてビビったwwww
[0:05:55] eaSTARTwind39: ｗｗｗｗ
[0:05:56] 名無し333: 草
[0:05:56] epopopo_i: 黒市民だー radaoOme radaoOme radaoOme
[0:05:58] melmephi: どうしてw
[0:05:59] ら民の社畜: 草
[0:06:00] おるぅくん: そんな事あるw
[0:06:00] jseedv: 今わかってよかったね
[0:06:02] 名無し333: radaoKomaku
[0:06:02] はーちゃん410: まさかのピンポイントwww
[0:06:05] Smaat0430: なぜ笑
[0:06:06] なち222: ピンポイントで当たるのすごい
[0:06:06] hal_8801: 金額毎ｗ
[0:06:09] アルエ1124: Cheer5000
[0:06:11] ぱぬたろ: 個別だったのwww
[0:06:11] れいんちゃ: ﾌﾟﾘｽﾞｰ
[0:06:12] bestiadraco: 全部小さくしようw
[0:06:14] がぶ1522: よりにもよってうるさいやつがw
[0:06:14] せれすん: いいシーンで鳴るとちょっともったいないなあ
[0:06:17] shintanjent: デバッグないす
[0:06:18] こるりる: 棒読みちゃんは…
[0:06:20] mikasa4696: guilty38Kon
[0:06:21] turaran1017: アーカイブ見れなくしたんですか？
[0:06:27] remuril: もう犯罪し放題w
[0:06:30] ら民の社畜: そうなんだ
[0:06:33] アルエ1124: 音消えて草
[0:06:36] うな重うな抜き: ID７番ってとんでもねえｎ
[0:06:39] こるりる: (´・ω・`)
[0:06:40] shinoseeen: 音量デカデカホラゲの会場と聞いてきました
[0:06:40] Smaat0430: 5000エグー
[0:06:41] おるぅくん: アーカイブも大人の事情？
[0:06:42] nico_kk_mp: 今日からやり放題チャンネルですか
[0:06:44] ら民の社畜: 5000音消えてる
[0:06:49] 花田ハナタ: Cheer1000
[0:06:51] nichidada: ぎるくんおはよー
[0:06:56] ayame_oxo: wwww
[0:06:57] kajim1205: 昨日面白かったっすー
[0:06:57] おるぅくん: ｗｗｗ
[0:06:59] Halu0401: なんでだw
[0:06:59] swift_horse2: ｗｗｗｗｗ
[0:06:59] mol_guri: ｗｗｗｗ
[0:06:59] eaSTARTwind39: ん？
[0:06:59] なち222: でっっか
[0:06:59] ふたばかも: 変わってねえwwwwwww
[0:07:00] rukario_nijhol: www
[0:07:00] ruabu: ｗｗｗ
[0:07:00] nanun03: ぎゃ
[0:07:02] kemtya7: wwww
[0:07:02] 白_白: wwww
[0:07:02] ぼちや: ｗｗｗｗｗｗ
[0:07:02] kirinyuca: ｗｗｗｗｗ
[0:07:02] kayakayb: でかーい
[0:07:02] せれすん: ｗｗ
[0:07:02] jseedv: でっか
[0:07:02] hal_8801: 1000ｗｗｗ
[0:07:03] no___ri: wwww
[0:07:03] huyunori: やっぱりでかいw
[0:07:03] 黒ごまソフト: でけえｗｗ
[0:07:03] ねづき: ナイスデバッグ
[0:07:03] pippikh: うるさwww
[0:07:04] Okina_xst: wwww
[0:07:04] ずきぐま: まだデカいかも………
[0:07:04] nekomaru_sui: www
[0:07:04] kuzukiru3: なんでw
[0:07:05] kirikrs: うるさwwwwww
[0:07:05] 142cms: wwwww
[0:07:05] _そらら_: 音でっかw
[0:07:05] つかさ0120: wwww
[0:07:06] ぱぬたろ: うるさwww
[0:07:06] kmrh3_: wwwwww
[0:07:07] yura_murasame: うるさwwwww
[0:07:07] sie911: 耳ないなった
[0:07:08] bestiadraco: うるさww
[0:07:08] ら民の社畜: wwwwwwww
[0:07:08] テトりる: 何でぇ
[0:07:08] epopopo_i: radaoW radaoW radaoW
[0:07:09] シャドウハウイン: wwwww
[0:07:10] siwo_nj: wwwwwwww
[0:07:11] hhh0u0: うるさwwwwwwwww
[0:07:11] ayame_oxo: 5000はミュートで1000は爆音ww
[0:07:11] 名無し333: radaoKomaku 鼓膜の予備補充するか…
[0:07:12] おるぅくん: 呪われた1000びっつｗ
[0:07:12] ten9cat: 耳が
[0:07:14] メビー: 1000ビッツの呪い
[0:07:14] swift_horse2: 5000よりでかい1000ビッツｗｗｗ
[0:07:14] うな重うな抜き: 祝なのに呪いｗｗｗ
[0:07:15] mero2213: 配信の音無くなりました
[0:07:17] wjgdgdt: 逆に5000は音なかった
[0:07:17] ら民の社畜: えぇ！？
[0:07:19] れいんちゃ: 歪みか
[0:07:24] はーちゃん410: 1000ビッツ頑なにに小さくなってくれないwww
[0:07:25] 黒ごまソフト: 歪んでるか
[0:07:28] ももいさん: おもろいまである
[0:07:29] ルキ_1961: ルキ_1961 subscribed at Tier 1. 
[0:07:29] sako959: 1コンビニ挟んでもよくね
[0:07:32] harukyabetu_6: 急に音無くなったわ（）
[0:07:33] melmephi: いったん歪みか
[0:07:34] せれすん: ゲーム音より大きいｗ
[0:07:36] nekofuji_0343: 呪われの1000びっつw
[0:07:36] ずきぐま: 今後もサブスク限定？
[0:07:38] _そらら_: ついに黒になったか
[0:07:46] おるぅくん: いいねえｗ
[0:07:49] ふたばかも: チェイスみたい〜〜
[0:07:54] シャドウハウイン: 今日は何するの？
[0:07:54] ruabu: ごみ漁りか
[0:07:55] betuyama: 挨拶がわりにかましますか
[0:07:55] epopopo_i: 1000だけ抑制出来ないか… radaoBigcry
[0:07:58] Yuchica_: コンビニ挟めるようになったの嬉しいね
[0:07:59] suzunone_: 黒バレおめでとうございます！
[0:07:59] あしゅ_1127_: お
[0:08:01] rururu3_: rururu3_ subscribed at Tier 1. 
[0:08:03] sako959: さすがだ
[0:08:05] ant12037: ケインオー自身の声も結構でかいっす
[0:08:05] nichidada: もう無敵の人
[0:08:06] yakuruko_8: 黒おめ！
[0:08:12] kawach_824: 黒おめでとうございます
[0:08:13] うな重うな抜き: 重たい
[0:08:19] たこジュン: まず警察おるんかな
[0:08:20] kikyou_1223: 黒市民おめでー！！
[0:08:21] bestiadraco: 黒なったんだ
[0:08:23] _そらら_: 声でかw
[0:08:28] mobukaruma: 黒ケイン待ってました
[0:08:28] nai_ggty: サプかマグ？
[0:08:29] ぽつゲームズ: せやなｗ
[0:08:29] ら民の社畜: ”やっと”黒ね
[0:08:31] epopopo_i: radaoW radaoW radaoW
[0:08:32] swift_horse2: ｗｗｗｗ
[0:08:32] おるぅくん: ｗｗｗ
[0:08:36] ant12037: wwwwwwwwww
[0:08:37] ayame_oxo: そういや鎮痛剤って作れるの？
[0:08:37] スコーンをすこーん: www
[0:08:38] はーちゃん410: 聞こえないよりはいいのに
[0:08:38] nekofuji_0343: 黒おめでとう綺麗になったね
[0:08:40] mrei___: 黒おめです
[0:08:40] ぱぬたろ: これからはお花もお薬もできるね！
[0:08:40] アカシアくん: サプはまだ？
[0:08:41] ruabu: マガジン、サプ、アサルト
[0:08:43] tanakapiliiiman: www
[0:08:43] ずきぐま: 昨日はどうでしたか？
[0:08:47] aisu_202: 黒市民化おめでつ
[0:08:49] うな重うな抜き: サプ作ったからまぐとかそっち？
[0:08:51] kirikrs: 今後もプリズンに行ったらきょうまくんになるんですか？
[0:08:51] Smaat0430: 一体何を聞きに来てるんだ笑
[0:08:57] おっとっとくう: 今日からやりたい放題？
[0:09:04] おるぅくん: ぶじにえびすくんの脳破壊できてよかったね
[0:09:09] betuyama: プリズンのきょうま君くそおもろかったw
[0:09:11] kajim1205: メカニックも今日でさよならか。。寂しいね
[0:09:18] gyudonman: ずっと昨日のエビの天敵がじわじわきてる
[0:09:19] gyorome_naru: これから楽しみだ
[0:09:19] fufunoki: 今ストグラでケインオーが
[0:09:24] fufunoki: 一番熱い
[0:09:24] keita00616: もう何してもいいケインオーだ
[0:09:29] ら民の社畜: メカニック言わなきゃね
[0:09:40] bestiadraco: 豆やん BibleThump BibleThump
[0:09:55] kamom2457: BibleThump BibleThump
[0:10:00] keita00616: 挨拶はか
[0:10:03] ら民の社畜: BibleThump BibleThump
[0:10:05] mamoruall: guilty38Nayamu guilty38Nayamu
[0:10:07] はむはむ_: guilty38Kon
[0:10:12] satumim: まじか
[0:10:13] ら民の社畜: 豆やん、、、
[0:10:23] aisu_202: BibleThump BibleThump BibleThump
[0:10:25] sabotengg: 今日からできること増えるのか
[0:10:28] うな重うな抜き: ブルハップいいね
[0:10:35] ant12037: あたらしい世界が始まるね
[0:10:41] kuu_09: kuu_09 subscribed at Tier 1. 
[0:10:42] ashigaitai18: コンビニ襲い放題と薬.exe期待！
[0:10:43] おるぅくん: 薬無限回収編
[0:10:45] hiraoroku: 夢が広がる！
[0:10:45] おっとっとくう: 第二章
[0:10:48] シュウ0307: とうとう捕まったんか
[0:10:53] しおらいく: 終始声がウキウキして聞こえるw
[0:10:53] betuyama: 1人犯罪シリーズも解放やね
[0:10:54] bestiadraco: 花摘みチャンネル来るか
[0:10:55] 142cms: 逃げる側のチェイス楽しみにしてます〜
[0:10:56] swift_horse2: チェイスがすごく楽しみ
[0:10:57] iroha010: 薬、犯罪etc
[0:10:57] うな重うな抜き: やっと自分のペースで色んなことが出来る
[0:11:07] 揚羽田: 花1800押収待機
[0:11:15] charlie_drk: 晴れて空き巣チャンネルか
[0:11:25] kawach_824: 特に何ができるようになりましたか？
[0:11:26] ぱぬたろ: やりたい事やってみよー
[0:11:27] うな重うな抜き: あー。確かに
[0:11:31] yuu67827: 楽しみやねー
[0:11:32] bestiadraco: 恒例の白市民ですよも出来なくなってしまったか
[0:11:33] syahal_kun: 新章突入！
[0:11:35] weygw_: やっと本編？
[0:11:36] mikasa4696: 警察にホットドッグ売りにいくか
[0:11:37] calcadle: ケインオー 無限花摘み篇
[0:11:38] sako959: 犯罪編スタートか
[0:11:38] Smaat0430: 長い長い3章の始まり
[0:11:39] gongon_0528: 何かやって、指名手配される前にホットドッグ売りに警察行きたいね？
[0:11:39] たこジュン: レダーや夕コ達に黒になった報告できる
[0:11:39] ant12037: 第3章開幕
