[0:00:24] poopvoov: ดีครับลุง
[0:01:01] dexterx66: ว่าละฝนตกหนัก
[0:01:02] sutthipong2: เพื่อ555
[0:01:02] jowhumm: ลุงๆเข้าผิดเกมป่าว
[0:01:02] atiwitwave: ตัดใจไปแล้วนะเนี้ย
[0:01:02] ROSAE96: หือๆๆๆๆๆๆตี1
[0:01:03] 1mint7: อะไร๊
[0:01:04] 001sor: มาม่าหมดไป2ลูกพี่พึ่งมาน่ะครับ
[0:01:04] beammii_: ห้ะ
[0:01:04] chain_cp0: เคเลยมาตอนนี้
[0:01:04] sobenz: ทุ่มปาปัว
[0:01:05] silawan_: 55555555
[0:01:05] markvictoria556: เยี่ยม
[0:01:05] YesDuck_: โอเค มาจริง
[0:01:05] ampahz_: มาดึกจัด
[0:01:05] alext2z: เข้ เต็มกราฟฟฟฟ
[0:01:06] nrm17: มาไงหวะนะ
[0:01:07] flukeflipflowfive: สุดยอดครับลุง555555
[0:01:07] firstza2540: แม้ลุง
[0:01:08] pongsakling05: เอาดีๆ
[0:01:08] jirasak0_ml: ลุงเอ้ยยย
[0:01:08] jirawat_kiw: กำลังนอนเลย
[0:01:08] rahanon: มาเวลานี้
[0:01:08] lilsamemousxi: หื้ยยยยยยยยย
[0:01:08] namtxn: เพื่ออออ
[0:01:08] suwaphan06: suwaphanE subscribed at Tier 1. They've subscribed for 17 months! 1.30
[0:01:09] momo_sup: ก็ว่าฝนตก
[0:01:09] cosmiccafe: cosmiccafe subscribed at Tier 1. They've subscribed for 21 months! สวัดดีตอนเช้าครับแก่
[0:01:10] Onsupness: อันนี้ทำเพื่ออะไรครับเนี่ย55555555
[0:01:10] pakon223: แหม่
[0:01:11] tasave_345: รักลุงนะจุ๊บฟ
[0:01:11] tinoy5511: วันนี้ตาแก่ดีดอะป่าว
[0:01:12] Diw_Trd: บ้าไปแล้วตี1:32
[0:01:12] phonepasith_bo: คืออะไร
[0:01:13] kivd123123: ไรนิ5555
[0:01:13] kpywwww: เอาดี
[0:01:13] BaNgVeE420: ห้ะ
[0:01:14] mew_x2: ห้ะมาตอนนี้
[0:01:14] Satapat_STP: แก่มาๆ
[0:01:15] bank1103_: ดีมากก
[0:01:15] duepaknam: ว่าล่ะไมฝนตก
[0:01:15] siggakorn: นึกว่าลุงนอนละ
[0:01:17] naringsak_bas: เอาดีลุง
[0:01:17] boy9988765: โอเค
[0:01:17] nrm17: ถึงว่าฝนตก
[0:01:17] stamaing2912: นอนอิ่มละไงเลยดีดี5555
[0:01:18] tonrakkkkk: งงเลย
[0:01:18] minari258: เอาดี
[0:01:18] STARiiX_24: วันรุ่นมีไฟ
[0:01:18] NoahXPM: 1.30
[0:01:18] nay_nay43: มาว่ะป่านนี้
[0:01:18] nbayoungboyy69: เย้ ลุงของจริง ไม่มีวันจัน อัวคารปุ้ปมาปั้บ ยอมรับใจจจจ
[0:01:19] nattaphon_05: มาพรุ้งนี้เถอะ
[0:01:19] thitikarn10: มาตี1ครึ่ง เคเค
[0:01:20] nqueenbee: ห้ะ
[0:01:20] Onsupness: babyju8Rrai babyju8Rrai babyju8Rrai
[0:01:20] linlin_loveyou: เค55555
[0:01:21] njrphurichai: วันอังคารแล้วลุงมาแล้วไงทุกคน5555555555
[0:01:21] maxky04op: วันนี้พายูเข้า
[0:01:22] ppongpanggg: มาทำไม
[0:01:22] oak_28: เห้ย
[0:01:23] aobza290646: อีก3เดือนข้างหน้าสตรีมตี3แน่
[0:01:23] firstza2540: อารมดีเนอะ55555
[0:01:23] seper_19: มาตอนนี้
[0:01:23] pump1234567890xx: หะ
[0:01:24] alext2z: เข้เกาหลีเกาใจจัด
[0:01:25] copxd1: rebirthztvRich
[0:01:25] tiax8: ตี1จะตี2ละลุงเอ้ยย
[0:01:28] jao_nice: เย้
[0:01:29] champ1999xz: กำลังจะนอน
[0:01:29] tar12009: แก่ก่มาเช้าเลย
[0:01:29] xxearthxx99: ถามจริ๊งงง
[0:01:29] namtxn: SeemsGood
[0:01:30] bigbear_r: ตาแก่ มาอะไรป่านนนนนี้
[0:01:32] mxmexwww: mxmexwww subscribed at Tier 1. They've subscribed for 17 months! 17เดือนนน rebirthztvLove
[0:01:33] dexterx66: วันจันทร์หยุดวันนี้วันอังคารแล้วไงใช่ไหมลุง55555
[0:01:33] jgcnifckkhg: ดีครับ
[0:01:34] rathasas122: มาไหมนิ555 เหงาหรอ
[0:01:34] naringsak_bas: พวกมันหนีหมดเเล้วลุง
[0:01:34] tar2525: ห๊ะ
[0:01:36] fluke_supawat: fluke_supawat subscribed at Tier 1. They've subscribed for 6 months! rebirthztvAfk rebirthztvAfk rebirthztvAfk
[0:01:37] Onsupness: @alext2z จีนๆๆฟ
[0:01:38] njrphurichai: ลุงมาเร็วครับวันนี้ วันอังคาร
[0:01:43] firstza2540: อย่าสปอย
[0:01:43] beem_bam: มาไวจังครับพึ่ง1ทุ่ม33เองนะ
[0:01:44] Diw_Trd: มาเวลานี้
[0:01:44] CheckerDabX: ห้ะ
[0:01:44] nrm17: rebirthztvAfk rebirthztvRun
[0:01:46] maxky04op: ลุงขอยาวๆ
[0:01:46] Esterr012: rebirthztvX rebirthztvX
[0:01:47] komkrich98: มาแบบงงๆ
[0:01:49] cooper_fcjak: ดีน้าบบบบ. คนแก่
[0:01:49] bargearn: BibleThump BibleThump BibleThump BibleThump
[0:01:50] Mossnakubbb: 5555555
[0:01:50] phat_az13: หลงวันชัวว์ๆ
[0:01:50] cosmiccafe: วันนี้มาเร็วจังมาแต่เช้ามืดเลย
[0:01:51] kittipong2555: หวัดดีครับ
[0:01:52] alext2z: @nessnaja1337 อ๋อๆ 5555
[0:01:52] 001sor: มาม่าหมดไป2ลูกพี่พึ่งมาน่ะครับ
[0:01:53] 9monkev: ของแทร่
[0:01:54] naringsak_bas: พวกมันหนีหมดเเล้ววววววว
[0:01:55] 1mint7: ยันหว่าฝฝฝ
[0:01:56] krutkorad: ตาแก่มาแล้วว
[0:01:56] JobJoBuMix: หวัดดีพี่เอสส
[0:01:58] NewLASIOz: ตาฝาดดด
[0:01:59] njrphurichai: ลุงมาเช้าจัดเลย อังคารนี้555555
[0:02:02] pattara23_: หวัดดีค่าา
[0:02:04] aonzii44: ดีด
[0:02:05] boyhaha02: มาเวลานี้55555
[0:02:07] cooper_fcjak: 555555
[0:02:08] jojunee: มาช้าแต่มานะ
[0:02:08] wuttipong_4: เห้ยไ
[0:02:11] smurffza: มาไง
[0:02:13] apisit_n: SeemsGood
[0:02:19] ppongpanggg: @njrphurichai 555555
[0:02:23] sprite_1999: rebirthztvHa
[0:02:24] PHURINXxx: แปกใจกันหมด
[0:02:25] wuttipong_4: มาช้าเเต่มานะ rebirthztvRun
[0:02:28] Bensodomo: คุณพระ!
[0:02:30] njrphurichai: ลุงลองเงียบดู ไม่ต้องพูดไร5555 มาแบบเซอาไพรส
[0:02:31] jao_nice: บ๊อบเฟลไปละนะลุง
[0:02:31] firstza2540: มาเซอไพร้น้องๆ
[0:02:33] Aom_Akrc: ดีดชัวร์
[0:02:34] myollweopn: 5555555555555555555555555555
[0:02:34] sompohp01: เคร
[0:02:37] CheckerDabX: พน. เเปลกๆละ5555
[0:02:38] maxx34: สุดยอดลุง
[0:02:39] B2er1608: ครั้งแรกที่จะหยุดแล้วมา ผมฝันไปหรอ
[0:02:39] JAK25261: Shush Shush
[0:02:42] JobJoBuMix: ผมจ๊อบนะคับพี่เพื่อนบ้านที่แสนดีคับ5555
[0:02:44] FewJirayu_: ดีครับ
[0:02:46] teenahu1: มาทำไมให้อายบ้านนาเล่านวลน้อง
[0:02:47] firstza2540: จะสปอยทำไม
[0:02:50] naringsak_bas: ไม่สปอยนะคับ
[0:02:54] cooper_fcjak: แชทอย่าสปอยดิ ไม่ทันไร
[0:03:04] naringsak_bas: สปอยเพื่อจุจุๆๆ
[0:03:04] LAZYLAXYLACY: 5555555555555555
[0:03:04] sompohp01: เดาใจไม่ถุกแต่ล่ะวัน🤣
[0:03:06] PHURINXxx: แถวศาลายาระวังพายุเข้านะครับ
[0:03:08] cooper_fcjak: เพิ่ง 3นาที สปอยกันแล้ว
[0:03:10] candychh: 55
[0:03:14] ggez_0077: โหตี1
[0:03:18] waranun_jn: ถามจิง
[0:03:19] babymamon1: เซิคเบาๆ
[0:03:20] kkmt88: kkmt88 subscribed at Tier 1. They've subscribed for 16 months! 
[0:03:21] champr355: เดียวนะๆ ตี1
[0:03:21] Diw_Trd: อย่าสปอยดิ ให้ลุงรู้เอง
[0:03:21] jgcnifckkhg: มาเงียบดั่ว
[0:03:26] dexterx66: แชทเบาแชทจะใส่กันทุกวัน
[0:03:26] melondirewolf: ลุงวันเกิดอวยพรหน่อยงับ
[0:03:27] ananz_x: เค
[0:03:28] safesatan: จุก5555
[0:03:29] Khawplauxk_: อาการไหนนิ
[0:03:31] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:03:32] golf_1977: <3 <3 <3
[0:03:33] tim_manggo: 55555
[0:03:36] ggez_0077: 3ทุ่มสุดยอด
[0:03:37] hadesxxxl: สงสารบ๊อบ
[0:03:38] chinawat37: chinawat37 subscribed at Tier 1. They've subscribed for 11 months! 
[0:03:40] deammmmmm111: rebirthztvMuay rebirthztvMuay
[0:03:43] popzabig: คันไม้คันมือหล่ะสิ
[0:03:44] Worldtour56: มาสิ วันนี้ยังไง 5555
[0:03:46] aunkunza: babyju8Juckkboxbox babyju8Juckkboxbox babyju8Juckkboxbox
[0:03:47] cooper_fcjak: @melondirewolf  HBD 🥳  ครับ
[0:03:48] JN_nipaporn: สปอยเพื่อ
[0:03:48] nooknahee_: nooknahee_ subscribed at Tier 1. They've subscribed for 10 months! 10 เดือนละครับ
[0:03:50] PHURINXxx: rebirthztvMuay rebirthztvMuay
[0:03:50] blacklist_name: เอ้ะ55555
[0:03:53] firstza2540: อย่าสปอยเรื่องบ็อบ
[0:03:57] 99takunth99: หะ
[0:03:58] bagarozz007: มาถึงก็สปอยเลยไง๊
[0:03:59] bonethugs89: เสื้อสวยนะครับลุง
[0:04:01] New_minpo: มาดึกจังลุง
[0:04:02] san1982tv: อัพเกรด แล้ว เมื่อคืนบอก เดะมาไว
[0:04:03] iamjergulaw: อ่าววจูนลุง
[0:04:06] chen_longg: ดีครับ มาไวจัดวันนี้
[0:04:08] rewatsank: ลุงมาตีกะผีหรอ มันไม่อยู่ละมั้งลุง5555
[0:04:09] dexterx66: พอเลิกพิมพ์แชท
[0:04:12] 3dherobro: สวัสดี วันอังคาร 3ทุ่ม
[0:04:12] pacharakronkaew_18y: !กฏ
[0:04:17] derdsmoke: ดาบไม่ยู่หรอ
[0:04:20] sompohp01: สกอร์เท่าไหร่แล้วครับแชท
[0:04:23] blacklist_name: Shush Shush เบาเเชท
[0:04:23] jj_a07: ดีครับ
[0:04:27] phanuwat2006: สวัสดีครับลุง
[0:04:28] rayryff: ห้ะ
[0:04:29] CheckerDabX: 3 ทุ่ม ปาปัว
[0:04:31] rewatsank: กินยาไปหรอลุง
[0:04:32] asras123: มาสะด้วย5555
[0:04:38] cooper_fcjak: ลุงมาไม่ถึง 3 นาทีไอนี่สปอยแล้ว rebirthztvHa
[0:04:38] pacharakronkaew_18y: ห้ามสปอยเรื่องบ๊อบ
[0:04:43] rayryff: ตี1เลยอ่อ
[0:04:49] tanatutttt: สกอน่าจะ28-11นะ
[0:04:50] seper_19: สกอร์Jak27-11Hz
[0:04:50] iamjergulaw: วันนี้วันที่ 22ลุงมาไว
[0:04:54] Diw_Trd: J27–H11 มั่งครับ
[0:04:56] soart_tnp: ตี1ครึ่งปาปัว
[0:04:58] Khawplauxk_: ให้พี่เอสเขารู้เองแชท
[0:04:59] phakche_ch: MercyWing1 imGlitch MercyWing2
[0:05:03] dexterx66: พอแล้วจะพิมพ์อีกนานไหมลุงมาให้แล้วพอออ
[0:05:05] siraphop04: ลุงขึ้นตอนนี้จะลงตอนไหนนิ
[0:05:12] chibs_telfordd: ห้ะะะะะ ลุงงง
[0:05:18] JN_nipaporn: บอกอย่าสปอยแต่เอ่ยชื่อ
[0:05:19] JAK25261: ลุงมาไวนะวันนี้
[0:05:24] m1h4wke: เหลือจะเชื่อออ
[0:05:28] ggez_0077: มาเงียบสะด้วย
[0:05:31] FewJirayu_: ลุงแกเปิดไมค์ยัง
[0:05:32] kenshinxz: กระซิบหน่อยบ๊อบโดนไร
[0:05:33] Khawplauxk_: 1ทุ่มปาปัว
[0:05:37] i_moon_69: 5555
[0:05:39] iamjergulaw: ลืมเปิดไมค์ปะนิ
[0:05:40] BaNgVeE420: ลุงอย่าลืมเปิดย้อนหลังนะครับ rebirthztvLove
[0:05:41] north1300: ลุงเปิดไมค์ยัง
[0:05:42] firstza2540: ลุงยังไม่พุดในวอ
[0:05:42] elleoling: ห้ะ
[0:05:45] yanzanonza: มาเฉย
[0:05:47] lghtryv: ในเเก็งลุงมีกี่คน ขอถามหน่อยครับ
[0:05:49] godcloud544: น่าจะลืมเปิดไมค์
[0:05:51] chibs_telfordd: ว่าล่ะทำไมบ้านผมฝนตก 555555
[0:05:53] jameboyband: ถามจริงกับเวลานี้
[0:05:54] arbungs_s: กระซิบหน่อยเรื่องบ.
[0:05:57] jao_nice: อย่าเงียยบลุง
[0:06:00] ton_teetad: ลุงไม่พูดหรือลำโพงผมพังหรอครับ
[0:06:01] wairong: ลุงมาเช้าจังครับ บ่ายโมงครึ่ง
[0:06:01] Alpha13eTz: ลุงมาตึง
[0:06:01] ken_zoij: หะ
[0:06:01] new_sparrow: ลุงมาได้ไงอะ ??? 55555
[0:06:03] dome_zazaza: @kenshinxz ขอด้วย
[0:06:04] cosmiccafe: ตาแก่ไม่พูดเฉยๆ
[0:06:17] firstza2540: ลุงเขาไม่พุดเฉยๆ
[0:06:19] l3oomas014: ลุงน่าจะเสียใจเรื่องแมว
[0:06:20] iamjergulaw: มาตึงไม่พูดไม่จา 555
[0:06:22] keemeell: พระเอกมาตอนจบ
[0:06:23] nobi_nobita_: ไว้คิดบัญชีสิ้นเดือน
[0:06:26] Pump_zx: Pump_zx subscribed at Tier 1. They've subscribed for 24 months! 
[0:06:26] thanaruedee: วันอังคารไง เลยมาได้แล้ว
[0:06:27] jenpop2007: มาทรงตึงเลยอะตาแก่
[0:06:28] 420Alldie: ลุงมานานละแชท แค่เเกไม่พูด 5555
[0:06:29] 001sor: เงียบเชียวน่ะ5555
[0:06:30] teerayut_123: ลุงแกน่าจะเหงาเลยมาตรีม5555
[0:06:34] chen_longg: นั้นไง555
[0:06:34] nontalo: Shush￼ Shush
[0:06:35] m1h4wke: 55555
[0:06:36] hadesxxxl: @l3oomas014 ทำไมอ่ะเล่าให้ฟ้หน่อย
[0:06:36] cooper_fcjak: 5555
[0:06:36] dexterx66: น่าจะพี่งคื่นทรงนี้
[0:06:36] jameboyband: 55
[0:06:44] jao_nice: พุดหน่อย
[0:06:46] RONGKATEPJR: มาขิงอะไรแน่นอน
[0:06:47] gundummm: พึ่งตื่นไง ลุง
[0:06:47] kukereiei: กราฟ พุ้งจัด
[0:06:48] badvibeeiei: ใช้ไมอะ
[0:06:50] wairong: ตกลงชนอะไรครับ
[0:06:57] basnoppadon: อารมณ์ไหนเนี่ยตาแก่5555
[0:06:58] bonethugs89: Korn ตัวนั้นเด็ดจริงลุง
[0:07:01] cooper_fcjak: ลุงต้องจ๊ะเอ๋ลุง
[0:07:02] chibs_telfordd: ลุงพึ่งตื่นช้ะ มาป่านี้ 55555
[0:07:02] aomsinz__stp: rebirthztvNice
[0:07:03] sompohp01: อ่อวันนี้วันอังคารสินะที่มา😂
[0:07:04] benz_baramee: ลุงขับรถชนแมวหรอครับ🥲🥹
[0:07:04] l3oomas014: @hadesxxxl รอลุงเล่าเลยครับเดี๋ยวแกก็เล่า
[0:07:05] Earth_Allain: ไม่ได้ดูนานเดี๋ยวนี้มาตี1เลยไง๊ StinkyGlitch
[0:07:06] jao_nice: ได้เคสย้ำ
[0:07:07] asras123: กินข้าวยังเนี๊ยพี่พึ่งตื่นอะ
[0:07:08] firstza2540: ถ้าพุดๆไปนะ  ลุงสวัสดีค่าบลุง
[0:07:08] dexterx66: ไปชื้อเสื้อพึ่งกลับมาแน่นอนดูทรง
[0:07:09] thirawutmmm: ถามจิง
[0:07:10] xxearthxx99: นอนเต็มอิ่มมั้ยลุงวันนี้
[0:07:11] nattxxd: น่าจะกำลังตั้งสติอยู่ เพิ่งตื่น
[0:07:19] nine7913: โอเควันอังคร
[0:07:21] tuatorbanana: โห่ พรุ่งนี้ไม่มา5ทุ่ม ปาปัวเลยหรอลุง
[0:07:41] iamjergulaw: ลุงอยากฟังคนในแก็ง
[0:07:42] chibs_telfordd: ลุงอยุ่ถึงเที่ยงวันแน่วันนี้แชทท 55555555
[0:07:42] natthawut042539: คิดถึงจังเยยยย
[0:07:47] benz_baramee: ลุงขับรถชนแมวหรอครับ🥲🥹
[0:08:21] jao_nice: ทำบุญยังลุง
[0:08:21] domiie2544: 😭😭😭🥲🥲
[0:08:22] badvibeeiei: พักไหมพี่
[0:08:25] NoahXPM: BibleThump BibleThump
[0:08:30] tanapatteehiw: แมวมีประกันไหมคับ
[0:08:32] safesatan: ตายมั้ยครับ
[0:08:34] iamjergulaw: WutFace WutFace
[0:08:34] RONGKATEPJR: กรรม ใครกรรมมัน
[0:08:34] filmlok: ชนด้วยความเร็ว300
[0:08:35] fedzeed: แมวสีไรครับลุง
[0:08:35] TAYCAMEL: เอาดีๆ
[0:08:38] realcap4444: ResidentSleeper
[0:08:38] new_sparrow: ทำบุญให้แมวก็ได้นะลุง
[0:08:38] pFeelingq: หั
[0:08:39] aomsinz__stp: rebirthztvOmg rebirthztvOmg
[0:08:40] babymamon1: ต้องทำบุญเเล้ว
[0:08:40] 99takunth99: หะ
[0:08:40] cheer_j: แมวใครอ่า
[0:08:42] toeyhell: รถเป็นไรมากไหมลุง
[0:08:42] tuatorbanana: แมวเป็นไรมั้ยครับ
[0:08:42] derdsmoke: อุบัติเหตุ
[0:08:44] aunkunza: rebirthztvSad
[0:08:47] jgcnifckkhg: ห้ะ
[0:08:47] cooper_fcjak: สู้ๆนะพี่.
[0:08:47] nkskruz: พ่อน้องออนิว
[0:08:49] keemeell: แมววัด
[0:08:49] BEERZOi4: BEERZOi4 subscribed at Tier 1. They've subscribed for 6 months! 
[0:08:49] BaNgVeE420: แมวไอ้จุก
[0:08:50] thitikarn10: น้องกลับด่วแมววว
[0:08:51] rahanon: แมวใคร
[0:08:53] ty_saorkone1722: สวัสดีครับลุง rebirthztvMuay
[0:08:54] benz_baramee: รถลุงไม่มีประกันด้วย
[0:08:55] yanawut__: ฝั่งแมวมีประกันไหมครับ
[0:08:55] hadesxxxl: แมวใครอ่ะแมวจรหรือแมวเลี้ยง
[0:08:55] bigtargett: ทุกวันนี้ มาตี+ 1ตี2แล้วหรอครรับ
[0:08:58] TAYCAMEL: ไหง๋ซ่อม3แสนเลยอะพี่อะไรพัง
[0:08:58] aosoti: เราก็ไม่ได้ตั้งใจชนปะลุงทำบุญเอาครับ
[0:08:59] sevensix67_: เจ้าของแมวว่าไงพี่
[0:08:59] chibs_telfordd: โห น้อนแมวว
[0:09:00] tuatorbanana: พ่อน้องgtr
[0:09:02] jao_nice: สู้ๆคับพี่.
[0:09:04] lionwisdom: แมววัดบ่
[0:09:05] RONGKATEPJR: บาปจัด
[0:09:08] by_wen: แชทพิมไรคิดดีๆหน่อย
[0:09:09] xxearthxx99: แมวตัวนั้นน่าจะชีวิตที่ 9 พอดี
[0:09:12] 001sor: ลุงปลอดภัยก็ดีแล้วครับ
[0:09:16] zonicda: ถ้าเป็น 720 เสียแพงกว่านี้ไหมลุง
[0:09:17] mickeymouse1327: mickeymouse1327 subscribed at Tier 1. They've subscribed for 9 months! 
[0:09:17] chibs_telfordd: ทำบุญดีมั้ยลุงง
[0:09:18] chanaxay: ทำบุญให้แมวเลย
[0:09:18] tar_0909: พรุ่งนี้มาตีไรครับเดี๋ยวตั้งนาฬิกาปลุก
[0:09:19] cooper_fcjak: แต่โบราณเขาว่ากันว่าเราชนแมวตายให้เอาเหรียญวางไว้ไกล้ๆศพ.
[0:09:21] BaNgVeE420: เล่าๆๆๆ
[0:09:21] jao_nice: ขับไปบ้านก่อนลุง
[0:09:21] artwoii: แมวมีเจ้าของป่าวลุง ถ้ามีมันเป็นความผิดเจ้าของหนะ
[0:09:28] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:09:29] meleodas59: meleodas59 subscribed at Tier 1. They've subscribed for 4 months! 4เดือนไวจัง
[0:09:30] SAFEQQx: อย่าลืมทำบุญให้น้องด้วย
[0:09:36] RONGKATEPJR: แมว รอไปเจอครอบครัว
[0:09:36] TAYCAMEL: อุบัติเหตุเกิดขึ้นได้ทุกเมื่อครับพี่
[0:09:37] aosoti: เราไม่ได้ตั้งใจลุง
[0:09:41] basmin58: ไม่มีใครอยากให้เกิดหรอกครับแบบนี้
[0:09:42] kpsrw_: rebirthztvRuraa
[0:09:42] wairong: บาปอพไรไม่ได้ตั้งใจ
[0:09:42] firstza2540: เอาน่าลุงมะนคืออุบัติเหติ
[0:09:44] Earth_Allain: ไม่มีใครอยากให้เกิดหรอก
[0:09:45] koaweerachat: ฟาดเคาะไปครับ
[0:09:47] sharkwhite7: โห
[0:09:47] martinnicora: ไม่ขาปครับลุงเราไม่ได้ตั้งใจ
[0:09:49] dome_zazaza: อุบัติเหตุไม่บาปหรอกครับลุง
[0:09:52] TAYCAMEL: โห
[0:09:53] bagarozz007: เป็นแสน
[0:09:53] chibs_telfordd: ทำบุญหน่อยมั้ยลุง
[0:09:53] cosmiccafe: อุบัติเหตุ ไม่มีใครอยากให้เกิด
[0:09:53] thetoppp1233: อุบัติเหตุเกิดได้ทุกเวลา ไม่มีใครอยากเกิดขึ้นหรอก
[0:09:53] jao_nice: โห้ ต้องเร้วขนาดไหน
[0:09:54] chain_cp0: โห
[0:09:55] nbayoungboyy69: เราไม่ได้ตั้งใจไงลุง
[0:10:00] paulpare: กี่แสน
[0:10:02] beerdkk_: โหหห
[0:10:03] aomsinz__stp: โห
[0:10:04] wairong: แมวทำไมสูงขนาดนั้น
[0:10:04] 3dherobro: ไม่ใด้เช๊งเพราะรถพัง เช๊งเพราะชนแมว
[0:10:04] badvibeeiei: โห
[0:10:05] l3oomas014: อย่าเรียกว่าบาปเลยครับ เรียกว่า มีกรรมด้วยกันมาก กว่า
[0:10:05] Onsupness: แรงมากแน่ๆ
[0:10:05] Bensodomo: มันเป็นอุบัติเหตุลุงไม่ได้ตั้งใจ
[0:10:08] new_sparrow: ลุงไม่ได้ตั้งใจที่จะชนหรอครับแมวแค่วิ่งตัดหน้ารถลุงเลยก็ชนคับ
[0:10:08] B2er1608: ลุงไม่ได้ตั้งใจอย่าพูดแบบนั้นเลย
[0:10:09] boyhaha02: ดีน่ะไม่ใช่720
[0:10:11] PaoYingShul3: ไม่ได้ตั้งใจจะบาปได้ไง
[0:10:11] cooper_fcjak: ใครว่าบาปลุง อุบัติเหตุบาปยังไง
[0:10:11] firstza2540: โอ้จบ
[0:10:11] jojunee: มันคืออุบัติเหตุเราไม่ได้อยากให้มันเกิด
[0:10:13] jgcnifckkhg: โห่
[0:10:15] JN_nipaporn: แมวอะไรทำไมรถเป็นงี้
[0:10:16] realcap4444: ซวยจริง
