[0:00:20] gurin47: こんぎる〜
[0:46:31] ロジーー: ちなみに何を設定したん？
[0:47:09] ロジーー: ｗｗｗ
[0:47:55] ロジーー: そいやそろそろ車は買わんの？
[0:48:41] kirikrs: 髪が欲しい…ケインオーってハゲだった？
[0:49:31] ロジーー: また髪の話をしている・・・
[0:49:59] はっこ310: 買い取りはやってなかったか
[0:50:18] fukutoto: こんばんは
[0:54:13] fukutoto: 一瞬試乗会に行くのかと思ったw
[0:55:22] キーア: guilty38Kon guilty38Kon
[0:55:27] 草槍: コンケイン
[0:55:44] ふともも3: こんばんはー
[0:55:44] にこにここ: こんばんは
[0:55:53] kirikrs: こんぎる
[0:56:05] にこにここ: 買いに行かなきゃ
[0:56:07] 草槍: ホットドッグ屋さん…
[0:56:23] ロジーー: あれ誰かいるのか
[0:56:34] キーア: レギュラーの次にお気に入りかw
[0:56:47] ロジーー: レモネード好きなんだ
[0:57:03] ロジーー: いつも飲んでるイメージはあるけど
[0:57:35] キーア: www
[0:57:36] はっこ310: ピンポイントすぎるｗ
[0:57:48] kirikrs: 見た目
[0:57:57] kirikrs: 見た目いかついのに言ってることは可愛い
[0:57:57] よくすい: 3人いるかなぁ
[0:57:59] よくすい: ~~~
[0:58:11] ロジーー: そのうちケインは黄色くなりそうだ
[0:58:13] fukutoto: wwwww
[0:58:16] キーア: いるwww
[0:58:16] 火継: いたぁｗ
[0:58:21] ロジーー: ｗ
[0:58:26] はっこ310: いるんだよねｗ
[0:58:30] キーア: 呟いてみるもんだなw
[0:59:14] ロジーー: （レモネードは）逃しはしないと
[1:01:38] 零夜澪: 居るのすごいねw
[1:01:45] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:02:15] kirikrs: 確かに
[1:02:17] はっこ310: あれ？ｗ
[1:02:19] キーア: たしかに？
[1:02:23] 零夜澪: たしかになんでだw
[1:02:29] ロジーー: 扉の鍵抑制したか
[1:02:33] キーア: これはロボットが故…？
[1:02:33] fukutoto: 昨日からおかしいなw
[1:02:35] uxerne: 搭載済みか
[1:05:18] goigo2go3: こんぎる
[1:07:27] goigo2go3: 前上田さん達と話してたやつか
[1:07:38] ロジーー: どこかのアジトの真横とか
[1:07:56] はっこ310: 家か車か
[1:08:05] ロジーー: １億かぁ
[1:08:16] ロジーー: 車＞家
[1:08:17] 零夜澪: たっかぁい…
[1:08:24] よくすい: 不動屋さんに相談してみる？
[1:08:28] 隆騎: 白市民パスでおうちの土地半額にならなかった？
[1:08:31] キーア: 1億はまだまだお金貯めないとなぁ…
[1:08:55] fukutoto: ピアノ強いw
[1:09:05] ロジーー: そんなあなたに カ ジ ノ
[1:09:44] はっこ310: wwwww
[1:09:44] ロジーー: ｗｗｗｗ
[1:09:46] キーア: くるみ割り人形みたい
[1:09:48] fukutoto: wwwww
[1:09:49] キーア: wwwww
[1:10:09] kirikrs: 浦安はやばい
[1:10:31] はっこ310: 色々とアウトなんよｗ
[1:12:44] キーア: パトロール(ゴミ箱漁り)
[1:12:47] goigo2go3: ゴミ箱の中も捜査しないと
[1:13:05] aglerld: がさ入れってそういう
[1:13:31] kirikrs: ゴミ箱「令状はあるんか⁉︎」
[1:13:36] saku_o_saku: 爆弾とか粉とかあったりしたら大変だもんね
[1:13:43] 火継: ゴミ箱に危険物あるかもしれないからね
[1:13:56] kohaku9287: クラフトしてますけどホットドック屋さんは？
[1:14:16] クソコメメンション: @kohaku9287 鳩くたばれ
[1:14:38] 零夜澪: いる！！！
[1:14:40] はっこ310: いたｗ
[1:14:47] キーア: きてたー
[1:15:19] goigo2go3: 太客
[1:16:03] aglerld: いまちょうど払われたやつで
[1:16:07] ぺりかんべん: こんばんはー！
[1:16:15] はっこ310: ねっとりしてるなぁｗ
[1:16:43] ぺりかんべん: 🌭🤤良いなぁ
[1:17:28] fukutoto: ww
[1:17:32] funibo: guilty38Kon guilty38Kon
[1:18:30] はっこ310: www
[1:18:48] つけ麺_: アメリカンドッグ最高だろ
[1:19:31] ロジーー: ふーん
[1:20:35] キーア: www
[1:20:46] 褒めらにあん: wwwwww
[1:20:56] はっこ310: ｗｗｗ
[1:21:16] kirikrs: この世界でテーザーに強いやつっているのw？
[1:21:38] キーア: そうなのwww
[1:23:17] キーア: 何回やっても味あるなぁw
[1:24:39] 草槍: リサセンに2時間いてもへでもないしな
[1:25:00] kirikrs: どっちにしてもいやだなぁw
[1:25:34] yswo_: 己の…
[1:25:40] fukutoto: w
[1:25:54] mekemeke33: さすがすぎる
[1:25:55] 火継: 怯えてるｗ
[1:26:46] daikimarumaru: お
[1:27:08] はっこ310: おっと
[1:27:09] 火継: 警察署内ファーマー少数派か
[1:28:31] ajaj1414wa: おもろなってきたw
[1:28:39] funibo: おっとｗ
[1:28:46] fukutoto: ん？、なぜ強いか知ってるんだ？
[1:29:24] kirikrs: ケインオーはいもーたるだしなぁ
[1:30:33] はっこ310: www
[1:31:15] ロジーー: 出勤しなくても入れる
[1:31:46] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:32:47] ロジーー: 出勤と同時に事件
[1:32:54] ロジーー: さあ、だーれかな
[1:34:07] fukutoto: 無線よろ
[1:34:34] ロジーー: 無線も静かだな
[1:35:42] 2kssan: 改造されたらギャングになるのかな？
[1:36:34] 名無しのアニオタ: ギャングケインオー
[1:36:36] soramame0820: ケインオーマークツーが既にギャングで作られてるかも知れない
[1:36:46] mekemeke33: バグオブグリッチにも気をつけないとな
[1:37:32] はっこ310: 事故がｗ
[1:37:55] soramame0820: 今日当たり屋してね？w
[1:38:09] mekemeke33: めちゃ当たるやんｗｗ
[1:38:22] soramame0820: やべえ、悪の人格が
[1:39:08] ロジーー: ﾆﾄﾛ～
[1:40:00] soramame0820: 護送時のチェイスとかで重要そうなテクニック
[1:40:51] ふともも3: 煽られてら
[1:41:07] ロジーー: MonDｗｗｗｗｗ
[1:41:09] ta0ta0ta: うっしー！？ｗ
[1:41:11] キーア: あ
[1:41:13] fukutoto: ww
[1:41:14] ぺりかんべん: あ
[1:41:14] はっこ310: www
[1:41:21] ロジーー: やってんなぁ
[1:41:26] soramame0820: ケインオー！悪のロボットにされちゃう！
[1:41:41] キーア: しかも店舗強盗w
[1:42:04] ta0ta0ta: ｗｗｗｗ
[1:42:29] ぺりかんべん: 早いなw
[1:43:00] fukutoto: 歪んだw
[1:43:55] ロジーー: 抑制される！
[1:45:33] キーア: 卑怯すぎるw
[1:46:05] mekemeke33: 心配されとるｗｗ
[1:50:44] リョウサイ: きみとす？
[1:51:04] リョウサイ: いまいるね
[1:51:32] キーア: いちゃうんだよねw
[1:51:58] ぺりかんべん: wwww
[1:52:01] ふともも3: ｗｗ
[1:52:02] mekemeke33: ｗｗｗｗｗ
[1:52:25] 虎_太郎: ぱちおかわええな
[1:53:31] kibitsuki: なるほど
[1:53:33] はっこ310: 目を離した一瞬で消えたなぁ
[1:58:07] 火継: コメット乗りの意見助かる
[1:58:26] funibo: オフロードの感想もほしい
[1:58:44] 虎_太郎: 素人目でも操作性変わってるのわかる
[1:58:55] ロジーー: 参考ほしいよなぁ
[1:59:34] goigo2go3: 4.5じゃなかった？
[1:59:49] kirikrs: あれ、前4、後ろ4.5だったはず
[2:00:34] キーア: 自分のも変えてくるのか
[2:00:38] キーア: 好評だ
[2:01:00] kirikrs: スタンスキット？で5000万…
[2:01:04] はっこ310: 売りまくってるｗ
[2:01:47] Nightbot: Twitter:https://twitter.com/R6S_guilty
[2:04:20] ロジーー: ｗｗｗｗｗｗｗ
[2:04:23] ロジーー: 煽りｗｗｗ
[2:04:26] funibo: 煽りに来ただけｗｗw
[2:04:29] やんちき: あおりW
[2:04:32] 虎_太郎: まーた煽ってる
[2:04:33] kibitsuki: 暇かｗ
[2:04:37] mekemeke33: 煽りに来たｗｗ
[2:04:37] やんちき: あおり運転やね
[2:04:40] ロジーー: おもろいなぁ
[2:05:53] ロジーー: テンポ強盗、誘拐、煽り
[2:06:14] キーア: www
[2:06:25] ロジーー: 今日はそんな日か
[2:09:53] つけ麺_: あれもしかして八の字じゃない？
[2:11:14] よくすい: なかよし
[2:11:19] ロジーー: ﾌﾌ
[2:13:02] ロジーー: 確かにｗ
[2:13:05] つけ麺_: 無理かもｗ
[2:14:07] yswo_: 容姿だけ覚えて後で逮捕じゃないと難しそう
[2:14:16] スギヒロ: guilty38Kon guilty38Kon
[2:16:01] oshuski: こんばんは
[2:16:07] ロジーー: ポテンシャル高い車はいいね
[2:16:52] funibo: 草
[2:18:31] ロジーー: 試乗でスタートおそろしや
[2:22:09] kirikrs: めっちゃいるwww
[2:22:15] 虎_太郎: 今とんでもない数見えた
[2:22:45] キーア: 何人いるんだこれw
[2:23:44] yukidayo1121: DinoDance DinoDance DinoDance
[2:25:03] 虎_太郎: ほぼ同期コンビがんばれー
[2:26:36] funibo: 相手終わったなwｗ
[2:26:39] fukutoto: いいねw
[2:26:40] 草槍: なお検挙率
[2:26:48] キーア: ラッキー案件きたか？
[2:27:10] kirikrs: アタック禁止30秒…w？
[2:27:26] キーア: 温情w
[2:28:52] キーア: wwwwwww
[2:29:02] funibo: 色々と悪手ｗ
[2:29:06] kirikrs: ただのリンチwwwww
[2:29:13] 虎_太郎: 試合終了～
[2:29:23] kirikrs: 相手が悪すぎたw
[2:31:46] Nightbot: Twitter:https://twitter.com/R6S_guilty
[2:32:50] fukutoto: 反応いいなw
[2:33:01] funibo: ｗｗw
[2:34:18] 2kssan: ツールボックス怪しいねw
[2:38:28] funibo: 流石に多すぎか
[2:38:35] 虎_太郎: NT
[2:39:10] よくすい: あぁ
[2:39:55] 褒めらにあん: wwwwww
[2:41:49] kirikrs: シグナルbotになってる
[2:41:51] キーア: すごい量w
[2:42:58] fukutoto: みこだ煽られた？
[2:46:17] ta0ta0ta: ｗ
[2:47:34] 草槍: 自分に酔ってるかもしれないし
[2:47:52] キーア: www
[2:48:08] よくすい: あー
[2:50:52] NiKU9m: w
[2:51:12] funibo: さすがにねｗ
[2:52:26] キーア: www
[2:52:48] kirikrs: ずっとダウンしてる人いない？
[2:52:59] キーア: wwwwww
[2:53:23] fukutoto: w
[2:53:47] キーア: 黄金の風はどうしたんだ？w
[2:54:13] fukutoto: ヘリ壊れて屋上から降りれないのw
[2:55:46] キーア: さすがにいないか
[2:56:24] funibo: 北は常駐が誰かいないとさすがに難しそう
[2:58:00] キーア: 風がんばってくれ〜
[3:00:14] kirikrs: タバコってどーゆー仕組みで吸ってるんだろ
[3:00:46] キーア: nf
[3:00:58] はっこ310: 黄金の風ナイスファイトすぎる
[3:01:41] Nightbot: Twitter:https://twitter.com/R6S_guilty
[3:09:14] aglerld: トリプル（1回転）
[3:10:34] キーア: 北根城にしてる人いるなぁ
[3:11:15] fukutoto: ミステリオンクイズと伯爵混ぜたようなw
[3:11:23] oshuski: 紳士っぽい見た目ですな
[3:16:24] キーア: 絶対おなじやつと予想
[3:19:32] よくすい: ｗ
[3:21:02] 草槍: というか多分ヘリが絡まないミッションが得意よね
[3:22:01] 草槍: カジノの上に車で乗る練習するか―
[3:23:14] 草槍: ロボットが居るんだし角ありだるまが居てもおかしくはない
[3:24:43] キーア: 草
[3:24:43] fukutoto: ww
[3:25:06] よくすい: え？
[3:26:37] よくすい: ｗ
[3:26:54] fukutoto: コメット乗りかどうかは車見ればわかるはず
[3:29:04] よくすい: あらら。。。。
[3:31:39] Nightbot: Twitter:https://twitter.com/R6S_guilty
[3:32:38] funibo: 座学したいなぁ…
[3:32:53] よくすい: 特殊部隊?
[3:33:12] kirikrs: 元特殊部隊の人がいる気が…
[3:33:28] oshuski: グレネードがんがん投げる練習とかもしたいですよね
[3:35:52] よくすい: きのういたね
[3:36:44] katawaraitai: 襲撃だ
[3:37:39] aglerld: かなしい
[3:37:43] funibo: OMG
[3:37:44] キーア: なんだって
[3:37:45] ふぁいぴ: BibleThump
[3:37:49] fukutoto: w
[3:38:08] yswo_: 設定の問題ではないですか…？
[3:38:18] よくすい: 最近 物騒
[3:39:28] たなかっち123: DinoDance DinoDance
[3:40:55] よくすい: ｗ
[3:44:55] よくすい: ん?
[3:45:04] katawaraitai: またかよw
[3:49:08] 草槍: ベトナムでは食べてるぞ
[3:49:24] funibo: 骨ばっかで食べづらそう
[3:49:31] oshuski: ヘリいないのか
[3:49:55] ダン_3310: ヌートリアとか大型のネズミはまあまあいけるらしい
[3:51:24] ダン_3310: ナイス先回り
[3:52:25] 草槍: 草食ネズミなら大体食えるよ
[3:53:07] funibo: やっぱネズミうますぎるべ…
[3:57:42] ニクロ: サルタンは？
[3:59:02] ココナッツミルク: 金八先生？
[3:59:48] ココナッツミルク: がんばれ
[4:00:19] たなかっち123: www
[4:00:35] ココナッツミルク: うまいんだけど、わかる人少ないじゃない？
[4:01:28] ogumazain: あれやばいんだよね...
[4:01:55] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:02:00] ココナッツミルク: ん？
[4:02:07] ogumazain: 動物？
[4:02:10] よくすい: ぶちって
[4:02:15] aglerld: だいぶ鈍い音が
[4:03:04] ココナッツミルク: やっぱり警察車両って２１０km出るんだ
[4:03:16] ココナッツミルク: ギリ？
[4:03:43] fukutoto: コメットが210でる。他はギリ
[4:03:52] ココナッツミルク: そだね～
[4:03:54] orange_seed: 階段のスロープにタイヤかかればいけそうだったけどなぁ
[4:04:30] ogumazain: 気づくのさすが
[4:04:31] ココナッツミルク: たしか コントロールとｗ で平行になるんだっけな？？
[4:04:59] ココナッツミルク: お
[4:05:03] ココナッツミルク: もうちょい
[4:05:10] ogumazain: 侵入角度で階段に激突orジャンプ
[4:05:31] ココナッツミルク: ニトロあればな～
[4:05:50] ココナッツミルク: お
[4:05:51] aglerld: 良い感覚
[4:05:52] ogumazain: ナイスウ
[4:05:55] ココナッツミルク: ナイス
[4:06:53] ogumazain: 抑制したw
[4:06:55] ココナッツミルク: 歪みか
[4:07:37] aglerld: ｗｗｗｗ
[4:08:50] aglerld: 本家？
[4:09:54] aglerld: 警察本署最近この歪み多いのかも
[4:10:10] apo_1018: www
[4:10:46] fukutoto: 警察の歪みじゃないからなぁ
[4:12:15] fukutoto: ジャンプスタイリング？
[4:13:03] aglerld: 直ってよかったｗ
[4:14:03] aglerld: ファミチキください
[4:14:37] goigo2go3: サティなっつ
[4:15:40] galaxybuppaman: ピアゴからアピタ
[4:16:05] よくすい: 北の話し?
[4:17:36] aglerld: 道産子TVはローカルテレビ？
[4:17:49] aglerld: どさんこワイド か
[4:19:50] aglerld: 東京から愛知より札幌から網走のほうが距離長そう
[4:23:52] funibo: 無限チューチュー編
[4:26:52] fukutoto: レースコースめっちゃやってるな
[4:29:30] キーア: コメットもうちょいがんばれ
[4:29:57] fukutoto: さっきでだいぶ削れてたし
[4:31:02] キーア: かっこいいのとまってるね
[4:31:46] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:36:52] ロジーー: あー
[4:36:53] swift_horse: あ
[4:37:05] ロジーー: 何なんだろうね
[4:37:25] いつき優: おばん
[4:37:57] いつき優: 今事件対応？
[4:39:03] aglerld: 何食べます？
[4:39:20] 草槍: 今日の夕飯すき焼きだった
[4:39:34] aglerld: ｗｗｗｗｗ
[4:39:35] ロジーー: えぐ
[4:39:37] fukutoto: デパートw
[4:39:38] mekemeke33: このへんやばいねぇ
[4:39:40] kihouryu: ｗｗｗｗ
[4:39:45] ロジーー: そこ通行止めにしよ・・・
[4:39:53] 雷怨: どおおおしてだあああああ
[4:39:56] ダン_3310: 抑制されてる
[4:40:06] いつき優: 音でか
[4:40:56] 雷怨: 気が重い
[4:41:35] aglerld: 橋とか地下道の座標上重なる点が多くなると読み込みが複雑になって同期取れなくて弾かれるって感じなのかなぁ
[4:42:09] はっこ310: これでダメだったらレギオン湧きも視野？
[4:42:19] いつき優: バグ？
[4:43:17] happi287: happi287 subscribed at Tier 1. They've subscribed for 15 months! 
[4:43:50] aglerld: パシフィックっていうのが起きる前にご飯食べれるなら食べちゃった方がよさげ？
[4:47:56] fukutoto: nt
[4:50:58] よくすい: 良き
[4:51:03] よくすい: nf
[4:51:38] よくすい: 誰かー!
[4:52:53] よくすい: 逃げろー!
[4:53:59] よくすい: おや
[4:56:17] キーア: 背中？www
[4:56:19] 草槍: ももみせんせーきょうもおきれいですね
[4:57:17] キーア: 可愛い車
[5:08:31] ogumazain: うまかったw
[5:08:38] yukidayo1121: DinoDance DinoDance DinoDance
[5:08:38] katawaraitai: 今の上手かった
[5:08:39] ダン_3310: クルッ ピタッ
[5:08:54] ogumazain: 瞑想かな
[5:13:33] ogumazain: ぎゃー
[5:14:35] fukutoto: あのヘリか
[5:16:27] ogumazain: ワロタ
[5:16:44] fukutoto: 裏口の車から回収できたから逃げたか？
[5:16:50] ogumazain: 客船GoGow
[5:16:54] ぺりかんべん: 🦀wwwww
[5:17:11] 逢碧: wwwww
[5:17:18] hidegaruru: 署長クビか
[5:17:26] よくすい: マックヘイスト
[5:17:53] hidegaruru: 怒りのニトロ
[5:25:16] ogumazain: 縦横無尽
[5:25:34] NandemoE: ジャグラーの方が事故らんな
[5:26:16] ogumazain: 遠すぎるq
[5:27:42] ogumazain: 地上のラークきそうでコエー
[5:29:55] ogumazain: 迷路w
[5:31:53] Nightbot: Twitter:https://twitter.com/R6S_guilty
[5:33:26] ogumazain: ガソリンもやばば
[5:34:33] ogumazain: 給油しとけば？
[5:35:04] ogumazain: ！？
[5:38:04] ogumazain: ベンチ硬すぎた
[5:40:09] キーア: 署長きたー！
[5:40:29] はっこ310: カニ署長
[5:40:49] はっこ310: 釣りバカｗ
[5:42:40] ogumazain: 救急いけw
[5:42:41] ぺりかんべん: ガッチャガッチャwww
[5:42:48] キーア: 急にうるさくなったｗ
[5:43:20] ogumazain: 専用コメットどこいった？
[5:43:52] 雷怨: 元KUN参加勢おるやんｗｗ
[5:49:37] ogumazain: 上陸コエー
[5:52:32] ひろみっ: ナイスでした
[5:52:33] ogumazain: 無事到着
[5:55:32] よくすい: ん?
[5:56:20] fukutoto: ん？ ボーナス？
[6:00:47] はっこ310: www
[6:02:16] はっこ310: わーお
[6:04:17] maru3d: 一旦修理か？
[6:04:49] fukutoto: JTSの自動修理？
[6:06:04] 草槍: JTSはしばらく行かない方が良いまである
[6:06:19] kirikrs: 落ちるたび猫ミーム歌ってないw？
[6:08:15] ogumazain: よく落とされるなぁそこらへん
[6:09:14] goigo2go3: めっちゃ看板立ってたw
[6:13:37] まめだいふく716: umai
[6:15:07] 美々威: ナイスー
[6:15:17] ぺりかんべん: ないす！
[6:15:42] ogumazain: こっからかえるのきちー
[6:16:06] 美々威: 警察署まで行くのが大変だ
[6:16:40] ロジーー: CPUか
[6:17:08] ロジーー: タイヤヤバイな
[6:17:15] 美々威: ナイスー！
[6:17:33] 美々威: 良かった無事だ
[6:17:35] よくすい: ないす
[6:17:57] ogumazain: 相手つえー
[6:18:11] ロジーー: CPU流石に素直
[6:18:41] ogumazain: 罪状どうなる？
[6:18:57] よくすい: ｗ
[6:18:57] ogumazain: ロボット仲間w
[6:20:42] ogumazain: 勧誘w
[6:20:57] よくすい: ｗ
[6:22:24] ogumazain: 他は壊滅か
[6:23:59] NandemoE: 2人しかいないと思われちゃったね
[6:24:26] ssss4121: 一人捕まえられただけワースとしよう
[6:24:44] ogumazain: ロケラン打たれたら厳し〜
[6:28:59] ロジーー: 上にいるのは警察？
[6:30:10] ロジーー: 上は押さえれてるのか
[6:31:23] ロジーー: 上なんも分らんな
[6:31:23] fivesoul555: ナイトビジョン買うか
[6:31:23] ogumazain: 相手もヘリで位置報告してる感じか
[6:31:38] ogumazain: あ
[6:31:42] ロジーー: あー・・・
[6:31:43] Nightbot: Twitter:https://twitter.com/R6S_guilty
[6:32:06] ogumazain: そこら辺の挙動むずすぎる
[6:34:52] ロジーー: あやば
[6:35:04] ロジーー: せめて隠れて欲しいところね
[6:35:16] ogumazain: 晴れてきた
[6:35:22] fukutoto: 赤い車打っていい
[6:36:12] ロジーー: ラーク見失ってるのつらいところね
[6:38:37] goigo2go3: トロいっちょう
[6:39:41] ロジーー: ヘリがまた来るか
[6:45:32] ロジーー: じり貧か
[6:46:04] fukutoto: こっちがミスするの待ってるな
[6:47:15] ogumazain: お互い詰め待ちだから長引くわな
[6:48:30] ロジーー: 待ちが強いからどうにもならんね
[6:51:12] fukutoto: あれラークか
[6:51:56] fukutoto: 流れ弾w
[6:53:07] まめだいふく716: はぁはぁ
[6:53:17] yukidayo1121: DinoDance DinoDance
[6:53:23] kei082205: DinoDance DinoDance DinoDance
[6:53:45] kei082205: DinoDance DinoDance DinoDance DinoDance
[6:53:51] よくすい: ナイス!
[6:54:14] ロジーー: やっとご飯か
[6:54:26] NandemoE: ひえひえご飯...
[6:54:37] よくすい: ナイス!よかった(´；ω；｀)
[6:54:51] ロジーー: しかしなんかトロやら事故やらあって大変だったｗ
[6:55:43] fukutoto: えっ
[6:55:59] キーア: www
[6:56:18] よくすい: おつかれ れう………
[6:56:53] ロジーー: ｗｗｗ
[6:56:56] ロジーー: 信用がｗｗｗ
[6:56:57] fukutoto: wwwww
[6:57:30] ロジーー: ｗｗｗｗ
[6:57:51] よくすい: 怖いか~
[6:58:28] ロジーー: なんか見た目からしてアレな感じか
[6:58:53] fukutoto: ももみパイセンに殺されそうw
[7:01:57] Nightbot: Twitter:https://twitter.com/R6S_guilty
[7:04:02] ロジーー: 仲良いな
[7:05:39] ロジーー: まさかの？
[7:09:38] fukutoto: 速度超過でもあった
[7:14:19] キーア: www
[7:14:26] kirikrs: まさかの第一声w
[7:14:34] ロジーー: ｗｗｗｗｗ
[7:15:03] ロジーー: ケインオーはレモネードが好き
[7:15:28] fukutoto: もうレモネード自分で入手した方が早そう
[7:16:23] サイレントチラーブラント: 噛むなよw
[7:16:48] ogumazain: ごりごりの黒だったw
[7:19:30] fukutoto: 銃が
[7:20:17] goigo2go3: パトカーで行くんやw
[7:22:11] goigo2go3: Dホイールw
[7:22:24] ogumazain: 速攻頭抜かれるなw
[7:22:32] キーア: おおお
[7:22:38] いつき優: ライディングデュエル、アクセラレーション！
[7:22:51] ogumazain: ヤベェのいるw
[7:23:07] キーア: でっか
[7:23:15] キーア: 水陸両用？
[7:23:37] fukutoto: 会議中だね
[7:24:02] fukutoto: wwwww
[7:24:53] キーア: 一輪車あるじゃんw
[7:25:59] キーア: 後ろが運転席なんだww
[7:26:31] いつき優: ケインからハンドル生えてるように見えたわ
[7:26:36] まめだいふく716: みんなしゃべる内容がガチ業者ｗ
[7:27:16] キーア: すごw
[7:27:17] まめだいふく716: やばりエヴォですよ
[7:27:20] fukutoto: 似合うw
[7:27:24] ogumazain: うるさw
[7:27:47] ouka_0319: ガンダムで見たやつだ！！
[7:28:17] ogumazain: あ
[7:28:31] kirikrs: チャピチャピタイムだ
[7:28:33] まめだいふく716: モペットの排気音リッター級ｗ
[7:28:36] fukutoto: ありゃ
[7:29:23] azumagame: 女か・・・
[7:29:49] ogumazain: スロットかと思った
[7:31:53] Nightbot: Twitter:https://twitter.com/R6S_guilty
[7:33:27] fukutoto: レース何帯になるんだえお
[7:33:43] fukutoto: ろw
[7:34:06] ogumazain: おー
[7:34:41] いつき優: www
[7:37:54] ogumazain: カスタム幅どれぐらいかなぁ
[7:38:04] fukutoto: これでS帯行ったらやだなぁ
[7:38:45] ogumazain: 硬そうw
[7:39:42] fukutoto: ローテ的にか
[7:43:24] fukutoto: おっ
[7:44:21] fukutoto: あー
[7:47:42] funibo: かっこよ
[7:47:45] fukutoto: 着替えるか
[7:47:57] ogumazain: いいなぁ
[7:50:18] ogumazain: 眠気が
[7:51:22] funibo: おつ
[7:51:24] fukutoto: お疲れ様でした
[7:51:28] ogumazain: お疲れ様でしたー
[7:51:31] ニクロ: おつ～
[7:51:37] たなかっち123: お疲れ様でしたー
