[0:00:14] ノンデリ: よおおお
[0:04:13] つっきー3355: 葉戻してたしいんじゃね
[0:04:14] ss431698t: 葉は戻してた
[0:04:16] tooo818: 戻していいって話じゃなかった
[0:04:17] occhocochoco: 戻して欲しい
[0:04:23] karumimaguro: 葉戻ってたな
[0:04:30] soumen0113: むしろ戻せって話だったろ
[0:04:35] ittantan_: 心機一転w
[0:04:35] iytreszhii: その服で出歩くな言われてなかったか？
[0:04:38] ネオちー: けっつんカー懐かしい
[0:04:48] vall_64: うん
[0:04:55] lelelele4415: うん
[0:04:57] sakuto3399: 結局その格好で街歩くこと自体良くないみたいなこと言ってた
[0:05:01] オロポン123: 面白いけどな
[0:05:17] TYdaaa: それと赤服保存はしといたら大丈夫だと思う
[0:05:18] sakuto3399: ただ昨日のはマジでおもろかった
[0:05:18] ネオちー: 美味しかったな
[0:05:23] AIMHIGH1515: 昨日何したの？
[0:05:32] airplayerx: 向こうってヴァンさん？
[0:05:32] ぜうすさぶお: ｗｗｗｗ
[0:05:35] mitsuya115: wwwwww
[0:05:38] ネオちー: それには気付けるんだなｗ
[0:05:39] hirokimushi: 本物だったwww
[0:05:51] むつっきー: でもおもろかったよww
[0:05:52] ネオちー: オールインのか
[0:05:54] つっきー3355: ホンモノ
[0:06:02] tooo818: あまくさ？
[0:06:02] grimoooooo: あまくさ
[0:06:03] TYdaaa: 天草
[0:06:05] sakuto3399: 天草さん？
[0:06:16] airplayerx: 客観的に見れたね
[0:06:18] ぜうすさぶお: ナイスRP
[0:06:19] baricondor3: wwww
[0:06:21] TYdaaa: えらい
[0:06:25] オロポン123: 当たり前なんよな
[0:06:26] sakuto3399: 成長した
[0:06:38] つっきー3355: rustの時のかるびを感じた
[0:06:45] だるせーにょ: まあwwww
[0:06:46] むつっきー: だから反省してなさそうだったのかw
[0:06:47] バイオ太郎: アーカイブ見たけど最高だったぞ
[0:06:50] ネオちー: 高木は分かんなくていいよ
[0:06:53] kami_no_manimoni_version2: 理解ったか
[0:06:57] mci_foden: 子供だから仕方ないよ
[0:07:06] occhocochoco: カレー食べたらいいよー
[0:07:30] sakuto3399: 番号とか分かるん？
[0:07:37] ぜうすさぶお: 一応とっといたら
[0:07:42] TYdaaa: いつでも出せるように保存だけしといて戻したら？
[0:07:46] だるせーにょ: 世界観むずいよな
[0:07:47] occhocochoco: うん
[0:07:47] soumen0113: いいね
[0:07:59] じゅんぐら: ww
[0:08:01] occhocochoco: さすがです
[0:08:02] バイオ太郎: すげえ顔だ
[0:08:03] むつっきー: それなら尚更服直さないとか
[0:08:05] つっきー3355: www
[0:08:07] オロポン123: 相手に迷惑をかけるのは良くないのでは?
[0:08:08] taretare_: 高木らしくていいな
[0:08:11] TYdaaa: 成人したんだし若いけど子供じゃないよ
[0:08:16] ムヤサキ: 髪はそそのままの方がええちゃう？w
[0:08:16] airplayerx: 髪はイメチェンあり
[0:08:16] りんごりらっぱせり: 心機一転だしな
[0:08:19] nematsu17: いろんな考え方があるのをしっていくえ
[0:08:21] ebimayovl: アフロにしよ
[0:08:23] vall_64: そうね
[0:08:24] occhocochoco: ボンバイェー
[0:08:24] tarutiki4: 心機一転やね
[0:08:24] あゆ1212: この際イメチェン？
[0:08:26] sakuto3399: でも帽子被るしな
[0:08:26] soumen0113: 心機一転変えるか
[0:08:29] karumimaguro: アフロ
[0:08:29] taretare_: アフロ
[0:08:53] soumen0113: お前顔なっが
[0:09:05] sakuto3399: 赤スーツ別で作らないの
[0:09:06] だるせーにょ: 楽しかったなwwww
[0:09:06] norio99: 眉毛w
[0:09:07] TYdaaa: 服言うてボディ変えるだけ？
[0:09:08] 阿吽呼吸: 仲良しかよ
[0:09:19] nikumiso2929: またすぐやらかしそう
[0:09:21] maruyamaGonzarez: やめとけw
[0:09:24] だるせーにょ: やめとけwww
[0:09:27] ムヤサキ: やめとけw
[0:09:27] オロポン123: やめとけ
[0:09:28] ネオちー: それは大事
[0:09:32] 元年: えぇ・・・・
[0:09:33] TYdaaa: もう許してくれたやんw
[0:09:35] masao333: またやらかすぞ
[0:09:38] sakuto3399: 本当にやめましょうwww
[0:09:38] ネオちー: やりたいならやれよｗ
[0:09:39] バイオ太郎: だったらさっきの格好の方がよかったんじゃ
[0:09:39] オロポン123: いつか会った時でいいやろ
[0:09:39] つっきー3355: とりあえず電話か
[0:09:40] 非公式お兄さんフニュー: 冗談だよね…?
[0:09:41] 奄美迦楼羅: 電話するくらいは別に
[0:09:42] pitalex720: あやまるのはいいことたまぞ
[0:09:42] grimoooooo: 25
[0:09:42] だるせーにょ: 何が火種になるかわからん
[0:09:44] takosuke_karaage: アジトの前には行くなよ笑笑笑
[0:09:47] ムヤサキ: それは相談しろ、メンバーに
[0:09:51] 阿吽呼吸: やめといた方がいいというかなんかやりそう
[0:09:53] unikun8282: 電話してから行ったら？
[0:09:55] むつっきー: 流石火種マシンガン
[0:09:55] だるせーにょ: 電話で謝ろうww
[0:09:56] ネオちー: 謝罪は大事だぞ
[0:09:58] おむだお: ここから世界を知っていくんや
[0:10:02] つゆゆん: やめときなさい
[0:10:02] airplayerx: 公開してないアジト行くのは怖いよ
[0:10:03] lelelele4415: ズボンはあってるよー
[0:10:03] 元年: まず上の人に確認しような
[0:10:06] sakuto3399: たまたま会ったら謝るくらいでいいんじゃないかな
[0:10:06] つっきー3355: 電話でならいんじゃね
[0:10:10] るる9999: 丁寧にアポ取ればいいと思う
[0:10:12] だるせーにょ: 何を謝るかわかってる？
[0:10:16] dedededaimaou2007: 葉と2人行動は危険
[0:10:18] おむだお: 報連相や
[0:10:21] 葉好き: アジト前はやめた方がいいと思う
[0:10:22] ムヤサキ: 昨日いらん言うてたぞ。なしまさん
[0:10:23] itijou_: よぉ
[0:10:23] TYdaaa: 今度あった時軽く謝るくらいでいいと思うよ
[0:10:26] wassyoi7: 昨日の事はもう済んだから街であったら謝るでええんちゃう
[0:10:31] ss431698t: 無線で聞いたら教えてくれる思うよ
[0:10:39] sakuto3399: ズボン細くしたんじゃないっけ？
[0:10:51] ネオちー: いいね
[0:11:06] 葉好き: いいね
[0:11:08] sakuto3399: 出待ちがいかんのよw
[0:11:09] airplayerx: 電話交換したなら電話してアポとっちゃダメなの
[0:11:11] n_sena514: 敵ギャングのアジトを行くのがダメじゃないの？
[0:11:11] だるせーにょ: バレたらめんどいかも
[0:11:23] mitsuya115: アトムブーツ
[0:11:24] TYdaaa: ストーカーしたらまた同じことなるやんw
[0:11:24] ネオちー: だっｓ
[0:11:26] sakuto3399: 探ってるって言われたらそれまでだからね
[0:11:30] 高木少年兵: 鳩と指示禁止
[0:11:33] katudonn1379: 昨日の今日でやらかしたらクビやで
[0:11:39] つっきー3355: いいね
[0:11:43] だるせーにょ: まあ、頑張れよ
[0:11:44] むつっきー: おっとうとう固定きた
[0:11:47] itijou_: 高木がんばれ
[0:11:54] 高木少年兵: 鳩と指示禁止
[0:11:55] むつっきー: いいよ
[0:12:00] masao333: 頑張れ
[0:12:01] 高木少年兵: 鳩と指示禁止
[0:12:06] ネオちー: 連投やめてね
[0:12:12] 高木少年兵: 鳩と指示禁止
[0:12:17] karumimaguro: koushi5Spin koushi5Spin koushi5Spin koushi5Spin koushi5Spin koushi5Spin
[0:12:25] 止まれない漢: 荒らしきてるな
[0:12:27] sakuto3399: そんなことある？
[0:12:27] kaida1219: 鳩とか禁
[0:12:28] 阿吽呼吸: 連投禁止でお願いします
[0:12:29] itijou_: なんか今バグってるかも？
[0:12:32] るうたン: www
[0:12:32] dox404: そんなことある？
[0:12:33] ななしという名があります: ツールで連投しよう
[0:12:33] itijou_: !aja
[0:12:33] Nightbot: そうだよね
[0:12:33] 元年: 連投やめてね BloodTrail
[0:12:34] バイオ太郎: ｗｗ
[0:12:34] 止まれない漢: 鳩と指示禁止
[0:12:36] つっきー3355: www
[0:12:38] karumimaguro: wwwww
[0:12:38] ComeR__: amakipOn amakipOn amakipOn￼￼ amakipOn
[0:12:40] むつっきー: wwww
[0:12:42] 元年: 鳩と指示禁止
[0:12:43] 阿吽呼吸: 鳩と指示禁止
[0:12:43] じゅんぐら: wwww
[0:12:46] nagara_nagara: なにしてんねん
[0:12:49] karumimaguro: 鳩と指示禁止
[0:12:55] ネオちー: 連投禁止も入れてくれ！
[0:12:57] airplayerx: 王なのに
[0:13:02] karumimaguro: おもろい
[0:13:06] かるびの奴隷: wwwwww
[0:13:11] 奄美迦楼羅: 真ん中くらいにあった
[0:13:17] maruyamaGonzarez: この店ないかも
[0:13:22] n_sena514: ない場所があるかも？
[0:13:26] mitsuya115: 髪型それで行くのか
[0:13:28] るうたン: 体透けてるじゃん
[0:13:44] takosuke_karaage: 髪型ボスみたいでいいね
[0:14:11] TYdaaa: 絶対勝てるか？
[0:14:18] だるせーにょ: あr
[0:14:29] 安全安心な暮らし: 宝石とかどうなんだろ
[0:14:56] TYdaaa: ボディじゃね？
[0:14:58] オロポン123: 葉はちょけてた
[0:14:59] sakuto3399: トップスはあってるよ
[0:15:00] わくわく君: ボディ
[0:15:10] grimoooooo: ぼでぃ
[0:15:12] るる9999: ボディだよー
[0:15:12] karumimaguro: いやボディ
[0:15:13] sakuto3399: ボディだね
[0:15:28] sakuto3399: そうやね
[0:15:32] オロポン123: それだ
[0:15:34] TYdaaa: 葉は敗れてる服もちゃんとした服も両方保存してたから正解じゃないのか？
[0:15:43] TYdaaa: あとネックレスやな
[0:15:44] あゆ1212: ネックレス
[0:15:48] airplayerx: チェーンは？
[0:15:54] mitsuya115: 帽子もや
[0:15:55] スマイルン: あとズボン
[0:15:57] hideonjetttt: おそろいのネックレス
[0:15:59] sakuto3399: 帽子もやね
[0:16:14] hideonjetttt: ｗｗｗｗｗｗ
[0:16:16] hisagi_jp: wwwwwwww
[0:16:20] hideonjetttt: なめてるだろｗ
[0:16:21] りんごりらっぱせり: 金メダル
[0:16:21] 奄美迦楼羅: ださ
[0:16:21] つっきー3355: wwww
[0:16:21] sakuto3399: Wwwwww
[0:16:22] たくみ0928: w
[0:16:24] akudamann: karubisDoya
[0:16:24] バイオ太郎: ださｗ
[0:16:28] sakuto3399: 帽子も？
[0:16:29] yossy_island23: ネックレス奪われて悔しく無いのか？
[0:16:36] hideonjetttt: 決まってない
[0:16:39] sakuto3399: 決まってない
[0:16:40] むつっきー: 同期の証がw
[0:16:47] 奄美迦楼羅: 軍っぽいの被ってた
[0:16:48] soumen0113: チャルロスとかクソ自由だろ
[0:16:57] hideonjetttt: 緑っぽいのみてー
[0:17:04] sakuto3399: そうそう
[0:17:06] ネオちー: 変な海兵みたいなやつな
[0:17:18] sakuto3399: 少年兵みたいな帽子だな
[0:17:18] hideonjetttt: ｗｗｗｗｗｗｗｗｗｗ
[0:17:22] hisagi_jp: wwwwwwwwwwwwwww
[0:17:22] つっきー3355: wwww
[0:17:25] mitsuya115: 少年兵だもんな
[0:17:26] MelonO_O: ださいｗ
[0:17:27] ryu5ei_: ﾋﾞﾋﾞﾋﾞｯ
[0:17:28] taretare_: いいね
[0:17:28] 安全安心な暮らし: ｗｗｗｗｗｗ
[0:17:28] 奄美迦楼羅: 結局ｗ
[0:17:28] sakuto3399: 色変えるか
[0:17:30] 非公式お兄さんフニュー: 色変えてみようぜ
[0:17:31] バイオ太郎: 結局こういうのなんだｗ
[0:17:31] hideonjetttt: これは一等兵
[0:17:32] むつっきー: 結局かよwww
[0:17:34] airplayerx: 郵便局にいそう
[0:17:35] じゅんぐら: びびっときたわ
[0:17:36] TYdaaa: マスク顔隠れちゃうけどおもろいのいっぱいあるよ
[0:17:58] hideonjetttt: センスおもろすぎだろ
[0:18:05] soumen0113: スーツに合わなすぎだろw
[0:18:07] sakuto3399: 全身真っ赤っか
[0:18:09] yossy_island23: スーツにキャップは天才
[0:18:13] maruyamaGonzarez: だっs
[0:18:43] sakuto3399: 那須さんに返したっけ
[0:18:52] TYdaaa: ストグラのおかけでいい意味で揉まれた感じする
[0:19:00] バイオ太郎: 場所間違えたか？
[0:19:00] むつっきー: 似てな
[0:19:00] ネオちー: おいｗ
[0:19:05] たくみ0928: あ
[0:19:06] つっきー3355: www
[0:19:08] オロポン123: ハンターハンターや
[0:19:12] mitsuya115: クロロw
[0:19:14] ネオちー: ありけんって誰？
[0:19:15] バイオ太郎: ｗｗ
[0:19:22] novanew99: 似てて草w
[0:19:24] blaotnkzz: デブいwwwwww
[0:19:35] だるせーにょ: ハンターハンター
[0:19:35] airplayerx: ハンターハンター
[0:19:47] ryu5ei_: www
[0:19:51] ななしという名があります: w
[0:19:55] TYdaaa: www
[0:19:55] むつっきー: wwwwww
[0:20:09] 奄美迦楼羅: モヒカンではない
[0:20:11] TYdaaa: 見た目似てねぇけど声聞いたら分かるw
[0:20:16] むつっきー: なにかあった永沢くん
[0:21:56] occhocochoco: もちろん
[0:22:05] occhocochoco: ですよね
[0:22:16] 奄美迦楼羅: 昨日も言われて床にモノ捨ててました
[0:22:19] TYdaaa: ボスと同じこと言うさすが那須やな
[0:22:34] occhocochoco: 合点承知
[0:23:03] ネオちー: ファラオ無くなった？
[0:23:06] mitsuya115: 鬼神タイガーどこいった？
[0:23:07] 非公式お兄さんフニュー: カブトまんか
[0:23:13] つっきー3355: www
[0:23:14] 奄美迦楼羅: 鬼神タイガーきたｗ
[0:23:16] TYdaaa: www
[0:23:16] moroheyyear: www
[0:23:18] 猿のじょーじ: よぉ
[0:23:40] むつっきー: ただの着替えw
[0:23:40] りんごりらっぱせり: どうせ変装してること忘れる
[0:23:44] zentjatp: カブトあるやん
[0:23:55] sakuto3399: 結局名前呼びそうだもんねwww
[0:24:00] TYdaaa: カブトもあるしピエロもある
[0:24:05] 阿吽呼吸: 鬼神タイガー
[0:24:17] sakuto3399: 宝石か！
[0:24:20] えるねるなるな: 高木の部屋、外明るくない？
[0:24:34] sakana_tkg: 葉さん配信外なの！？
[0:24:45] TYdaaa: アーマーも？
[0:24:56] ネオちー: その衣装ピストル似合うな
[0:25:17] むつっきー: もうすっかりチャルロス馴染んでるえ
[0:26:12] itijou_: こういうのを作るのが貢献なのかね
[0:26:22] TYdaaa: www
[0:26:31] airplayerx: ？
[0:26:44] yossy_island23: 履修して
[0:28:17] TYdaaa: あっぶなw
[0:29:40] moroheyyear: シカトwww
[0:29:52] ネオちー: スルーで正解
[0:29:52] バイオ太郎: ｗｗｗ
[0:29:54] yossy_island23: プライドバトル
[0:30:25] TYdaaa: いいね
[0:30:35] novanew99: 善良な心は捨てろ
[0:30:53] 奄美迦楼羅: こわすぎｗ
[0:30:59] たくみ0928: www
[0:31:02] TYdaaa: マウスぶっ壊れてる？w
[0:31:03] tanakeeen: wwwwwwwwww
[0:31:13] moroheyyear: wwww
[0:31:13] オロポン123: えぐい
[0:31:20] blaotnkzz: wwwwwww
[0:32:34] TYdaaa: 右クリック押すなw
[0:32:34] tanakadesukedo: 高木ミュートじゃね
[0:32:59] うるーは: 高木って精神年齢小学生よな
[0:33:06] mitsuya115: wwwwww
[0:33:11] つっきー3355: ミュートだぞwww
[0:34:03] TYdaaa: 覚えてません
[0:34:59] magical_ba77: ？？
[0:35:03] バイオ太郎: …
[0:35:04] ネオちー: ？
[0:35:05] つっきー3355: www
[0:35:05] 刺身サーモン: …
[0:35:06] blaotnkzz: .......
[0:35:06] TYdaaa: w
[0:35:08] 大パン: 似て無くね？
[0:35:08] sirasuzyusu: si-nn
[0:35:09] mitsuya115: ……
[0:35:10] noginogi_no: あ
[0:35:13] hinakoooo_fn: ……
[0:35:14] つっきー3355: karubisSiiiin
[0:35:17] masao333: www
[0:35:17] ネオちー: 正解
[0:35:29] novanew99: そら十中八九わしじゃろって言うのが正解
[0:35:37] tanakadesukedo: クロロのコスプレしてんのか
[0:36:01] だるせーにょ: 今気づいたけど報酬変わってるなww
[0:36:30] たくみ0928: www
[0:36:36] magical_ba77: ？？
[0:36:39] つっきー3355: まだやんのかwww
[0:36:42] バイオ太郎: ｗ
[0:36:57] hazanao0317: これは、大分不正解！！
[0:37:00] ネオちー: だるいからだろｗ
[0:37:11] TYdaaa: ありけんやめろw
[0:37:12] つっきー3355: wwww
[0:37:15] compass____: wwwww
[0:37:19] tanakadesukedo: w
[0:37:31] だるせーにょ: クラピカwww
[0:37:54] sirasuzyusu: めちゃくちゃありけん
[0:37:57] TYdaaa: 話聞けwwwwww
[0:37:58] itijou_: なんかレストランみたいなやつ？
[0:38:57] むつっきー: れりあww
[0:39:00] TYdaaa: 山分けやな
[0:39:04] TYdaaa: 優しい
[0:39:12] pitalex720: ありけん二億あるならいらんだろw
[0:39:25] oomoricha: ありけんおもろい
[0:39:40] TYdaaa: 捕まったら0円やしラッキーよ
[0:41:11] TYdaaa: www
[0:41:20] 奄美迦楼羅: 幼稚園かな
[0:41:57] ryoo123l: w
[0:42:29] itijou_: きにしすぎやゆ
[0:42:39] つっきー3355: www
[0:43:52] TYdaaa: 数字の筋肉おしてるからじゃないのか？
[0:44:29] 阿吽呼吸: 八の字やめろw
[0:44:43] くまさん744: ｗｗｗｗ
[0:44:45] siguma1936: wwww
[0:44:47] TYdaaa: www
[0:44:47] つっきー3355: ありけん？
[0:44:48] 奄美迦楼羅: コンビニが簡単で稼げそう
[0:44:50] むつっきー: wwww
[0:44:50] moroheyyear: 今日やばw
[0:44:50] バイオ太郎: ありけんやめてね
[0:44:51] ネオちー: やめとけｗ
[0:44:55] hinakoooo_fn: wwww
[0:45:14] yossy_island23: 今日これずっと擦られるぞ
[0:45:17] novanew99: もう無視が一番正解かもw
[0:45:21] TYdaaa: まぁ付き合い長いからしゃあない気もするw
[0:45:30] 奄美迦楼羅: 答えは沈黙
[0:45:35] sakuto3399: いっその事名前アリケンにしてもらうか
[0:45:44] おむだお: ありけんが高木って呼べるからずるい
[0:47:31] TYdaaa: 言われてるぞ
[0:47:35] つっきー3355: www
[0:48:37] 奄美迦楼羅: けっつんなつ
[0:48:41] magical_ba77: けっつん
[0:48:43] moroheyyear: けっつんだぁあ
[0:48:45] sakuto3399: けっつんー
[0:48:51] airplayerx: …
[0:48:56] つっきー3355: www
[0:48:59] むつっきー: wwwwww
[0:49:01] garege14: 団長ブスなの悲しいｗ
[0:49:02] ネオちー: このデブ擦りすぎだろｗ
[0:49:53] むつっきー: wwwww
[0:50:00] itijou_: おっそ
[0:50:14] monmonmona: 恐ろしく速い
[0:50:18] airplayerx: おそろしく遅い手刀
[0:50:25] garege14: オレじゃなきゃ見逃しちゃうね
[0:50:33] つっきー3355: おおおお
[0:50:38] ネオちー: おおー…
[0:50:50] moroheyyear: も、盛り上がったぁあ
[0:50:50] itijou_: わー..
[0:50:51] makiyyyyy: みんな知らないのかw
[0:50:57] sirasuzyusu: 恐ろしく速い手刀ｗ
[0:52:05] TYdaaa: 高木も運転別に悪くないよね
[0:52:31] 奄美迦楼羅: 昨日の例のギャング
[0:52:46] ネオちー: あ
[0:52:47] sirasuzyusu: まほさんか
[0:52:50] moroheyyear: あ
[0:52:50] つっきー3355: あ
[0:52:52] mitsuya115: あ
[0:52:52] hinakoooo_fn: あ
[0:53:26] magical_ba77: もうあきた
[0:53:32] karumimaguro: あ
[0:53:40] ryu5ei_: ww
[0:53:41] itijou_: つら
[0:55:24] つっきー3355: www
[0:56:48] TYdaaa: くそ便利やからしまったの出てこいw
[0:57:43] magical_ba77: あり
[0:57:59] つっきー3355: く、び
[0:58:03] hiropon79: やったれやったれ
[0:58:04] 奄美迦楼羅: 警察署襲撃は罰金３０００万
[0:58:08] りんごりらっぱせり: 心機一転とは
[0:58:21] itijou_: 大きすぎる型
[0:58:34] sakuto3399: 自分で払えなかったらやらかしだけど払えるなら良さそうな感じもするけどな
[0:59:52] TYdaaa: クラフト、、、
[1:00:33] sirasuzyusu: 盗難かもね
[1:00:49] mitsuya115: カレー屋いいね
[1:00:51] だるせーにょ: タバコやろ
[1:00:56] ネオちー: カレー屋さんの子可愛かったな
[1:00:56] tanakadesukedo: タバコ屋もあるよ
[1:01:35] sirasuzyusu: いいね
[1:01:37] inuemonn: この街の住人と交流は大事やね
[1:01:39] sakuto3399: ここなちゃんか
[1:01:45] りんごりらっぱせり: 貢献するんじゃないのかよ
[1:02:09] yossy_island23: ｗｗ
[1:02:12] sakuto3399: まあお金ないし
[1:02:15] sirasuzyusu: コラボみたいなもんか
[1:02:18] バイオ太郎: 残念ｗ
[1:02:22] オロポン123: 一旦やっとくか
[1:02:26] yakinikuu256: 元々銀行しに行く話だったのにw
[1:02:30] TYdaaa: 貢献してないのに遊びに行くのも確かに変だよな
[1:02:31] o5_oma: 嫌かw
[1:02:59] sirasuzyusu: やばぁ
[1:03:11] grimoooooo: おわった
[1:03:14] magical_ba77: wwww
[1:03:17] satodayo_o: ギャング
[1:03:20] sirasuzyusu: ｗｗｗｗ
[1:03:20] yossy_island23: あっちのがギャングか
[1:03:20] つっきー3355: wwwww
[1:03:21] だるせーにょ: くせっつよww
[1:03:25] kamabokopi5: えぐいって
[1:03:25] dox404: wwww
[1:03:25] mitsuya115: ギャル
[1:03:34] ネオちー: ギャルいなｗ
[1:03:49] 奄美迦楼羅: ママのチュートリアル
[1:04:13] sakuto3399: 共犯なるよ
[1:04:41] たーかて: ガチお叱りきたｗ
[1:05:07] stgrao: はわ
[1:05:08] つっきー3355: www
[1:05:21] airplayerx: 聞いてません
[1:05:28] つっきー3355: 話聞いてません
[1:05:42] stgrao: ハンクにめんどくさがられてるってwwww
[1:05:46] mitooooh: 話聞かないRPエグいwwwwww
[1:05:59] ネオちー: え？
[1:06:05] つっきー3355: え
[1:06:16] blaotnkzz: 種
[1:06:31] ネオちー: あれは悪くないだろｗ
[1:06:59] yakinikuu256: 無視しようぜはやべえよw
[1:07:02] つっきー3355: おいまじかよwww
[1:07:04] baricondor3: wwww
[1:07:05] TYdaaa: 態度やばかったよw
[1:07:05] たくみ0928: これは高木悪くないw
[1:07:10] ryu5ei_: 一旦集合かw
[1:07:11] つっきー3355: wwwww
[1:07:13] blaotnkzz: おもれーわ
[1:07:14] オロポン123: またかよw
[1:07:18] sakuto3399: 無視しよーぜとか良くないな
[1:07:23] yossy_island23: むしろ金よこせっていってきたよな
[1:07:32] grimoooooo: 無視しよーぜ
[1:07:40] つっきー3355: おわってるwww
[1:07:40] TYdaaa: 金ないから金よこせってバケモンだろw
[1:07:41] ぱん2: めんどw
[1:07:42] mitsuya115: 1人は優しい女もう1人は高圧的だったな
[1:07:45] ネオちー: 喧嘩売られたから買っただけだよなｗ
[1:08:12] つっきー3355: www
[1:08:16] sakuto3399: ノリで言ったんだよね
[1:09:23] sakuto3399: 心機一転兵……
[1:09:28] yossy_island23: あってはいるｗ
[1:09:34] grimoooooo: あってるくない？
[1:09:48] ネオちー: これは間違ってないｗ
[1:10:42] hinakoooo_fn: 間違ってないな
[1:10:59] ネオちー: 右だったな
[1:11:02] sakuto3399: 同じ車線だったよね？
[1:11:12] indoyou_: あっちがオラオラだよなｗｗ
[1:11:13] たくみ0928: いってないw
[1:11:17] yossy_island23: なんでおこられるんだ？
[1:11:21] monmonmona: 正直心狭いなｗ
[1:11:31] TYdaaa: 一言余計ってやつやな
[1:11:32] sakuto3399: これはちょっとわかんねwww
[1:11:34] 阿吽呼吸: 心せっま
[1:11:34] ネオちー: そこなんだｗ
[1:11:40] nanairo200844: この喋ってる人だれですか？
[1:11:42] オロポン123: なんで怒られてんねんw
[1:11:44] masao333: 仕方なくね？
[1:11:45] 刺身サーモン: takagi8Hatena takagi8Hatena takagi8Hatena
[1:11:46] ぱん2: かわいそう高木たち
[1:11:48] grimoooooo: なす
[1:11:49] バイオ太郎: 大変だあ
[1:11:50] ryu5ei_: なすさん
[1:11:57] つっきー3355: ごめんなさいで終わった話か
[1:11:58] 奄美迦楼羅: アンブレラの看板があーだこーだ
[1:11:58] nanairo200844: ありがとうございます
[1:12:00] デスお寿司: ふつうにおこられてる笑
[1:12:03] kamabokopi5: 笑うわw
[1:12:05] kakinootaane: そうなるか？
[1:12:14] wassyoi7: ええ
[1:12:17] unikun8282: これはかわいそう
[1:12:18] 日高山脈: 冗談通ですやん笑
[1:12:19] オロポン123: 向こうが先に言ってきたよな
[1:12:24] corgi_green: デイリー説教
[1:12:26] 阿吽呼吸: 意味わからんww
[1:12:27] magical_ba77: いやあやまったあと相手からおらおらだったやん
[1:12:33] monmonmona: むっずｗ
[1:12:35] ryu5ei_: ログインボーナスかな
[1:12:37] たくみ0928: まあ言わなくて良かった事ではあるけど冗談って分かったw
