[0:00:10] れれらい: タイトルかわった〜
[0:04:34] ぱぼーんです: おー
[0:04:40] ichi38_: おはよー
[0:04:42] ネオちー: お姉ちゃん居るとこじゃん
[0:04:47] marian36: 鍵買ったしお金荒いかた聞けるかな
[0:04:47] Boukan_sha_: シャンクズだえ
[0:04:47] kakinootaane: まけないえー
[0:04:52] ジヴァ: てことはシャンクズか
[0:04:54] もんしぐれ: こん
[0:04:55] k0u0722: SAY
[0:04:59] ioringo226: お姉ちゃんいるかな
[0:05:01] にーとろる: チャッスル
[0:05:20] しばですよ: こん
[0:05:30] しろしろくんどっと: 高速穴も四つ又も活躍してるからユニオンにはいい想い出がいっぱい
[0:05:36] あぶりちーず: おいすー
[0:05:42] kinakooi: こんばんわーー🤡
[0:05:50] riou18: 資金洗浄するかえ？
[0:06:00] レヴィ99: 資金洗浄する時間するかな
[0:06:25] 御免わびる: おはよー
[0:06:40] るかまま: こんばんぇ
[0:07:06] あずきごはん: こんばんわ
[0:07:31] nao_until: こん
[0:07:37] gaaahyu: say
[0:07:39] レヴィ99: かもね
[0:07:40] otonashi6209: お金減ってなくないですか？
[0:07:42] setunry: say仲間じゃない?
[0:07:42] takenoco: karubisDoya
[0:07:43] ふゆ介: お姉ちゃんとあってるよ
[0:07:43] ティーセブン: 小学SAY
[0:07:44] 御免わびる: おねえちゃん
[0:07:45] キングスピア: SAYがいたえ
[0:07:47] takuchan12: 何人かしたよ
[0:07:48] k0u0722: 小学SAY
[0:07:49] Sean_kmsky: 一回合同したはずだえ
[0:07:49] risuzu_00: まえやってたね
[0:07:50] aya_s: 船
[0:07:51] ネオちー: お姉ちゃんいたじゃん
[0:07:56] hahahaijtkrkdjsnssk: それオールインじゃなくて？
[0:07:57] icenine_9029: SAYの意志の人か
[0:08:04] kinakooi: お姉ちゃんがいた
[0:08:09] dedededaimaou2007: 客船してたような
[0:08:11] KABAYAKIGG: www
[0:08:12] takuchan12: トラと
[0:08:14] ugogoogogoogogo: SAYお姉ちゃん
[0:08:15] kinakooi: www
[0:08:18] kawakami315: 仲良いね
[0:08:19] 鈴木3: !pin
[0:08:19] shiki_karakyou: 聞いてみる？
[0:08:19] ariken_company: @鈴木3 鳩・鳩反応・指示禁
[0:08:28] marian36: 聞いてみると教えてくれるんじゃないかな
[0:08:28] takoase_0_: なんでか聞いてみるか
[0:08:33] atsumori_pop: チャルロスおはよう！
[0:08:34] icenine_9029: 短い期間に2回だもんね
[0:08:35] shin_misou: この街はギャング同士仲いいのかな
[0:08:46] 双子のショウさん: いろいろあるんす
[0:08:50] _るるちゃん: おは！
[0:09:00] haru524288: いいね
[0:09:04] kinakooi: だえだえーーーーー
[0:09:06] レヴィ99: いーねー
[0:09:07] shiki_karakyou: だえRemix
[0:09:07] atsumori_pop: いいね～”
[0:09:07] nyonmenm: うわー－－－－そうじゃん
[0:09:10] だーやま4096: それはそうだえー
[0:09:13] otonashi6209: あーね
[0:09:19] tokino8044: 歴代クリップ鑑賞する？
[0:09:19] kinakooi: なるほど
[0:09:21] opefgrapon: 聞いてみたえ～
[0:09:23] icenine_9029: それはね...
[0:09:23] reizan16: ネタバレ要素が多すぎるｗｗ
[0:09:24] ぜろぜろ: 教えていいなら、教えますよ！
[0:09:24] 双子のショウさん: それは歴史とは別の話しwww
[0:09:25] たろをまんじ: 裏があるんだろうね
[0:09:25] itoriyo: 今日はジェイク以外も…
[0:09:26] セシル01: 歴史おもろいぞ
[0:09:27] らんぱ: いろいろあるんだえ
[0:09:30] hachiko0000: 歴史聞きたいえ
[0:09:38] sssooolllaaaaa: 教えていいわけねえ
[0:09:39] タピコ555: たのしみうあねぇ
[0:09:49] atsumori_pop: メンバーから歴史を聞くっていうストーリーが見たいえ～～～～
[0:09:50] shin_misou: 直接聞こう
[0:09:54] icenine_9029: 興味あるなら聞いた方がいいえ
[0:10:04] ティーセブン: コインランドリー
[0:10:06] kakinootaane: すごいえー
[0:10:06] Sean_kmsky: とうとう来たー！
[0:10:07] エメリ: ゆっくり話を聞くのもいいえ
[0:10:24] しばですよ: ｗｗｗｗｗ
[0:10:25] プッチンプリン: ｗｗｗｗｗｗ
[0:10:26] ふゆ介: 物理すぎる
[0:10:28] ナマコ魚雷: www
[0:10:29] hachiko0000: 物理洗浄wwww
[0:10:29] icenine_9029: 資金洗浄(物理)
[0:10:29] ろいどです: 資金洗浄（物理）
[0:10:30] phoenix_desu: www
[0:10:30] aya_s: wwww
[0:10:31] tokino8044: wwwwww
[0:10:32] たろをまんじ: 物理
[0:10:32] 鬼九: ｗ
[0:10:36] Sean_kmsky: 本当に汚れてるお金なのかｗｗｗ
[0:10:36] ソルティー_: ランドリーすぎるw
[0:10:36] kawakami315: ガチ洗いwwww
[0:10:37] sabachann123456: www
[0:10:39] itoriyo: 洗浄
[0:10:41] ichi38_: 物理的洗浄ww
[0:10:48] atsumori_pop: きたねえ金を洗うんだえｗ
[0:10:52] ネオちー: ファーファ―にしよ
[0:10:52] エメリ: ソフランw
[0:10:53] ティーセブン: マネーランドリー
[0:11:32] らんぱ: あ
[0:11:33] atsumori_pop: 資金洗浄(物理)
[0:11:33] haru524288: あ
[0:11:34] ジヴァ: あ
[0:11:38] kawakami315: 168円
[0:11:38] ろいどです: やっぱり汚い金はしっかり洗うえ
[0:11:40] 職人: 、
[0:11:42] ろいどです: ｗｗｗｗ
[0:11:44] user_001fin: wwwwww
[0:11:44] phoenix_desu: wwwwww
[0:11:46] 鬼九: ｗｗｗｗｗ
[0:11:46] umeeech4: カンマいれちゃった？ｗ
[0:11:46] kmonnuuuuu: コンマ
[0:11:48] dondorondoteto: wwwwwww
[0:11:48] ジヴァ: ,
[0:11:50] ソルティー_: あら
[0:11:50] らんぱ: カンマいらんえ
[0:11:51] Mamitidato: ｗｗｗｗ
[0:11:51] 小野寺のぷんぷん: 点いらないw
[0:11:52] hachiko0000: 10分待ちだえwwww
[0:11:52] mezo_zo_: ピリオドイランえ
[0:11:53] yukine1321: ｗｗｗｗｗｗｗｗｗｗｗｗ
[0:11:56] Kaminagi_TKP: ,いらないねw
[0:12:01] エメリ: かわいいチャルw
[0:12:02] だーやま4096: ソフランで洗ったら真っ白になりそうだえ～
[0:12:07] user_001fin: ドジっ子だええ
[0:12:09] ティーセブン: ハンマーカンマーだえ
[0:12:29] papapapupepon: あれ数えやすくするやつだからな
[0:12:32] nyonmenm: あ
[0:12:35] ジヴァ: あ
[0:12:37] nao_until: あ
[0:12:41] tuba2525: あ、
[0:12:43] kinakooi: 誰だ🤡
[0:12:46] reizan16: CPUかｗｗ
[0:12:46] dappu1234: cptだね
[0:12:47] 職人: ｗｗｗｗｗｗ
[0:12:48] ryoukake: 車高の低さは
[0:12:48] d3suko: おっとっと
[0:12:49] rocomoco18: つよさう
[0:12:50] haru524288: CPUか
[0:12:58] reizan16: 銃強そうだなぁｗｗ
[0:13:10] kinakooi: cpu
[0:13:13] escrily: 車高の低さは知能の低さなや
[0:13:15] hachiko0000: 机溶けてるwww
[0:13:21] ジヴァ: 一旦帰るか
[0:13:22] ティーセブン: GPU
[0:13:26] uru___0: 先ユニオンか
[0:13:44] konkon9011: ん？
[0:13:44] 鬼九: 噛み噛みだえ
[0:14:00] プッチンプリン: ｗｗｗｗ
[0:14:08] karura4427: 豚汁の出汁なってくれますか？
[0:14:18] 狐爪: WutFace
[0:14:19] escrily: ありけん最低だな
[0:14:28] tuba2525: 餓鬼の何も生えてない“アレ”を
[0:14:32] s_mjpa: 離れて大丈夫なの？
[0:14:34] 鬼九: 学びだえ
[0:14:44] user_001fin: 学びだな
[0:14:44] 加斗: そこに入れて大丈夫？
[0:14:50] kinakooi: 学びだなーーー🤡
[0:14:51] ゆきち0919: お勉強だぇ
[0:14:52] ジヴァ: 168円やし
[0:14:54] もずくみこみこ: 失敗から学ぶえ
[0:15:21] kinakooi: @もずくみこみこ たしかに
[0:15:39] Sean_kmsky: レベル上げは資金洗浄ぽいけどね
[0:16:22] reizan16: 偽札洗浄して古く見せるのが元ネタだと思うｗ
[0:16:34] atsumori_pop: 歴史だえ～～～～～！
[0:16:36] icenine_9029: なるほどね
[0:16:37] ティーセブン: のれん分けだえ
[0:16:37] ネオちー: 会ったことないな
[0:16:38] user_001fin: しゃんくずううう
[0:16:49] omni_ixa: 邂逅
[0:16:50] ジヴァ: 会ってみたいな
[0:16:52] ティーセブン: ラーメン二郎みたいだえ
[0:16:53] reizan16: 天竜人とシャンクズか…
[0:16:54] icenine_9029: ラーメン屋みたいなもん
[0:17:00] oliolikisuke: シャンクズとの絡み楽しみ
[0:17:07] たこでたこ: 会っただろw
[0:17:09] 加斗: ヘリバトルした人
[0:17:10] 空気3: ヘリバトルしたやん
[0:17:12] masamune_datekun: あったえー
[0:17:13] rocomoco18: そうだね
[0:17:15] marian36: ヘリバトルした人か
[0:17:16] レヴィ99: ヘリ褒められた人か
[0:17:18] kakinootaane: 会ったやん
[0:17:18] setunry: おいw
[0:17:24] oliolikisuke: まじか
[0:17:28] icenine_9029: そっちの世界線もあったんか
[0:17:28] 鬼九: そうなんやｗ
[0:17:29] gaaahyu: wwww
[0:17:39] kinakooi: ｗｗｗ
[0:17:40] ソルティー_: なるほどね！
[0:17:53] kinakooi: すご餡ブレラ
[0:17:57] magictol44: 歴史を感じたかえー
[0:18:03] たろをまんじ: おもしろい人間関係やね
[0:18:06] reizan16: ジェイクの話も来てみようぜｗｗｗ
[0:18:07] もずくみこみこ: 歴史を知るとおもしろいえ
[0:18:10] user_001fin: ありけんもいつか…？
[0:18:10] ゆのぴか: なつめくんに声掛けられてたんだ〜！鳥肌！
[0:18:12] atsumori_pop: 餡の歴史面白いえ～！
[0:18:14] oliolikisuke: 楽しみー！
[0:18:15] ichi38_: 歴史知るのおもしろいんだよね
[0:18:18] shin_misou: アンブレラ歴史あるね〜
[0:18:29] user_001fin: おもろ
[0:18:44] ティーセブン: だからMOZUのボスはあんなに雰囲気あるのかえ
[0:19:08] らんぱ: くそつぼってたえ
[0:19:10] Sean_kmsky: 少し詰められたえ
[0:19:11] user_001fin: もっと深く聞くとおもろそう
[0:19:12] oliolikisuke: ボスのボス
[0:19:13] yyuu65: 師弟関係やで
[0:19:15] otonashi6209: 1年以上もやってれば歴史が生まれるのも納得だえ
[0:19:18] atsumori_pop: 敵対組織ではあるえ？
[0:19:19] hachiko0000: モズのボスはボスのボスだえ
[0:19:37] Stella7777: キャンターマー？
[0:19:55] swilliumsuki: キャンターマーがちしぬ
[0:19:58] らんぱ: ヴァン ダーマーさんね
[0:19:59] ichi38_: 番田さんww
[0:20:00] ネオちー: 番田さん？
[0:20:02] tigersliker1967: ヴァンさんは人格者ぇ
[0:20:02] atsumori_pop: それ魂の名前やｗｗｗ
[0:20:05] セシル01: 番田さんは別やねw
[0:20:06] user_001fin: 番田さんってだれ
[0:20:08] oliolikisuke: それは魂w
[0:20:09] ant12037: 番田はまずいなw
[0:20:10] otonarhi_02: ヴァンダ
[0:20:10] taikomaru000: それは魂の名前
[0:20:10] masa_y_13: 誰？？？
[0:20:11] くるあ0109: 魂の名前草
[0:20:12] learnenglish12345: 番田さんww
[0:20:12] knty_jp: それはまずいｗ
[0:20:13] takuchan12: 番田さんちゃうw
[0:20:16] kamunagi1105: ヴァンダーマー
[0:20:17] ティーセブン: ヴァン・ダーマー
[0:20:18] icenine_9029: ヴァンダーマー
[0:20:19] omni_ixa: それ中身
[0:20:20] Sean_kmsky: それは魂の名前だえｗ
[0:20:20] hirata923: ヴァンダーマー通称ヴァンさん
[0:20:21] もずくみこみこ: ヴァンダーマーだえ
[0:20:23] taka_um1: まあまあ
[0:20:23] shiki_karakyou: www
[0:20:24] hachiko0000: ヴァンさんだえw
[0:20:25] gircro: ヴァンさんかダーマーさん
[0:20:27] yamazakin12: 貫通w
[0:20:28] otonarhi_02: ヴァンダ(ーマー)
[0:20:29] gaaahyu: あぶない
[0:20:29] 鬼九: ｗｗｗ
[0:20:30] atsumori_pop: 沈められるぞｗｗｗ
[0:20:31] らんぱ: 何時しかの記憶だえ
[0:20:34] oliolikisuke: 貫通わろ
[0:20:35] しゅららぼん03: ヴァンだで止めたらそれなんよw
[0:20:36] tomatotabete: 一人だからセーフだえ
[0:20:38] yamazakin12: 流石天竜人w
[0:20:41] yossy_island23: 長助って名前つきそう
[0:20:53] 狐爪: NotLikeThis
[0:20:54] ichi38_: wwww
[0:20:55] achan2805: 高等部ｗ
[0:20:56] もずくみこみこ: 後頭部wwwwww
[0:20:59] itoriyo: あ…
[0:20:59] opefgrapon: 後藤れむ
[0:21:00] みみまい: 後藤れむ
[0:21:00] oliolikisuke: ww
[0:21:01] achan2805: 後頭部
[0:21:01] ジヴァ: 後頭部www
[0:21:01] 1k4rug4: あｗｗｗ
[0:21:04] しゅららぼん03: あっw
[0:21:04] Sean_kmsky: 活舌ｗｗｗ
[0:21:04] icenine_9029: www
[0:21:05] nyonmenm: あ
[0:21:05] knty_jp: 耳終わってるえ
[0:21:05] leonis1100: 今日は、最強の後藤れむが居るのか···
[0:21:07] ネオちー: ｗｗｗｗｗ
[0:21:08] itoriyo: ｗｗｗｗｗｗｗｗ
[0:21:08] reizan16: GODレムｗｗｗ
[0:21:08] key_umi: こりゃ手強いなw
[0:21:08] みみまい: ｗｗｗｗｗｗ
[0:21:09] dondorondoteto: wwwwwww
[0:21:11] かぷちーのさん: wwww
[0:21:11] user_001fin: おっと
[0:21:12] エメリ: wwwww
[0:21:12] tuba2525: ぼ、す
[0:21:12] itoriyo: おもろｗ
[0:21:12] oliolikisuke: www
[0:21:13] さけじゃけ: きたｗ
[0:21:13] KABAYAKIGG: wwwwww
[0:21:13] hachiko0000: wwwwwwww
[0:21:14] atsumori_pop: おっとっとｗｗｗ
[0:21:14] SOLUNA_000: wwwwww
[0:21:15] takuchan12: 猫マンゴーもおる
[0:21:16] kamunagi1105: おっとっと
[0:21:18] ネオちー: やったったろう
[0:21:18] user_001fin: きたきたー
[0:21:19] れのだお: ぼ、す
[0:21:19] くるあ0109: おっとっと
[0:21:20] ソルティー_: もんきーずw
[0:21:21] fancy_hippo: 対抗きた
[0:21:21] icenine_9029: 何も知らないチャル
[0:21:23] もずくみこみこ: 後藤れむと会えるの楽しみだえ
[0:21:27] ティーセブン: まさに犬猿の仲だえ
[0:21:27] ろいどです: れむの頭に鉛玉ぶちこむえ
[0:21:34] みみまい: チャルのこの先が楽しみｗ
[0:21:35] 加斗: グレ持ってね
[0:21:37] gundora23: おもろいことになってきたえ
[0:21:37] Sean_kmsky: とうとう親玉をやるえーｗｗｗ
[0:21:45] nyonmenm: @tuba2525 ネタばれやめてね
[0:21:46] takuchan12: レム君と猫マンゴーおる
[0:21:46] yossy_island23: ドッグスかえ
[0:21:50] くるあ0109: 後藤れむにはやくあってほしかったえ
[0:21:50] hirokaren: カギはしまっていくえ
[0:21:52] しゅららぼん03: レムなんてちゃるにかかればよゆーだえ
[0:21:52] さけじゃけ: どうなるかなー
[0:21:53] メグミル: 最強だえ
[0:21:53] れのだお: チャルは後藤レムが誰か知らない、
[0:21:56] ソルティー_: まだ上にいたのね
[0:21:57] もずくみこみこ: みこだのボスだえ
[0:21:57] ネオちー: 親玉ぼこって煽ってくれ
[0:21:57] sai_xxxx: みこだの親玉
[0:21:58] swilliumsuki: みこだよりつよいえ
[0:21:58] itoriyo: れく君だえ
[0:22:02] さけじゃけ: レムぼこすか！
[0:22:02] 鬼九: ドッグスのプレデターだえ
[0:22:03] ろいどです: ぶっ飛ばしてやるえ
[0:22:03] ネオちー: いいね
[0:22:05] key_umi: 楽しみだえ
[0:22:05] エメリ: れむくんの後頭部に鉛玉ぶちこむえー
[0:22:08] user_001fin: 容赦すんなよ
[0:22:08] hachiko0000: 親玉絶対やるえ！
[0:22:09] くるあ0109: ボスと同等だえ
[0:22:12] karashi666: みこだは新人寄りだな
[0:22:22] Sean_kmsky: 次の標的だえ
[0:22:23] もずくみこみこ: れむを やったるえ
[0:22:25] tigersliker1967: れむ君、強いぇーww
[0:22:26] achan2805: 強い人はまだいるって感じねｗ
[0:22:26] 双子のショウさん: 警察最強だぞ
[0:22:30] みみまい: 強い奴は多いえ
[0:22:31] allie2209: 気合い入ってんね
[0:22:35] レヴィ99: アーマー グレ
[0:22:37] key_umi: れむをやっちゃえ
[0:22:40] takuchan12: みこだより強いのはレム君とマンゴー
[0:22:42] hirata923: 総合値最強はレムだえ
[0:22:43] swilliumsuki: 最近なんか警察強いよね
[0:22:45] 加斗: 薬、アーマー
[0:22:46] leonis1100: れむは強いえ。特に餡に対してはね···
[0:22:53] atsumori_pop: チャルロス来てから大型成功率上がってるよなあ
[0:23:02] yossy_island23: ぶちころがすえ
[0:23:14] swilliumsuki: こちとら城やぞ
[0:23:17] もずくみこみこ: ファイトだえ
[0:23:18] Boukan_sha_: タバコがまずいか
[0:23:19] みみまい: 報復たのしみだえｗ
[0:23:22] だいこん食え: やさしいだえ
[0:23:27] shin_misou: グレネードキルするえ〜
[0:23:34] icenine_9029: 那須さんと仲良くなったえ
[0:23:43] 鬼九: ｗｗｗ
[0:23:45] ネオちー: ブラメンｗ
[0:23:48] もずくみこみこ: ラーメンw
[0:23:49] oliolikisuke: やさし
[0:23:49] たろをまんじ: ラーメンww
[0:23:54] gircro: ブラックメンソール
[0:23:54] ネオちー: まんまやんｗ
[0:23:54] tuba2525: し、ゃか
[0:23:56] 風呂ゾンビ: ち、から
[0:23:58] leonis1100: タバコ屋があるえ。
[0:24:02] Sean_kmsky: もう本物やんｗｗｗ
[0:24:03] ろいどです: ムギロボｗ
[0:24:04] 狐爪: LUL
[0:24:10] otonashi6209: これほんますごい
[0:24:13] nsgrn__: マルボロだえ～
[0:24:25] atsumori_pop: タバコは舌が鈍るえ～！
[0:24:53] oliolikisuke: やば
[0:24:54] ジヴァ: お
[0:24:55] もずくみこみこ: すごいえー
[0:25:00] oliolikisuke: あついねー
[0:25:00] 鬼九: 圧巻だえ
[0:25:01] icenine_9029: 熱いえ
[0:25:03] ネオちー: お姉ちゃんいる？
[0:25:04] 職人: ｗｗｗｗｗｗｗｗｗｗ
[0:25:14] しゅららぼん03: www
[0:25:16] oliolikisuke: www
[0:25:18] shin_misou: wwwwwwwww
[0:25:22] 鬼九: ｗｗｗ
[0:25:23] sabachann123456: www
[0:25:24] tokino8044: wwwww
[0:25:26] atsumori_pop: もうドクロベエだよ
[0:25:37] omni_ixa: SAYの一族
[0:25:44] くるあ0109: シャンクズと天竜人の出会い
[0:25:46] もずくみこみこ: 喪黒福造ではないえw
[0:26:06] oliolikisuke: がんばれー
[0:26:12] さけじゃけ: ついに対面だえ
[0:26:15] papapapupepon: スカしてるな〜w
[0:26:37] 捲土重来けんど: SAY兄弟がんばれえ
[0:26:46] もずくみこみこ: ノーリミも強いえ
[0:26:53] 鬼九: ｗｗｗ
[0:26:58] さけじゃけ: ｗｗｗ
[0:27:02] leonis1100: Wwwww
[0:27:10] shiki_karakyou: 仲良しw
[0:27:11] もずくみこみこ: シャンクズのわきを弄りwww
[0:27:27] ネオちー: チャっスル
[0:27:32] haru524288: いつものとこか
[0:27:38] 職人: 城だぇ
[0:27:40] twmonitor: ”城”
[0:27:40] oliolikisuke: チャッスル🏰
[0:27:47] ジヴァ: wwwww
[0:27:47] makotoo_hase: 本日も安定のスカし芸w
[0:27:48] 奄美迦楼羅: ハイドのふな
[0:27:49] tuba2525: ゆ、
[0:27:49] ネオちー: ふなでたｗ
[0:27:50] makaron0723: フナきた
[0:27:50] ティーセブン: フナｗ
[0:27:53] gaaahyu: あ
[0:27:54] ソルティー_: フナ！？
[0:27:55] 湘南マグナム: ふなｗｗ
[0:27:56] ore_cola: 、ふな
[0:27:57] ジヴァ: ハイドうまそう
[0:28:01] しゅららぼん03: ふなwww
[0:28:05] yossy_island23: ふ、な？
[0:28:08] sushiboysomg: 身内ばっかや
[0:28:10] papapapupepon: ハイドのフナか
[0:28:11] achan2805: フナそっち入ったのね
[0:28:15] ぱぱらぱ00: 高速一人？
[0:28:20] kashu88: 台本あったんだろうねw
[0:28:22] nsgrn__: 警察受からなかったのか？
[0:28:36] rocomoco18: 、ふな
[0:28:37] opefgrapon: チョッパー？
[0:28:39] レヴィ99: 3人
[0:28:51] ganototosu05: 、ふ、な
[0:28:56] k0u0722: ここONEPIECE多くね
[0:29:01] たろをまんじ: 合同熱いな
[0:29:10] kinakooi: フ、ナ
[0:29:16] マドリディスタ: チョッパー、ジャンクズ、天竜人
[0:29:19] お習字: すかしじゃなくてRPだけどな
[0:29:38] kinakooi: ノーリミ人おお
[0:29:45] sushiboysomg: ハイドのふな
[0:30:02] 加斗: 無線は？
[0:30:05] kinakooi: PopNemo
[0:30:07] テリアめん: じゃぁフナはモンキーDユフィってこと？
[0:30:18] achan2805: え？ｗ
[0:30:19] 職人: え
[0:30:21] もずくみこみこ: え？www
[0:30:46] tigersliker1967: ＰＯＮだぇw
[0:30:47] もずくみこみこ: 始まる前で良かったえ
[0:30:50] torataco09: 45.92
[0:30:51] seki_y_y: 45.92
[0:30:52] sushiboysomg: まだ大丈夫
[0:30:55] レヴィ99: 無線聞こえたか？
[0:30:55] kashu88: ノーリミ個人医3人か、、、
[0:30:56] しゅららぼん03: 人多いと取り分減るけど頼もしいな
[0:30:57] 加斗: 45.92
[0:30:57] torataco09: 45.92だよ
[0:30:58] gaaahyu: ww
[0:31:01] sabachann123456: ww
[0:31:03] 狐爪: www
[0:31:04] うるうる5945: 45.92
[0:31:05] ろいどです: ｗｗｗ
[0:31:05] achan2805: 葉味を感じるｗ
[0:31:05] torataco09: 45.92
[0:31:08] achan2805: ｗｗ
[0:31:10] 休むのも大切: wwwwwww
[0:31:10] user_001fin: ハイドww
[0:31:12] tokino8044: wwwwww
[0:31:12] learnenglish12345: ww
[0:31:13] k0u0722: 45.92だってよ無線
[0:31:13] ウミサン: だるw
[0:31:13] シグマファイ: @alchl__受かったけど警察辞退してギャングルート
[0:31:14] kinakooi: 無線45．92
[0:31:16] torataco09: 45.92だよ
[0:31:17] garurubob12: ふ、な
[0:31:19] Sean_kmsky: ハイドをネタにしてるえｗｗｗ
[0:31:20] fancy_hippo: ふな
[0:31:21] torataco09: 無線45.92
[0:31:23] sushiboysomg: 霧隠れハイドw
[0:31:24] kamunagi1105: 45.92！！
[0:31:36] レヴィ99: 無線番号言ってたよ
[0:31:41] nsgrn__: 体験とかあるんだｗ
[0:31:42] arca__a: 霧隠れの里のもんかえ？
[0:31:43] うるうる5945: 無線変わってるよ
[0:31:43] torataco09: 45.92
[0:31:46] もずくみこみこ: テキーラさんが！
[0:31:54] torataco09: 無線違うよ
[0:32:09] sabachann123456: ww
[0:32:09] ソルティー_: ww
[0:32:10] 加斗: 45.92
[0:32:14] ろいどです: ボブスレーｗ
[0:32:22] もずくみこみこ: やるえーwww
[0:32:29] 加斗: 無線
[0:32:30] sushiboysomg: ノーリミ女の子多くない？
[0:32:33] opefgrapon: passout
[0:32:34] NiteFthr00: Passout3
[0:32:42] 鬼九: ｗｗｗ
[0:32:44] さけじゃけ: ｗｗｗｗ
[0:32:47] user_001fin: 楽しそうwwwwww
[0:32:48] atsumori_pop: ｗｗｗ
[0:32:48] oliolikisuke: www
[0:32:51] ろいどです: ｗｗｗｗ
[0:32:52] tokino8044: www
[0:32:52] torataco09: 無線45.92だよ
[0:32:53] もずくみこみこ: 速いえー
[0:32:53] しゅららぼん03: 平坦な道で加速してるのやばいw
[0:32:59] たろをまんじ: 新たなおもちゃ
[0:33:03] 加斗: 無線入れてー
[0:33:03] makotoo_hase: ボブスレーwe
[0:33:05] ジヴァ: ボブスレー
[0:33:08] user_001fin: さい先不安wwww
[0:33:16] achan2805: ウインタースポーツで似たものあるｗ
[0:33:19] atsumori_pop: いいなあｗｗ
[0:33:19] Sean_kmsky: 普通に強そうｗｗｗ
[0:33:24] twmonitor: wwwww
[0:33:31] レヴィ99: 無線
[0:33:46] ant12037: 坂道登れんのマジで草
[0:33:52] torataco09: 無線45.92
[0:33:58] 加斗: 無線
[0:34:05] torataco09: 45.92
[0:34:05] 加斗: 45.92
[0:34:06] kamunagi1105: 45.92
[0:34:08] うるうる5945: 45.92
[0:34:26] mikenyan089: www
[0:34:28] atsumori_pop: !pin
[0:34:28] ariken_company: 鳩・鳩反応・指示禁
[0:34:29] user_001fin: 気づいてよかったね
[0:34:32] nsgrn__: 「無線」も指示コメでは
[0:34:32] uminncyu: いいよー
[0:34:35] もずくみこみこ: www
[0:34:57] もずくみこみこ: だえーだえー♪
[0:35:10] yossy_island23: ありけんカンパニーきた
[0:35:24] 鬼九: 中指ｗ
[0:35:26] 職人: 凸
[0:35:28] ソルティー_: www
[0:35:38] ココナッツミルク: @alchl__ 配信者が聞かない限りは支持コメではない
[0:36:27] jarashi119: 西海岸
[0:36:37] jason_game_ch: 草
[0:36:55] Sean_kmsky: 親玉が強いえｗ
[0:36:56] もずくみこみこ: www
[0:36:56] tigersliker1967: れむ君、最強クソガキだぇw
[0:36:59] ろいどです: いかれた６歳児ｗｗｗ
[0:37:03] しゅららぼん03: この街最強の6才児w
