[0:00:29] Ashamix_x: konn
[0:23:47] risuzu_00: 家はもう買ったのかえ？
[0:23:48] temtaile: ww
[0:23:48] ソルティー_: www
[0:25:23] ichisanniiroku: カニ食いたくなるえ
[0:25:47] しぇぱ3: あったなｗ
[0:25:55] nonono090: 今日も歪みの予感
[0:25:56] chikuchikukotoba33: あった、ww
[0:25:59] hiyokomanjuuuuu: なついｗ
[0:26:38] setunry: 初アーティきちゃ
[0:26:49] atsumori_pop: アーティきちゃ！？
[0:28:47] hachiko0000: 夢ある
[0:28:49] nonono090: へー
[0:29:06] おつる2: いっぱいいるはくずいｗｗｗ
[0:29:11] 858625: 那須さんとか良さそうww
[0:29:20] posamurai: 高木葉にさせよ
[0:29:53] si0083: 応募するえ
[0:29:59] hachiko0000: 手始めに合コンとか
[0:30:05] nonono090: わきをにBMCとの合コン開いてもらうえ
[0:30:10] papapapupepon: 高木はずっとガチだろw
[0:30:11] にーとろる: チャルロス、高木、葉ででてほしいw
[0:30:34] chikuchikukotoba33: 高木葉チャルロス賛成w
[0:32:27] iytreszhii: かまじいおるんか
[0:33:08] レヴィ99: たのしみだえー
[0:34:42] shigechan3rd: 徒手空拳
[0:34:59] 858625: 銃持たねーの？
[0:35:10] レヴィ99: ずっと鳴ってるなww
[0:35:16] kin_nic: 無限ガン
[0:35:27] nonono090: グレの音わかんないえ
[0:36:06] 858625: 銃持てw
[0:38:18] たろをまんじ: ボタ姉！
[0:38:29] mini_gori: wwwwwww
[0:38:33] kittankeita: 幅広いえ
[0:38:42] gaaahyu: www
[0:38:43] しぇぱ3: ｗｗｗｗｗ
[0:38:48] kakashiiiiihi: セクシーな声
[0:38:50] mini_gori: 今日買えそうだー
[0:38:53] kittankeita: ぼた姉大人の色気エグいえ
[0:38:57] tigersliker1967: アーティ、バチバチだぇ
[0:39:00] nonono090: うおおおおお
[0:39:09] shun0628ns: 今日もキレイな声だぇー
[0:40:06] sushiboysomg: 合同か
[0:41:01] atsumori_pop: 初アーティ！ファイティーン！
[0:41:42] 858625: 初は緊張するえ
[0:42:01] kittankeita: 楽しみだえ
[0:43:33] tsubuichigo: ふぁいとだえー！
[0:45:45] 海崩: グッドラックだえ～
[0:49:46] kalaagedaisuki: 37564だえ
[0:50:39] maron_b_: 我慢比べかぁ
[0:52:55] na_2na: 初コメ！こんばんは♪
[0:54:39] にーとろる: 椅子はきゃく
[0:54:45] すぱ: 椅子はきゃくやｗｗ
[0:55:28] れれらい: ファイトだえ
[0:56:43] レヴィ99: はえーな警察
[0:56:50] sushiboysomg: はえー
[0:57:12] atsumori_pop: ドキドキやね
[0:57:12] siki0411: キャッスルファイト
[0:57:13] nonono090: 犬に気を付けろ！
[0:57:18] sushiboysomg: 最難関ミッション
[0:58:17] mnmaktbs511: 45.44に2人ね
[0:58:19] sushiboysomg: dogキター
[0:58:36] tsurupikahagemaru_kun: きてるのか
[0:59:09] nonono090: うおおお
[0:59:42] tsurupikahagemaru_kun: 射線通るとこが多過ぎる
[0:59:50] 海老フライマシンガン: チャルかっけえな！
[0:59:57] nonono090: わきおおおおお
[1:00:07] nonono090: あああああ
[1:00:08] ichisanniiroku: Dogsめえええええ
[1:00:10] chikuchikukotoba33: ちゃるううう
[1:00:16] にーとろる: 後藤れむ
[1:00:20] nonono090: 犬があああ
[1:00:22] KABAYAKIGG: 見えなかったぁーーー
[1:00:26] ichisanniiroku: みこだしか見えなかったね！くーーー
[1:00:29] 赤見二等兵: 犬がぁぁぁ
[1:00:30] レヴィ99: 那須にげろー
[1:00:34] Run0808: SeemsGood
[1:00:35] tiga916: メットがデカすぎたかｗ
[1:00:38] atsumori_pop: 流石最難関
[1:00:42] chikuchikukotoba33: dogsはもしや…あの人？
[1:00:52] gaaahyu: 1人に見えたえ
[1:00:53] waka919: また、みこだ
[1:01:04] itoriyo: どのくらい回収できたんだろう
[1:01:06] れれらい: 利確か
[1:01:17] setunry: 全回収できたかえ
[1:01:22] nonono090: しょうじいないのかえ
[1:01:45] itoriyo: えぐい個人医おるてｗ
[1:01:47] sushiboysomg: 状況判断めちゃはやい
[1:02:09] ichisanniiroku: 国家の犬どもめ！！
[1:02:19] karumimaguro: 犬があ
[1:02:31] nonono090: くうw
[1:02:31] waka919: 那須が逃げれたので勝ち
[1:02:47] ジヴァ: 那須の判断流石だったな
[1:03:04] nonono090: なんだなんだ
[1:03:07] すぱ: 罰金分ととんとんくらいかな？
[1:03:08] レヴィ99: おしい
[1:03:11] Run0808: おっし
[1:03:15] らんぱ: 多かったな
[1:03:32] nonono090: 助けにきてくれたのか？
[1:03:52] atsumori_pop: 悔しい～～～～
[1:03:53] shigechan3rd: いっぱいいっぱいになってたね
[1:03:59] ichisanniiroku: 3人称だと見えないよなー！でもNT！
[1:04:22] nonono090: 逃げていいよってやつやってくれねえかなw
[1:04:32] waka919: 右壁はむずいってこと？
[1:04:34] yosivaru: やはり右壁は弱いなぁ
[1:04:38] bloodry: まなびだえー
[1:05:29] maron_b_: ゆーてあれベイトになれたんじゃない？
[1:05:32] 5kaede: 那須さん逃げれたのかな
[1:05:50] atsumori_pop: 肉壁になったからこそ那須さん逃げれたんじゃないかな
[1:06:07] nonono090: チャルロスは犠牲になったんだえ
[1:06:38] gaaahyu: www
[1:06:44] itoriyo: 誰だろうねｗ
[1:06:46] papapapupepon: レオン代表思い出す
[1:06:46] レヴィ99: 誰だ
[1:07:01] kittankeita: 気になるえね
[1:07:01] amane_s: 子供っぽい声だな
[1:07:19] にーとろる: 誰だろうなーーーーー
[1:07:29] ぼくでぇす: 万引きGメンに捕まった人みたい
[1:07:41] ichisanniiroku: お、那須逃げれてそう！アチー
[1:07:48] kittankeita: 誰だか気になるえね
[1:08:32] nonono090: w
[1:08:41] ichisanniiroku: チッｗ
[1:08:55] すぱ: パパやろ
[1:09:14] nonono090: ええなこのくだりw
[1:09:29] na_2na: www
[1:10:01] atsumori_pop: みこだの優しさｗ
[1:10:05] mini_gori: 赤ちゃん割引
[1:10:05] nonono090: ちょっとやさしい
[1:10:44] nyonmenm: 久々ユニオンみたいねえ
[1:10:44] nonono090: 金もち逃げれたのかえ
[1:11:46] papapapupepon: 捕まってたえ
[1:12:02] すぱ: 他の人より頭でかく見えてる当たり人より1.5倍くらい不利背負ってない？ｗｗｗ
[1:13:05] ichisanniiroku: ×1000ｗｗｗ
[1:13:27] nonono090: ん？
[1:13:41] setunry: 持ち物全ロスとかあったよね確か
[1:13:42] kittankeita: 背中に地図のタトゥー彫るだえ
[1:15:15] プッチンプリン: ｗｗｗｗ
[1:15:16] nonono090: まじでサイレン嫌がらせだえw
[1:16:13] nonono090: 口サイレン！？
[1:17:11] らんぱ: wwww
[1:17:42] nonono090: 犬許すまじ
[1:18:08] チェリー0201: www
[1:18:10] nonono090: w
[1:18:21] KABAYAKIGG: いいねぇwww
[1:18:37] papapapupepon: みこだよ10歳とってマジか...
[1:18:38] kittankeita: ちゃんとバチバチなのたまらん
[1:19:18] kittankeita: チャルはストメンタル出てほしい
[1:20:17] nonono090: たけーらま？
[1:21:00] 奄美迦楼羅: ジョーカー誕生
[1:21:29] nonono090: なんかおもしろい流れできそう
[1:22:04] レヴィ99: リベンジだ
[1:22:11] mini_gori: まんま
[1:23:32] マンボー大使: 指示みたいなコメントは嫌われるえよ
[1:23:35] mini_gori: ふぅ
[1:23:40] hachiko0000: ボタリンとデート控えてるん？
[1:23:44] kittankeita: 癒しだえー
[1:23:44] だーすだよ: ふぅ
[1:23:46] nonono090: モテる男は大変だえ
[1:23:47] waka919: ええ声
[1:23:59] waka919: ぐち
[1:24:01] gaaahyu: ぐちかつぼ
[1:24:04] papapapupepon: ぐちかつぼね
[1:24:13] omni_ixa: まんまじゃねーかｗ
[1:24:42] nonono090: たけーらくっそ気になるえ
[1:25:36] mini_gori: だる絡みw
[1:26:27] ichisanniiroku: くっそ元気だえ！
[1:26:28] nonono090: うっせえw
[1:26:28] ぺろさんだよ: ｗ
[1:26:29] mini_gori: かわいい
[1:26:39] nqshiko511: かわいいなぁ
[1:27:19] mini_gori: やっぱ那須は戦闘員
[1:27:28] レヴィ99: たけーらか？
[1:27:37] mini_gori: ガチだったんやw
[1:28:09] KABAYAKIGG: まさかのたけーらw
[1:28:12] atsumori_pop: 静かにブチギレてたんやな・・
[1:28:23] nonono090: たけーら視点くそ見たいやんw
[1:28:46] si0083: いっぱい作るえ
[1:30:58] nonono090: トラック野郎覚醒するえ
[1:31:03] kittankeita: スパイダーマンだえ
[1:32:36] kittankeita: チャルロスaka.トラック野郎の本領だえ
[1:33:42] waka919: 装甲車みたい
[1:34:02] 海崩: だえ～
[1:35:20] atsumori_pop: 気絶やんｗ
[1:36:06] nonono090: デブの鼻血はこわいえ
[1:36:50] yossy_island23: 確かに今日頭いたかった
[1:37:18] Run0808: 動物かよ
[1:37:41] nonono090: 危機回避本能がえぐいえ
[1:38:28] setunry: 軍事物資のとこのトラックじゃダメなのかえ?
[1:41:00] sushiboysomg: なんでアンブレラのアジト前でやってんだw
[1:41:16] nonono090: さすチャル
[1:41:47] papapapupepon: ちなみに追われてたことは...
[1:41:57] 1nooosee0507: 恋愛マスター（童貞）
[1:42:16] atsumori_pop: チャルロス自体は童貞設定なのかな？
[1:42:21] manrikiking: チョロロスがなんか言ってる
[1:45:56] amane_s: ｗｗ
[1:47:29] ノーシュ: にしのんがやってるやつｗ
[1:48:04] すぱ: ヘリ乗ってる姿も偶には見たいえね
[1:48:19] papapapupepon: この二人いつも一緒だえ
[1:48:28] Xirilla_: 結構ガチのヘイトがｗ
[1:48:53] sylphxrz: いつも一緒にいるなあ
[1:49:01] 如月93: エモート芸じゃねえか
[1:50:30] らんぱ: 話聞けｗ
[1:50:46] ノーシュ: 揉もうとしてる？ｗ
[1:50:50] レヴィ99: ボマーで使えそうだ
[1:50:55] ペにやん0901: 作戦真面目に聞くえ！
[1:50:57] gundora23: かすｗ
[1:51:09] ノーシュ: ラッキースケベｗ
[1:51:13] amane_s: セクハラｗ
[1:53:07] 海崩: でたｗｗｗ
[1:53:36] 海老フライマシンガン: 博士チャル大好きだなw
[1:53:39] risuzu_00: そういやvcrでダルシムいたな…
[1:57:38] yossy_island23: 時間かけた準備して歪みだといたたまれない
[1:59:58] aadfwe200: ww
[2:00:02] mini_gori: は？wwwwwww
[2:00:11] にーとろる: ダブル我輩w
[2:00:13] ノーシュ: わがはーい
[2:02:07] suuujiro: 国家の犬を嬲り殺すえぇ
[2:04:43] mini_gori: 来んのはえー
[2:04:43] KABAYAKIGG: ちゅ
[2:04:46] atsumori_pop: なんだいまのｗｗ
[2:04:55] レヴィ99: 歪みなのか
[2:06:02] マイド1号: いいねーーー
[2:06:26] yossy_island23: 飛行機周辺やばいな
[2:06:38] 赤見二等兵: ここ全然来ないな
[2:06:51] gaaahyu: ありけん？
[2:06:53] 鈴木3: ありけん？
[2:06:53] mini_gori: ありけん？
[2:06:54] mikenyan089: ありけん？
[2:06:54] EnidxxxSinclair: ありけんw
[2:06:55] たろをまんじ: ありけん
[2:06:55] マイド1号: ありけんｗ
[2:06:57] にーとろる: ありけんw
[2:06:57] yossy_island23: ありけんないす
[2:06:57] ジヴァ: ありけんwww
[2:07:00] 狐爪: www
[2:07:00] shun0628ns: ありけん？
[2:07:01] だーすだよ: あれ？www
[2:07:03] mini_gori: wwwwwww
[2:07:03] レヴィ99: 自然とww
[2:07:07] gundora23: ｗｗｗｗ
[2:07:11] o5_oma: ありけんってだれだ！？
[2:07:14] れのん03: ありけんｗ
[2:07:14] mini_gori: ファンタはそうなるよなぁw
[2:07:15] sa1mon15: www
[2:07:21] sushiboysomg: ありけん？
[2:07:56] マイド1号: あててくるねーー
[2:08:01] hachiko0000: ？
[2:08:03] yossy_island23: またやられた
[2:08:05] earningqqq: うっま
[2:08:06] gundora23: 隙間か
[2:08:08] レヴィ99: 出血だ
[2:08:08] Xirilla_: 足抜かれてんのか
[2:08:11] しゅららぼん03: 足？
[2:08:12] tapitapi777: 射線あったのか
[2:08:18] mini_gori: ふつーにエイムいいな
[2:08:36] マイド1号: この方かー
[2:08:39] すぱ: 中心ズレてたかな？
[2:08:46] 赤見二等兵: この鳥もよく見るな
[2:08:53] KABAYAKIGG: 立駐かぁ学びだね
[2:09:31] sushiboysomg: 当たってはいたっぽいけどな
[2:09:34] atsumori_pop: 悔しいな
[2:09:35] waka919: 出血してるから当たってる
[2:09:47] マイド1号: あててたよね
[2:09:57] レヴィ99: 出血したら厳しくなるな
[2:09:58] ichi38_: 警察は硬いえ…
[2:10:00] shigechan3rd: 立駐おとりで手前からよられてた？
[2:10:02] すぱ: これヘビーアーマー相手に胴当ててももはや意味ない？
[2:10:03] 狐爪: まあまあ eavComf
[2:10:11] papapapupepon: 萎えてるえ
[2:10:18] にーとろる: ヘビーアーマーかえ
[2:10:20] kakashiiiiihi: 回復するえ
[2:10:32] sushiboysomg: 2倍くらい違う頭抜かないと勝てん
[2:10:41] レヴィ99: 回復してるから当たってはいるんだろうな
[2:10:52] ペにやん0901: でも勝ちは勝ちだえ！
[2:11:18] シマシマさん: 鎮痛剤飲んでるっぽいなこの警官
[2:11:18] waka919: アーマー何枚ももってるからなぁ
[2:11:28] hiyokomanjuuuuu: 足音しないように裸足だね
[2:12:00] すぱ: 警察はしっかり裸足の人多いよね
[2:12:00] hoimin1015: 鷹さんはまじで強いよ
[2:12:46] awpt321: 血吹いてもどうきずれあるよ
[2:12:57] ノンベ: 同期ズレはまじである
[2:13:02] KABAYAKIGG: お
[2:13:11] hachiko0000: 鷹さん鎮痛剤めっちゃ飲んでたえ
[2:13:11] ファミマの唐揚げ: 相手視点みたいな
[2:13:25] hiyokomanjuuuuu: これで警察側の萎える発言はないね
[2:13:26] マイド1号: 相手視点みたいね
[2:13:30] ハイレバ: 同期ズレっぽいか
[2:13:37] peperon__1: 向こうラグいから同期ズレしてそう
[2:13:43] atsumori_pop: 相手視点が気になるなｗ
[2:13:43] nouka5hima: 歪んでるなぁ
[2:13:59] hachiko0000: ロケラン打ち込むしかないえ
[2:14:03] みみっくす: なんかラグくねw
[2:14:05] papapapupepon: あの距離はやりなくてもしゃあない
[2:14:18] 海老フライマシンガン: w
[2:14:18] すぱ: 頑張れパトカー
[2:14:19] hiyokomanjuuuuu: 空港は同期ズレがエグいな
[2:14:32] hirata923: 空港まじ歪むからなぁしゃーないかもね
[2:14:35] まじぇすてぃっく: 大型前に念の為に瞑想行くのアリかもね
[2:14:36] みみっくす: ww
[2:14:53] レヴィ99: 瞑想したら治ってたのかな
[2:16:18] KABAYAKIGG: 確かに運ゲーや
[2:16:20] mini_gori: 真理にたどり着くのが早いえ
[2:16:21] hachiko0000: ボタリンに慰めてもらうえ
[2:16:21] hiyokomanjuuuuu: 警察署ヘイストします？
[2:16:27] にーとろる: そんなにネガティブになるなえ
[2:16:30] レヴィ99: 瞑想しても一緒なんだ
[2:16:38] o5_oma: ポジティブにいくえ
[2:16:38] みみっくす: 萎えてるえ
[2:16:41] atsumori_pop: 落ち込まないで BibleThump BibleThump
[2:16:53] shun0628ns: これ死んでないのやばいなー
[2:17:00] sharkdayon_: 同期ズレ？
[2:17:11] amane_s: 瞬間移動してるえ
[2:17:13] nouka5hima: 同期ズレでしょうね
[2:17:16] o5_oma: 距離減衰はないえ？
[2:17:20] tapitapi777: 回復巻いてたし体にはそこそこ当たってたみたいだえ
[2:17:32] asdfjager: 距離減衰あるえ
[2:17:37] setunry: gtaの設定とかでかわらんのかな
[2:17:39] masgsa1052: かなり当たってるな
[2:17:40] sochafree: バンガみたいに加速してるww
[2:17:40] hakubanana3: ww
[2:17:41] learnenglish12345: クッソラグいねw
[2:17:45] ankoromoxti: 皆に見せてみるえ～
[2:17:47] keroro_gunsou_: ばらつきかな？
[2:17:55] si0083: 変な動きしてるな
[2:18:02] KABAYAKIGG: 距離減衰だとしたら相手のも当たってないしね
[2:18:03] atsumori_pop: ｳｰﾝ
[2:18:06] マイド1号: 警察中のほうが威力強いしね
[2:18:08] sharkdayon_: 同期ズレで当たってても本当は当たってないとかある
[2:18:09] yossy_island23: 相手視点みないとわからんな
[2:18:17] hiyokomanjuuuuu: 遮蔽物、貫通するのはないよ、これ。
[2:18:24] risuzu_00: fのゲームで極めたAIM
[2:18:29] cdototay132: 武器の距離は？
[2:18:32] sushiboysomg: 運営に送った方がいいえ
[2:18:37] si0083: ｗ
[2:18:39] マイド1号: ｗｗｗｗｗ
[2:18:41] 708yen: 最後はなんで死んだえ？足元？
[2:18:42] 奄美迦楼羅: https://clips.twitch.tv/TastyMistyRedpandaWow-iKB8QTsycadFV57J
[2:18:55] learnenglish12345: まあこのゲーム胴撃ち弱いから
[2:19:25] KABAYAKIGG: クリップすげぇチャル！頭当たってるぞ
[2:19:31] setunry: wwwww
[2:19:34] hiyokomanjuuuuu: 警察側にエイム甘いまであるな
[2:19:35] atsumori_pop: わからんなあ
[2:19:41] cdototay132: 家どうなったの？
[2:19:47] 狐爪: まあまあ eavComf
[2:19:49] 奄美迦楼羅: 換気扇のとこ足元安全じゃなかったな
[2:19:50] keroro_gunsou_: 仕方ないえぇ
[2:20:04] ankoromoxti: 問題ないと思うぇ
[2:20:16] レヴィ99: https://clips.twitch.tv/HonorableSpoopyElkBIRB-zyyOw-_YI5BE6OSk
[2:20:18] れのん03: 反映しなければ大丈夫かな？
[2:20:18] shun0628ns: 確かに
[2:20:19] setunry: 当たってるけどダメージ低いのかな
[2:20:21] レヴィ99: 一応相手視点
[2:20:25] tapitapi777: ただの撃ち合いだから、ここから取れる情報とか少なそうだし問題ないんじゃないかえ
[2:20:26] mini_gori: ストーリーに関係ないクリップならいいんじゃね
[2:20:26] nalu__o: 見てこの世界に持ち込まなければ
[2:20:28] yossy_island23: 鷹のエイムは普通にエグいよ
[2:20:31] すぱ: 2発しか当たってない感じしない？
[2:20:34] atsumori_pop: 他視点クリップ鑑賞会は結構皆やってるえ
[2:20:43] pyoko_n: 元気出して
[2:20:44] Xirilla_: 警察とギャングの銃差はある？
[2:20:46] ちくわ0141: 見ても大丈夫
[2:20:47] nouka5hima: まぁしょうがない
[2:20:52] Kaminagi_TKP: うーん全然当たってないね
[2:20:55] だーすだよ: 寝たあとならいいのかね？
[2:21:04] setunry: これ頭当たってねw
[2:21:10] れのん03: クリップの知識を持ち出すのはダメって感じだね
[2:21:11] asdfjager: HSだったね
[2:21:16] KABAYAKIGG: 当たってるぞw
[2:21:18] atsumori_pop: 頭横にパーン当たってるよねｗ
[2:21:20] レヴィ99: ヘビーアーマー最強って事？
[2:21:20] shigechan3rd: 相手のヘビーアーマーいったん強いか
[2:21:23] ハイレバ: 防ヘル鷹マスクの下防ヘル撮り忘れてるか
[2:21:26] papapapupepon: アーマーあってもヘッショなら即死なの？
[2:21:27] ノーシュ: 頭当たってるのにアーマーに吸われてるし、おまけに異様にダメージ低いえ
[2:21:36] atsumori_pop: エイム関係ないなら立ち回りになってくるか
[2:21:40] muni1010: 立ち回りと連携だね
[2:21:48] yossy_island23: 距離減衰じゃない？
[2:21:48] すぱ: 冷静なバースト撃ちに負けてるからAIMは関係してない？
[2:22:00] ichi38_: あー、マスクの問題か
[2:22:06] すぱ: 同期ズレみたいなのは完全に運ゲーだと思うけど
[2:22:14] 708yen: ヘッショって直ダメ？
[2:22:18] ponpen_: チャルは立ち回りと撃ち合いで勝てそうやけどな
[2:22:19] keroro_gunsou_: 遠いとダメージ減るんじゃない？
[2:22:22] sharkdayon_: ヘッショは一撃よ
[2:22:25] setunry: 3発しか当たってないから同期ズレしてるか
[2:22:43] yossy_island23: 距離減衰あるんだよこのゲーム
[2:22:48] ハイレバ: 同期ズレはもう無理よなぁ
[2:23:04] risuzu_00: 運ゲーだえ〜
[2:23:04] すぱ: チャル視点少なくとも5発以上当たってたよな
[2:23:06] アサダおきろ: かくついてたしな、相手
[2:23:07] yossy_island23: そうか
[2:23:22] mini_gori: まじでエイムビタビタだったらやれてるくらいかな
[2:23:53] すぱ: 飛行場が悪いよね
[2:24:00] nouka5hima: よしっ！この話終わろうぜ！
[2:24:01] froyt_: 今日レムくんおるんかー強いけね
[2:24:01] gundora23: ドンマイってことで
[2:24:03] ノーシュ: 萎えるよなあ
[2:24:05] amane_s: 次は良い運引いて元気になってくれ
[2:24:05] shun0628ns: おしかったー
[2:24:06] o5_oma: ラグは仕方ないえ
[2:24:08] hiyokomanjuuuuu: 警察のヘビーアーマーとギャングのヘビーアーマーって違いがあるの？
[2:24:08] sushiboysomg: 運の時もあるけどモンドはクソ強いぞ
[2:24:09] atsumori_pop: BibleThump BibleThump
[2:24:10] sharkdayon_: 同期ズレはこの街よくおこるししゃあないなぁ
[2:24:14] mini_gori: ギャンブルするえ〜
[2:24:23] shigechan3rd: 大型前の瞑想だえ
[2:24:30] キングスピア: バグが多いゲームは萎えるし、仕方ないんだよな
[2:24:31] rimr__my: さ！！
[2:24:37] froyt_: カジノで罰金とりもどすえ
[2:24:42] レヴィ99: へー
[2:24:44] giuseppe_garibal: ここでハズレ引いた分カジノでは勝てるえ
[2:24:48] Xirilla_: ここ数日は萎えるやられ方が多いえ
[2:24:50] papapapupepon: あの距離はマジで運ゲーだろうな
