[3:10:14] nicklas4505: cs?
[3:11:30] Kaffe_Rast: svamp
[3:11:30] 1wedman: svamp
[3:11:31] Bitzin: svamp
[3:11:31] xxdogenxx: svamp 󠀀
[3:11:31] UfoDuck: svamp
[3:11:31] hampe12231: svamp
[3:11:31] thatSun_: svamp
[3:11:31] knasteo7: svamp
[3:11:32] EMIL434_: svamp
[3:11:32] hustlerpeg: svamp
[3:11:32] zeyr0n__: svamp
[3:11:32] Froxsheh: svamp
[3:11:32] pungeliten94: svamp
[3:11:32] latchoman: svamp
[3:11:33] hejHopp: svamp
[3:11:33] saiiim0n: svamp
[3:11:33] Deoxlol: svamp
[3:11:33] darivo1010: svamp
[3:11:33] aatjenahej: svamp
[3:11:33] Brannstrom2: svamp
[3:11:33] sebbeswe99: svamp
[3:11:33] lurkergrabben: svamp
[3:11:33] liambulle123: svamp
[3:11:34] drashy: Svamp
[3:11:34] timpaaanw: svamp
[3:11:34] Nickw0w: svamp
[3:11:34] kruk4n_: svamp
[3:11:34] Naardus: svamp
[3:11:35] J0nte00o: svamp
[3:11:35] Lanchaan: svamp
[3:11:36] Dheelliboooo: svamp
[3:11:36] web9: svamp
[3:11:37] MalmbA: svamp
[3:11:37] hedberg11: svamp
[3:11:37] memmold: svamp
[3:11:38] willebaby: svamp
[3:11:38] marda_xd: svamp
[3:11:38] Loofan1: svamp
[3:11:39] DiiOR17: svamp
[3:11:40] Memorex1989: svamp
[3:11:40] yokooo97: svamp
[3:11:40] flinton: svamp
[3:11:41] ispooooo: svamp
[3:11:41] baralucas_: baralucas_ subscribed with Prime. They've subscribed for 4 months! 
[3:11:41] awadeus: svamp
[3:11:42] villevallen: svamp
[3:11:42] jaggillarrumpa: svamp
[3:11:43] 1cali: svamp
[3:11:43] lajnagod: svamp
[3:11:43] rallej_: svamp
[3:11:43] MBsim01: svamp
[3:11:44] sthanks_: svamp
[3:11:44] qvintus34: svamp
[3:11:45] snaderii: svamp
[3:11:45] Luckydos: svamp
[3:11:46] robinnostos: svamp
[3:11:46] jarmuff: svamp
[3:11:46] baralucas_: svamp
[3:11:47] limartss: svamp
[3:11:47] 420wizardmaster: svamp
[3:11:47] Spliitsix: svamp
[3:11:48] wizzeb: svamp
[3:11:49] PetDetectivee: svamp
[3:11:50] clabbee: svamp
[3:11:50] Cossenn: svamp
[3:11:51] SprixZ_: svamp
[3:11:52] smullllleen: svamp
[3:11:52] AscaJ: svamp
[3:11:53] Rejsmaows: svamp
[3:11:55] Torsten22: svamp
[3:11:55] pontapotter: svamp
[3:11:56] knug3n_: svamp
[3:11:56] albinnorberg: svamp
[3:11:58] FmmL: svamp
[3:11:59] pelle000: svamp
[3:12:01] nuyye: svamp
[3:12:01] nordizz98: svamp 󠀀
[3:12:01] DaddyofC: @BRAUTA mums på dig
[3:12:03] jarvelele: svamp
[3:12:06] zitred13: svamp
[3:12:09] Crazy_jesper: xdd
[3:12:09] luffyy1891: svamp
[3:12:11] 3k4n: svamp
[3:12:12] bombaclatxx: svamp
[3:12:12] teepell: svamp
[3:12:13] marttin5: svamp
[3:12:14] EliasLothman: svamp
[3:12:15] rrezoh: scamp
[3:12:16] rrezoh: svamp
[3:12:17] HazzzR: svamp
[3:12:18] Ol11verS: svamp
[3:12:18] brobbe45: svamp
[3:12:20] isakdown: svamp 󠀀
[3:12:20] FabbaN16: svamp
[3:12:21] MalmbA: svamp 󠀀
[3:12:23] Crazy_jesper: ods på att nuyye dras idag?
[3:12:24] Bommen95: svamp
[3:12:24] DiiOR17: svamp
[3:12:24] Hjelmm: svamp
[3:12:25] YxeT: svamp
[3:12:25] J0nte00o: svamp 󠀀
[3:12:28] Luddeen: svamp
[3:12:28] Adambree: svamp
[3:12:30] josh099: svamp
[3:12:31] Spliitsix: xd
[3:12:31] ander2s0n: svamp
[3:12:31] superhasse: svamp
[3:12:32] MalmbA: xd
[3:12:34] nuyye: @Crazy_jesper det va ett tag sen
[3:12:34] nordizz98: @nuyye blir du rollad idag?
[3:12:36] Lillinzane: svamp
[3:12:36] slinky1891: svamp
[3:12:36] Burken00: xd xdd
[3:12:36] Nightbot: nuyye has won the giveaway. Jebaited
[3:12:38] zitred13: svamp
[3:12:38] HazzzR: HazzzR subscribed at Tier 1. They've subscribed for 20 months, currently on a 2 month streak! cyrusFAIR
[3:12:38] EliasLothman: ez
[3:12:39] luffyy1891: svamp
[3:12:41] hampe12231: svamp
[3:12:41] PetDetectivee: svamp
[3:12:42] teddez: sva
[3:12:42] brusse15: svamp
[3:12:46] teddez: svamp
[3:12:47] abbzeen: svamp
[3:12:47] nl023: svamp
[3:12:49] FronkeNN: svamp
[3:12:50] raiinb0b: svamp
[3:12:51] cdy995: svamp
[3:12:51] nuyye: @nordizz98 har blivit patchad :/
[3:12:51] jojkmaster: svamp
[3:12:51] HazzzR: svamp
[3:12:54] Crittee: svamp
[3:12:56] Alexander__1337: svamp
[3:12:58] Aabroraa: svamp
[3:13:03] brittgudn: svamp
[3:13:04] cdy995: måste man lägga in pengar också eller räcker me att lägga in koden :)
[3:13:05] memmold: svamp
[3:13:09] DaddyofC: svamp
[3:13:10] LCraid: @slinky1891 du kommer inte vinna
[3:13:16] shukt1: svamp
[3:13:20] DaddyofC: Hej Nuyye @nuyye
[3:13:20] Crazy_jesper: röcker med att lägga in kd :) @33apexpredator22
[3:13:22] Jompah: svamp
[3:13:23] 420wizardmaster: vad menas med "regular" på giveaway menyn? @CyrusTWO
[3:13:24] jjakeeeeee: svamp 󠀀
[3:13:26] アレクロール: svamp
[3:13:26] NissePavel: NissePavel subscribed with Prime. They've subscribed for 5 months! 
[3:13:27] DaddyofC: Nån tur idag månne
[3:13:31] Torsten22: svamp
[3:13:31] nuyye: @DaddyofC Hej!
[3:13:33] Kraidster: Kantarell
[3:13:33] NissePavel: svamp
[3:13:33] OG_Pachead: HeyGuys HeyGuys
[3:13:37] Nightbot: Crazy_jesper has won the giveaway.
[3:13:38] punchoz1998: svamp
[3:13:38] zideztep: svamp
[3:13:38] lurizzochmattsson34cm: svamp
[3:13:39] Spliitsix: svamp
[3:13:39] Barbaburpa: svamp
[3:13:41] Crazy_jesper: Pog
[3:13:42] nuyye: @Nightbot odds
[3:13:42] Nightbot: @Crazy_jesper -> You're on my naughty list. [stop posting links] [warning]
[3:13:43] Lickmygun: svamp
[3:13:43] アレクロール: Crazy_jesper  Pog
[3:13:43] nico_er: POG
[3:13:44] DaddyofC: mehh
[3:13:45] FmmL: svamp 󠀀
[3:13:46] nico_er: Pog
[3:13:46] OG_Pachead: svamp
[3:13:48] Burken00: Pog
[3:13:48] tunglean: svamp
[3:13:48] cdy995: @Crazy_jesper tyty o gz
[3:13:50] Nightbot: Pontus_8 has won the giveaway.
[3:13:51] j4nne1: svamp 󠀀
[3:13:52] wigg0donpablo: svamp
[3:13:55] Crazy_jesper: Första  gången
[3:13:57] Pontus_8: https://hellcase.com/en/profile/6471575/items
[3:13:58] shukt1: svamp
[3:13:58] Ingvosso: svamp
[3:13:58] Crazy_jesper: WowW
[3:13:59] isaakid: svamp
[3:14:00] h1singen: svamp
[3:14:01] Nightbot: Ingvosso has won the giveaway.
[3:14:04] ryyylan: svamp
[3:14:04] larssonshimlar: svamp
[3:14:05] Ingvosso: oj
[3:14:06] jaggillarrumpa: svamp
[3:14:08] cavva8: svamp
[3:14:10] timpaaanw: svamp 󠀀
[3:14:12] albin3650: svamp
[3:14:12] mrsharki3: svamp
[3:14:13] jabadabado: svamp 󠀀
[3:14:16] elias8228: svamp
[3:14:17] MalmbA: svamp
[3:14:18] punchoz1998: svamp
[3:14:18] lurizzochmattsson34cm: svamp
[3:14:18] Hypnotiiccc: svamp
[3:14:18] hehejesper: svamp
[3:14:18] JoppaV2: svamp
[3:14:20] HeyAmAK: svamp
[3:14:20] joem1ke: svamp
[3:14:21] Ingvosso: https://hellcase.com/en/profile/9875085/items
[3:14:21] sparkcykell: svamp
[3:14:26] RealPajka: svamp
[3:14:27] Nightbot: JoppaV2 has won the giveaway.
[3:14:27] manglaren420: svamp
[3:14:36] gpunktshund: svamp
[3:14:41] Ingvosso: skrev legit 4 meddelanden innan jag blev dragen
[3:14:43] henke1337420: svamp
[3:14:43] Edvinkarlssson: svamp
[3:14:46] joppe157: svamp
[3:14:47] DeJohansson: svamp
[3:14:48] JoppaV2: https://hellcase.com/en/profile/17215945/items
[3:14:50] Kungh1: svamp
[3:14:50] JoppaV2: shet
[3:14:50] shukt1: svamp
[3:14:51] Burken00: xd
[3:14:51] Nightbot: nuyye has won the giveaway. Jebaited
[3:14:53] cart0s: svamp
[3:14:58] Nightbot: aatjenahej has won the giveaway.
[3:14:59] shukt1: 'svamp
[3:15:00] okkeoscar: svamp
[3:15:02] shukt1: svamp
[3:15:03] hampe12231: svamp
[3:15:05] jollan2005: svamp
[3:15:06] Rejsmaows: svamp
[3:15:06] aatjenahej: https://hellcase.com/en/profile/7495992/items
[3:15:07] pelle000: svamp
[3:15:11] kruk4n_: svamp
[3:15:13] アレクロール: kom igen åå
[3:15:15] larrrenn: svamp 󠀀
[3:15:16] Nightbot: Hypnotiiccc has won the giveaway.
[3:15:21] Tweakoo: svamp
[3:15:23] manglaren420: svamp
[3:15:23] joppe157: svamp
[3:15:27] Spliitsix: svamp 󠀀
[3:15:28] Hypnotiiccc: https://hellcase.com/en/profile/6871843/items
[3:15:29] Edvinkarlssson: svamp
[3:15:29] DeJohansson: svampv
[3:15:29] Doodaa: svamp
[3:15:30] shukt1: svam1
[3:15:31] UfoDuck: svamp 󠀀
[3:15:32] shukt1: svamp
[3:15:32] Nightbot: Jompah has won the giveaway.
[3:15:33] ryyylan: svamp
[3:15:33] DeJohansson: svamp
[3:15:37] entreprenada: Svamp 󠀀
[3:15:39] Kungh1: svamp
[3:15:39] Jompah: https://hellcase.com/en/profile/17871967/items
[3:15:43] KAZIO__: svamp
[3:15:44] Nightbot: jannelito has won the giveaway.
[3:15:50] j4nne1: https://hellcase.com/en/profile/11595473/items
[3:15:51] KalletzzTV: svamp
[3:15:54] larrrenn: svamp
[3:15:57] BigThomass_: godmorgon
[3:15:59] Krewd92: Tror folk det är större chans att vinna om man fortsätter spamma keyword? lel
[3:16:01] アレクロール: Crazy_jesper  win this dude
[3:16:06] Crazy_jesper: du kan kö en grandmaster!
[3:16:16] DaddyofC: @Jompah 86 månader wow
[3:16:22] Crazy_jesper: tytyt @アレクロール
[3:16:34] Crazy_jesper: Pog
[3:16:38] Jompah: @DaddyofC Går för 100
[3:16:38] Pontus_8: gg
[3:16:45] Pontus_8: gz
[3:17:04] DaddyofC: King @Jompah
[3:17:05] JoppaV2: batXDD
[3:17:06] Ingvosso: falkor
[3:17:13] Bonkertv: Hallå i stugan
[3:17:13] knug3n_: @CyrusTWO LUL märkte nu att  jag vann din hc giveaway som drogs för 10 dagar sen
[3:17:15] nordizz98: nordizz98 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[3:17:27] Edvinkarlssson: Edvinkarlssson is paying forward the Gift they got from Klacken_ to Crazy_jesper! 
[3:17:27] Edvinkarlssson: Edvinkarlssson gifted a Tier 1 sub to Crazy_jesper! This is their first Gift Sub in the channel! 
[3:17:37] Crazy_jesper: @Edvinkarlssson Tack för prenumerationsgåvan! <3
[3:17:54] Edvinkarlssson: @crazy_jesper <3
[3:17:55] JoppaV2: wööööw
[3:17:58] aatjenahej: premium
[3:18:02] knug3n_: gut knife slaugther
[3:18:07] jollan2005: HeyGuys HeyGuys HeyGuys
[3:18:14] Klacken_: peepoHey Tim! <3
[3:18:31] knug3n_: aa
[3:18:33] jockansson: jockansson subscribed at Tier 1. They've subscribed for 34 months! 
[3:18:35] anticimexrr: anticimexrr subscribed at Tier 1. They've subscribed for 14 months! 
[3:18:37] dadobreee: genietHEY
[3:18:39] Lekstunden: @CyrusTWO Hoppas du har haft go dag
[3:18:39] m0nkeyhunter123: hej
[3:18:55] Jompah: Magical
[3:19:02] Jompah: Magicial
[3:19:06] Jompah: Eller hur fan man stavar dne
[3:19:09] Klacken_: De bra, Hur är det själv, Gick det bra på league?
[3:19:28] DaddyofC: Snyggt
[3:19:28] j4nne1: gz
[3:19:29] Jompah: Clap
[3:19:36] Morriga_Morriss: !hellcase
[3:19:36] Nightbot: Kolla in Hellcase erbjudande på min LINKTREE https://linktr.ee/cyrustwo (This is not a transaction link)
[3:19:36] j4nne1: ser inte ljust ut
[3:19:58] Crazy_jesper: emerald dragon :)
[3:20:16] Lekstunden: läta mera som en slot
[3:20:21] Crazy_jesper: fyyy
[3:20:21] DaddyofC: Jesper, Joppa o Jompa. vafan
[3:20:58] Crazy_jesper: taaaah
[3:21:03] Lekstunden: kommer inte detta bli reroll
[3:21:16] Crazy_jesper: vafan
[3:21:18] Lekstunden: han knäckte systemet
[3:21:23] Jigsaw_FFS: LUL
[3:21:23] DaddyofC: Hahahaha
[3:21:26] wigg0donpablo: wigg0donpablo subscribed at Tier 1. 
[3:21:29] JoppaV2: :0
[3:21:29] Crazy_jesper: fuck
[3:21:30] Burken00: omE
[3:21:31] Klacken_: YEP
[3:21:31] JoppaV2: 100% winrate
[3:21:33] Crazy_jesper: omE
[3:21:46] 1Tobbe: LUL
[3:21:48] Bitzin: we go again
[3:21:48] JoppaV2: 3Heading 3Heading 3Heading
[3:21:49] Burken00: idiot låda
[3:21:52] DaddyofC: HAHAHAHAHA
[3:21:52] JoppaV2: kommer vara fast här
[3:22:01] Burken00: omE
[3:22:02] Crazy_jesper: men vafan
[3:22:05] JoppaV2: batXDD
[3:22:06] shukt1: g
[3:22:12] shukt1: gg
[3:22:13] Klacken_: Sea calico YEP
[3:22:16] jabadabado: öppna 2 åt gången? LUL
[3:22:16] Crazy_jesper: YEP
[3:22:19] Lekstunden: Kappa
[3:22:19] abidabi99: abidabi99 subscribed at Tier 1. They've subscribed for 38 months! 
[3:22:23] JoppaV2: älskar denna låda
[3:22:36] 0rosablommma: HAAHAHAHAHAHAHHA JA DÖR
[3:22:38] Burken00: omE 󠀀
[3:22:39] 1juniorw: öppna 2, jesper är vänster joppa är höger
[3:22:42] Bonkertv: KEKW
[3:22:53] JoppaV2: try me jesper
[3:22:54] Crazy_jesper: Pog
[3:22:59] DaddyofC: Kul, kör
[3:23:00] 1Tobbe: Pog
[3:23:01] Burken00: Bara scouts Aware
[3:23:02] xotiic__25: Pog
[3:23:03] Crazy_jesper: må bäste man vinna JoppaV2
[3:23:05] xotiic__25: Pog.
[3:23:12] Klacken_: 10 scouts nu YEP
[3:23:13] Burken00: omE
[3:23:13] Jigsaw_FFS: LUL 󠀀
[3:23:13] Crazy_jesper: HAHHAHAH
[3:23:14] 1Deeney: LUL
[3:23:15] Lekstunden: 1158.30
[3:23:16] Klacken_: HAAHAHAHA
[3:23:17] sjukee: hahahahha
[3:23:17] 0rosablommma: hahahahahahahahHHAAH
[3:23:18] LindbergXO: omE
[3:23:19] Bonkertv: ahahha
[3:23:25] xotiic__25: fyyyyyy
[3:23:26] vfflan: LUL
[3:23:33] Klacken_: PauseChamp
[3:23:34] Crazy_jesper: LUKW
[3:23:36] timpaaanw: hahahahah
[3:23:37] Burken00: omE 󠀀
[3:23:37] Burken00: omE
[3:23:37] Burken00: omE 󠀀
[3:23:37] Lekstunden: hahahahahaa
[3:23:37] Burken00: omE
[3:23:38] Bonkertv: omE
[3:23:38] Jigsaw_FFS: hahaha
[3:23:39] DaddyofC: Kör igen
[3:23:40] Klacken_: omE
[3:23:40] soyreet: hahahahahahaha
[3:23:42] BaronGaz: haha
[3:23:42] sjukee: hahahahahah
[3:23:43] Crazy_jesper: thunderbolt
[3:23:43] xotiic__25: HAHAAHHAAHHA
[3:23:44] heltrs_baby: banna den lådan
[3:23:45] Crazy_jesper: HAHAHAH
[3:23:46] Idenzo: Idenzo subscribed at Tier 1. They've subscribed for 60 months! 
[3:23:52] Lekstunden: samma låda ju
[3:24:02] Lekstunden: ojojojoj
[3:24:07] Crazy_jesper: Pog
[3:24:10] JoppaV2: ForsenLookingAtYou
[3:24:10] Burken00: Pog
[3:24:10] Lekstunden: han kan pattern
[3:24:12] xotiic__25: Pog
[3:24:13] Lekstunden: han vet max win combo
[3:24:20] Crazy_jesper: weSmart Lekstunden
[3:24:24] JoppaV2: fyfan för jesper
[3:24:29] Crazy_jesper: EZ
[3:24:33] Lekstunden: hoppas Jompah clutchar.
[3:24:36] Hypnotiiccc: fucan
[3:24:38] j4nne1: @Crazy_jesper riktigt äcklig strat
[3:24:39] LindbergXO: baddadan Pog
[3:24:42] Bitzin: emerald igen EZ
[3:24:43] Jompah: peepoClap
[3:24:58] Jompah: Yikes
[3:25:12] Jompah: SadgeCry
[3:25:17] Nightbot: Senaste videon -> CyrusTWO | Viewer Oddshots #218 (24 JANUARI) -> https://youtu.be/BlnparGtUvQ
[3:25:25] Nxb_: Emerald
[3:25:29] Crazy_jesper: ska vi kö en dajmond
[3:25:29] Nxb_: KKona
[3:25:34] Edvinkarlssson: @crazy_jesper vinn nu!
[3:25:35] powahxd: kom igen nå jasper
[3:25:42] shajn: heja jeppe
[3:25:42] Burken00: Prayge
[3:25:46] Klacken_: Crazy_jesper inte en emerald dragon då Kapp
[3:25:55] Crazy_jesper: LULW Klacken_
[3:26:10] powahxd: Pog
[3:26:11] 1juniorw: nice gz jesper
[3:26:11] アレクロール: w jasper!!
[3:26:12] albin3650: gz Crazy_jesper
[3:26:12] hornyboro: Clap
[3:26:12] 1cali: Clap
[3:26:12] Burken00: Pog Clap Gz
[3:26:13] Lekstunden: @CyrusTWO Låt han öppna Emerald dream
[3:26:14] Crazy_jesper: Pog
[3:26:15] Jompah: Clap
[3:26:15] jockansson: gz
[3:26:16] Lekstunden: som straff Kappa
[3:26:17] manglaren420: Clap
[3:26:17] Crazy_jesper: tytyt
[3:26:17] SprixZ_: Clap
[3:26:18] EchaiTv: Clap
[3:26:18] Bonkertv: Clap
[3:26:19] shukt1: clap
[3:26:19] Philions: Clap
[3:26:20] UfoDuck: Clap
[3:26:22] DaddyofC: Gratz @Crazy_jesper
[3:26:22] Kraidster: gz Crazy_jesper :)
[3:26:23] Klacken_: Clap
[3:26:26] vfflan: Clap
[3:26:27] 1juniorw: Clap
[3:26:28] timpaaanw: Clap Clap
[3:26:32] Ol11verS: Clap
[3:26:41] molle2003: cyrusCASH
[3:26:43] Crazy_jesper: yee
[3:26:46] cart0s: !followage
[3:26:48] Lekstunden: MAX
[3:26:56] Lekstunden: big
[3:26:58] Jigsaw_FFS: ouf
[3:27:00] Lekstunden: clonkar
[3:27:00] Krewd92: oufff
[3:27:01] Jigsaw_FFS: Clap
[3:27:01] albin3650: WWWW
[3:27:01] kevveloxx: W
[3:27:02] Crazy_jesper: Pog
[3:27:03] shukt1: oooffff
[3:27:03] Lekstunden: WWWWWWWWWWW
[3:27:03] timpaaanw: WWWWW
[3:27:04] Lekstunden: WWWWWWWWWWWW
[3:27:04] 1cali: Pog
[3:27:04] Kraidster: Pog
[3:27:05] EchaiTv: Clap W
[3:27:05] Crazy_jesper: tytyty
[3:27:05] SprixZ_: Pog Clap
[3:27:08] fransisss99: Gz
[3:27:10] UfoDuck: Pog
[3:27:10] robinpeterssoon: gz Jeppe
[3:27:11] hornyboro: big Clap
[3:27:12] Burken00: Pog Clap
[3:27:13] zideztep: hahah
[3:27:13] shukt1: ggg
[3:27:14] zideztep: nice
[3:27:15] pelle000: pog
[3:27:28] jebens_: tjenixen gulleplutt, hur ståre till?
[3:27:32] DaddyofC: Snyggt, gratz, gratz @Crazy_jesper
[3:27:33] NissePavel: cyrusMUS
[3:27:49] アレクロール: såja jasper!
[3:27:57] アレクロール: gz dud
[3:27:57] kevveloxx: den dyraste såklart LUL
[3:28:05] Jigsaw_FFS: Dlore!
[3:28:05] Crazy_jesper: ursus urban masked
[3:28:09] Crazy_jesper: tar jag :)
[3:28:14] Crazy_jesper: yes
[3:28:17] felkano: stat WutFace
[3:28:20] TobiasJ1: tänk jesper att alla priser sänks när du tar ut det sen, hellcase är överprisat lite
[3:28:20] hejHopp: inte s t
[3:28:27] Nxb_: st e svår sålt
[3:28:34] hejHopp: bättre utan
[3:28:36] felkano: hade tagit damascus eller stiletton
[3:28:39] Crazy_jesper: ta damsucus då
[3:28:45] casromme: same
[3:28:47] Crazy_jesper: skitsamma
[3:28:48] Jigsaw_FFS: rip
[3:28:49] Brolleeh: Jag hade tagit The Empress imo
[3:29:04] shajn: Kan man exhange för två items till samma pris?
[3:29:10] shukt1: kö en till
[3:29:17] Bitzin: we go again?
[3:29:37] Crazy_jesper: Första gången jag är med oxå Big w Pog
[3:29:42] アレクロール: Clap
[3:29:53] zitred13: GRATTIS JEPPEKING!!
[3:30:03] shukt1: GZ
[3:30:07] hornyboro: hornyboro subscribed at Tier 1. They've subscribed for 43 months! 
[3:30:08] manglaren420: crazy
[3:30:08] Rejkardd: Rejkardd subscribed at Tier 1. They've subscribed for 16 months, currently on a 4 month streak! crazy
[3:30:09] Jompah: crazy
[3:30:09] jarvelele: crazy
[3:30:09] Loofan1: crazy
[3:30:09] DeJohansson: crazy
[3:30:10] shajn: crazy
[3:30:10] gulablendz: crazy
[3:30:10] Bitzin: crazy
[3:30:10] jEPPOO: crazy
[3:30:10] 1juniorw: crazy
[3:30:10] EchaiTv: crazy
[3:30:10] lggchaii: crazy
[3:30:10] jaggillarrumpa: crazy
[3:30:10] Maostro1: crazy
[3:30:10] Krewd92: crazy
[3:30:10] Froxsheh: crazy
[3:30:10] アレクロール: crazy
[3:30:11] Jigsaw_FFS: crazy
[3:30:11] shukt1: crazy
[3:30:11] alexanderjohanssonn: crazy
[3:30:11] Pontus_8: crazy
[3:30:11] HazzzR: crazy
[3:30:11] emp1a: crazy
[3:30:11] timpaaanw: crazy
[3:30:11] d0natello13: crazy
[3:30:12] vfflan: crazy
[3:30:12] cdy995: crazy
[3:30:12] malm69: crazy
[3:30:12] astrixxx: crazy
[3:30:12] brobbe45: crazy
[3:30:12] MalmbA: crazy
[3:30:12] jojkmaster: crazy
[3:30:12] hehejesper: crazy
[3:30:12] KalletzzTV: crazy
[3:30:12] joem1ke: crazy
[3:30:12] J0nte00o: crazy
[3:30:12] alphajtl: crazy
[3:30:12] ReliablecJK: cea
[3:30:12] Hypnotiiccc: crazy
[3:30:12] Lusaccc: crazy
[3:30:13] QJacke: crazy
[3:30:13] Spliitsix: crazy
[3:30:13] lajnagod: crazy
[3:30:13] b4sse21: crazy
[3:30:13] molle2003: crazy
[3:30:13] strassee_: crazy
[3:30:13] addelitoc: crazy
[3:30:13] pelle000: crazy
[3:30:13] bull_cs: crazy
[3:30:13] 1twogunkid: crazy
[3:30:13] T1mish: crazy
[3:30:13] Brannstrom2: crazy
[3:30:14] kankiiiii: crazy
[3:30:14] Adambree: crazy
[3:30:14] bankld: crazy
[3:30:14] shukt1: vrazy
[3:30:14] rallej_: crazy
[3:30:14] 1wedman: crazy
[3:30:14] waarg123: crazy
[3:30:14] fransisss99: crazy
[3:30:14] cavva8: crazy
[3:30:14] Doodaa: crazy
[3:30:14] J3ttRixX: crazy
[3:30:14] Rejkardd: crazy
[3:30:14] Noelthebonde: crazy
[3:30:15] the__dark666: crazy
[3:30:15] brodernateoriginal: crasy
[3:30:15] andersson20: crazy
[3:30:15] patric0202: crazy
[3:30:15] baralucas_: crazy
[3:30:15] SprixZ_: crazy
[3:30:15] pakkebaby: crazy
[3:30:15] joppe30: crazy
[3:30:15] viggggoooo: crazy
[3:30:15] h1singen: crazy
[3:30:15] holmstrand0402: crazy
[3:30:16] Jocke695: crazy
[3:30:16] shukt1: crazy
[3:30:16] Huhtala: crazy
[3:30:16] awadeus: crazy
[3:30:16] jjakeeeeee: crazy
[3:30:16] DaddyofC: crazy
[3:30:16] Gr1pzz: crazy
[3:30:16] sleepyTJz: crazy
[3:30:16] praskatvs: crazy
[3:30:16] ReliablecJK: crazy
[3:30:17] Klacken_: crazy
[3:30:17] Nickw0w: crazy
[3:30:17] joelhallberg: crazy
[3:30:17] kruk4n_: crazy
[3:30:17] pontapotter: crazy
[3:30:17] nordizz98: crazy
[3:30:17] FmmL: crazy
[3:30:17] niro28: crazy
[3:30:17] doggemf8: crazy
[3:30:17] getingen98: crazy
[3:30:17] Luddexdxd_: crazy
[3:30:17] monrover: crazy
[3:30:17] BenjaminQ7: crazy
[3:30:17] willerep961: crazy
[3:30:17] katzefahre: crazy
[3:30:18] officialstenen: crazy
[3:30:18] EMIL434_: crazy
[3:30:18] punchoz1998: crazy
[3:30:18] HeyAmAK: crazy
[3:30:18] AIexander97: crazy
[3:30:18] BRAUTA: crazy
[3:30:18] tunglean: crazy
[3:30:18] isaakid: crazy
[3:30:18] keviiiiiii1n: crazy
