[0:00:32] kakitama8810: こんちわー
[0:15:28] ふぁいぴ: 別にええぞ
[0:15:29] weygw_: でもRPしてるの分かりやすくていい
[0:15:43] natsuda_uw: テーザー銃受けてる時の反応面白かったw
[0:15:46] もんぬサマー: 「え…！？ケインが笑った…！！」って感じにできるから
[0:15:47] hubupei: 笑ってくれるのは嬉しいのはあるw
[0:15:50] 27時間睡眠: こんばんは〜
[0:15:57] しののめかなた: 機械だからテーザーは回路が
[0:16:02] seleslide: ケインオーのテーザー反応ホント好き
[0:16:10] ゆっけ_馬刺しらたき: ロボットが人の心を知るRPも面白そうw
[0:16:17] swift_horse: 早く笑いの感情インストールしなければw
[0:16:23] ぼさつもんじゅ: 三日目あたりの苦しそうなケインオー
[0:16:25] karuto0888: ロボットが感情手に入れる過程見てるみたいで面白いよ
[0:16:33] ロジーー: KOは笑うときあるっけな
[0:16:35] もんぬサマー: 感情をインストールしてシンギュラリティに至るのだ
[0:16:37] しののめかなた: この街ロボットの先輩いるから楽そうｗ
[0:16:45] バぁにぃ: 他の人も笑ってはいけないRP場面で笑ってるし別にいいと思うｗ
[0:16:48] mekemeke33: ｗｗｗｗｗ
[0:16:50] ayame_oxo: wwww
[0:16:52] ゆっけ_馬刺しらたき: ありwww
[0:16:53] ロジーー: 抑制準備してあると
[0:16:56] decococco: めっちゃさいこうｗｗｗｗ
[0:16:58] ひちゃそ: ありｗｗｗｗ
[0:16:59] natsuda_uw: wwww
[0:17:00] キーア: ありｗ
[0:17:03] ふともも3: ナイフ投げれたらなあ
[0:17:06] alt1670: グレも追加で
[0:17:07] しののめかなた: 1ネタ仕込んでるｗ
[0:17:10] ロジーー: ナイフとグレを1対1くらいか
[0:17:15] udon202: 犯罪者覗くことも多いからありやなｗｗ
[0:17:23] ゆっけ_馬刺しらたき: ギャングに見られた時も面白さが勝つw
[0:17:35] ayame_oxo: いいね
[0:17:42] ロジーー: グレみたいな食事ないかな
[0:17:46] alt1670: この世界フラッシュバンってあったっけ
[0:17:59] なっとぅーさん: ラウンド毎のナイフは使い捨てって事か...
[0:18:22] nonono090: 普通のお食事で動けるんですか？
[0:18:53] lacoste_st: ケインオーがまさかぎるくんだとわwww
[0:19:01] natsuda_uw: レモネード補給
[0:19:13] ayame_oxo: レモネードが大好き
[0:19:14] ふともも3: ドラえもんがご飯食べるようなもん
[0:19:28] ゆっけ_馬刺しらたき: ギャングってクラフトでしか銃作れないんだったらそれはそれでめっちゃ大変そう
[0:19:30] さーそー: 燃料がレモネードなのなんで？w
[0:19:38] ロジーー: ケインはレモネードが好き
[0:19:45] ふぁいぴ: そういや特大ボーナス入ってたっけ
[0:19:49] ajaj1414wa: 家買ったから買えない説
[0:20:11] ロジーー: ボーナスでレモネード買っとく？
[0:20:12] goigo2go3: こんぎる
[0:20:16] mayumayuman01: スパローは1億だったはず…
[0:20:21] さーそー: あれ？昨日家買って金なかったのにそんなに貯まったんだ
[0:20:23] mekemeke33: 桁ミス疑惑ボーナスな
[0:20:26] ssss4121: big fxxking bonusが来た
[0:20:50] araiguma00000: ホースバッドで殴らせて市民から暴行罪でファームしよ
[0:21:16] 海鼠: こんばんは
[0:21:23] nonono090: ほんとにファーマーなんだ
[0:21:42] 海鼠: 最近レースとかは参加とかしてます？
[0:21:48] びーえふ: 草
[0:21:51] funibo: 猟奇殺人鬼かな？ｗ
[0:21:52] mekemeke33: めちゃ投げそう
[0:21:59] 海鼠: ナイフしかねえ
[0:22:07] skiaik: 多いなw
[0:22:28] fivesoul555: たまに市民が銃刀法違反で捕まるやつトランクナイフ
[0:22:33] ロジーー: このドアホント・・・
[0:23:50] ココナッツミルク: arikenDsk
[0:24:09] skiaik: 警察楽しい？？
[0:24:30] ロジーー: グレで特殊部隊クビ、ナイフで警察クビ、ウルトでギャングクビ・・・アイデンティティなくなる未来（バッドエンドルート）
[0:24:34] ココナッツミルク: そだね
[0:24:41] ロジーー: 気を付けるところだよなぁ
[0:25:01] ココナッツミルク: 覚えること多いものだし
[0:25:13] ロジーー: とりあえず装甲車対策しなきゃね
[0:25:16] おろくいお: 所見ですが、抑制しそうな声と見た目ですね
[0:25:48] ロジーー: イメトレ完了と
[0:25:52] ふともも3: もはやテロ
[0:25:58] 海鼠: 過激思考
[0:25:58] ぼさつもんじゅ: かみかぜｗ
[0:25:59] goigo2go3: ゴリ押しグレネード
[0:26:00] ssss4121: 刺し違えてもやる
[0:26:01] ココナッツミルク: どんまいだね
[0:26:06] ロジーー: そやね
[0:26:19] lulusyu: 楽しくやってくれればそれだけでいいｗ
[0:26:21] ふぁいぴ: まあ突っ込まれて終わりよかね
[0:26:23] ココナッツミルク: ガラス硬いもんね
[0:26:41] 海鼠: 無理だー
[0:26:41] ロジーー: ヘッショよりきつい
[0:26:45] dekdem: 倒さなくても位置報告と出来そうな時にパンク狙うだけでも良さそう
[0:26:46] ふともも3: たしかにねえ
[0:27:09] ぼさつもんじゅ: 銃だけだと４マガくらい全弾当てないと止まらないしなぁ
[0:27:13] skiaik: ナーフされてないのー？
[0:27:19] さい0602: ロボットでも難しいか
[0:27:54] ロジーー: 現実的じゃないって話ね
[0:27:59] udon202: 何なら狙ってる間にひかれそう
[0:28:41] ふともも3: 安全に立ち回るとしても硬い柱に隠れて撃つくらいしかないか
[0:28:48] goigo2go3: 止まってる時にワンチャンくらいか
[0:31:08] Nightbot: Twitter:https://twitter.com/R6S_guilty
[0:32:50] はっこ310: ｗｗｗｗｗ
[0:32:50] mekemeke33: チャルｗｗ
[0:32:51] ふともも3: だえー
[0:32:52] ajaj1414wa: www
[0:32:53] ayame_oxo: メンヘラwwww
[0:32:54] キーア: www
[0:32:54] よくすい: わぁ
[0:33:00] ロジーー: でたｗ
[0:33:02] nonono090: すぐやんw
[0:33:02] ふぁいぴ: メンヘラじゃん
[0:33:06] skiaik: でたよw
[0:33:12] ロジーー: メンヘラ彼女
[0:33:19] ぺりかんべん: うわあ
[0:33:20] ふぁいぴ: ｗｗｗ
[0:33:20] よくすい: すきやん
[0:33:21] ta0ta0ta: 切ったｗｗｗｗｗｗ
[0:33:21] はっこ310: ぶつ切りｗ
[0:33:21] さーそー: 仲間にしたいやんw
[0:33:27] ロジーー: 着拒できないかな？ｗ
[0:33:28] pog_tan2: おもろww
[0:33:28] うお2: だりーｗ
[0:33:33] リョウサイ: やばいな
[0:33:36] nonono090: これデイリーになったかw
[0:33:36] キーア: ケインオーのこと大好きやんｗ
[0:33:38] さーそー: できないっけ？
[0:33:38] ぺりかんべん: 来たらいきなりでビビったわ
[0:33:44] Azu0120107929: チャルメンヘラおもろすぎ
[0:33:47] ロジーー: 着拒ネタも使っても面白い
[0:33:49] キーア: 着拒あったきがするｗ
[0:33:54] はっこ310: ねっとりボイスが卑怯すぎるｗ
[0:33:54] skiaik: 黒ルート考えてるの？w
[0:33:56] aitsualive: ブロックができたとかできなかったとか
[0:33:58] さーそー: 電話帳に登録してたらできるんじょない？
[0:33:59] ラシ: そのうち着拒するのもおもろいなｗ
[0:33:59] ロジーー: あるんだｗｗｗｗ
[0:33:59] shintanjent: 出来るぞww
[0:34:02] mekemeke33: あるまじかｗｗ
[0:34:06] ssss4121: wwwww
[0:34:07] ayame_oxo: あるよww
[0:34:12] ta0ta0ta: ｗｗｗｗｗｗｗｗ
[0:34:13] のどごし悪男: あの喋り方だけでおもろいのズルいわ
[0:34:34] ロジーー: どうせなら面白くするべ（どこかのタイミングで着拒）
[0:34:49] ta0ta0ta: 時間制で着拒とか？ｗ
[0:34:52] はっこ310: 魂の関係値で言うとIRiSもちょっとあれ？
[0:34:54] 褒めらにあん: 切る間が完璧すぎでしたww
[0:34:54] ayame_oxo: コント集団だなぁ餡
[0:35:13] ajaj1414wa: チャルロスも初めは警察やる雰囲気だったんだけどなぁw
[0:35:28] ロジーー: ｗｗｗｗｗ
[0:35:34] ssss4121: 大好きやないかい
[0:35:34] キーア: honntodaw
[0:35:35] ひちゃそ: ｗｗｗｗ
[0:35:39] ロジーー: やっぱメンヘラ彼女だ
[0:35:43] よくすい: こわいー
[0:35:44] mappa_hi: 寝起きもちもち？
[0:35:46] nonono090: 起きた瞬間w
[0:35:52] さーそー: 一番最初のタスク、ケインオーに電話
[0:36:03] よくすい: きゃっ
[0:36:05] はっこ310: 起きて3秒でもしもしだえ～
[0:36:06] ayame_oxo: ケインオーの声で寝起きもちもちは脳がバグる
[0:37:36] ajaj1414wa: レモネードが少ないなぁ
[0:38:10] ta0ta0ta: ｗｗｗｗ
[0:38:13] mekemeke33: ファーマー、キレる！
[0:38:15] うお2: これが怒りか
[0:38:15] arrow_x957: ww
[0:38:15] ssss4121: お残しは許しまへんでー
[0:38:16] joukashio01: www
[0:38:16] キーア: ツイックスで文句言おうｗ
[0:38:21] ふともも3: ケインオーが怒るとこ見てみたい
[0:38:33] ayame_oxo: 「頭にきた！」
[0:38:39] はっこ310: スマホがよく湧くんじゃなくて皆取ってないから残ってる説出てきたな
[0:39:52] oya1111: ほう
[0:39:57] ta0ta0ta: 面白そうｗ
[0:40:00] さくみん: ウルトロン好きです
[0:40:03] よくすい: それは、月の島さんにきいてみてください。機会があれば。
[0:40:10] キーア: 2キャラ目でギャンもありやね
[0:40:34] よくすい: おもしろそう
[0:40:46] ajaj1414wa: 記憶が重なるからなぁ
[0:41:12] かいゆか3: 知らないフリが難しそうですね
[0:41:13] skiaik: 黒落ちするならどこに入るのか楽しみ〜！
[0:41:29] ロジーー: そいやカジノの車どうなったかな
[0:41:31] まい56: 室外機ちゃんと動いてるの凄い
[0:41:40] おぼろげ: 黒棺！？
[0:42:07] ふともも3: ファーマー戦争
[0:42:16] bachisan: もしウルトロンになった際には「自由ってやつは〜♫」口ずさんでほしいです笑
[0:42:17] mekemeke33: 早起きが多いな
[0:43:20] ふともも3: ゴミあさりのプロ
[0:47:05] まい56: マジでここ場所いいね
[0:48:25] mekemeke33: まだ貯めれる
[0:48:28] ふともも3: 家というより倉庫ｗ
[0:49:05] skiaik: ファームのための家w
[0:49:58] ふともも3: チョコいっぱい
[0:50:21] pog_tan2: 起動！
[0:50:27] ta0ta0ta: ん？ｗｗｗｗ
[0:50:34] よくすい: ん？
[0:50:43] トロハチ: 銀杏？
[0:50:46] arrow_x957: ん？
[0:50:53] うお2: ナイフきたああ
[0:50:57] ふともも3: さっそくｗ
[0:51:26] キーア: ナイフに紛れるバナナw
[0:51:42] こたみん: ナイフって投げれたっけｗ？
[0:54:20] ajaj1414wa: なんか今日は忙しいな
[0:55:40] sa0i: アサルト持ってたねぇ
[0:56:12] skiaik: レダーさんいないのかな？笑笑
[0:57:43] ふともも3: １分経った
[0:58:22] sa0i: ナイストライ
[0:58:26] ふぁいぴ: 知見を得た
[0:58:27] aru_grenat: ナイストライよー
[0:58:32] はっこ310: 工事現場つえーなぁ
[0:58:36] 褒めらにあん: 同期が合わないんだね学びですnt
[1:00:43] ふともも3: 結構違うね
[1:01:07] krizfinny: ganbare kain-o giruru~
[1:01:12] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:03:31] aglerld: 10秒数えてどこまで行けるかっていうので初速と距離はかったり
[1:03:49] はっこ310: いったん微調整タイムか
[1:04:29] ふともも3: こ、こな
[1:04:52] aglerld: すっごい転んだけど
[1:04:57] はむはむ_: 荒ぶるここな
[1:05:25] ふともも3: おいしそう
[1:06:12] yukidayo1121: DinoDance
[1:06:48] krizfinny: kawaii
[1:06:52] にこにここ: かわいいね
[1:07:00] ロジーー: ケイン君ここなちゃん好きそうだな
[1:07:03] ぺりかんべん: かわええなぁ
[1:07:59] aglerld: ドリーさんもコメット乗りだよね
[1:09:31] マナさん: 鎮痛キメて突入するのロシアっぽいな
[1:09:40] トロハチ: コメット乗りはアニキ難ハルネルセンドリーさん
[1:09:47] ロジーー: ロシアの鎮痛ｗｗｗ
[1:09:51] よくすい: お？
[1:10:53] aglerld: 鎮痛剤は普通の人でも使えるのかな
[1:11:42] aglerld: 条件は一緒ってことなんだねぇ効果知ってれば
[1:11:52] ロジーー: 鎮痛剤の効果は使い特か
[1:12:05] からあげだお: ロボットに鎮痛ってあるんかなw？
[1:12:06] aglerld: 怖い魔のデパート前ｗ
[1:12:24] ロジーー: お？
[1:12:47] トロハチ: 小峯さん
[1:12:48] ayame_oxo: 狩ってるね
[1:12:53] マナさん: 宝石を狩ってる
[1:12:54] mekemeke33: 狩っている方か
[1:12:56] arrow_x957: 狩ってるほうねｗ
[1:13:25] トロハチ: ハイライトに恋!?
[1:13:54] よくすい: ボイラさん？
[1:14:38] マナさん: 10億…？
[1:14:44] ロジーー: すご
[1:15:05] ayame_oxo: www
[1:15:06] よくすい: あ
[1:15:11] ふともも3: ｗｗ
[1:15:12] ロジーー: あ
[1:15:17] ふぁいぴ: あ
[1:15:19] マナさん: ロボ差別ですか！！！
[1:15:33] キーア: ボイラさんさぁ
[1:15:36] seleslide: ひどいぞ！
[1:15:41] はむはむ_: ｗｗｗｗ
[1:15:43] はっこ310: www
[1:15:53] よくすい: ハイライト、ギャンブルしないし、お金たまるんだろうなぁ
[1:16:03] ロジーー: 捕まえる相手変えるか
[1:16:04] nanafusisan: ロボハラはあります
[1:16:05] shinzhong: これは闇堕ちです
[1:16:13] ayame_oxo: 憤怒してたけどなゴミ箱漁りながら
[1:16:17] urodema: どっちが犯人だこれ
[1:16:23] じみぃ: 今日はボイラさんが逃げる日かぁ
[1:16:24] katawaraitai: ロボットに自由を
[1:16:39] ロジーー: ｗｗｗｗｗｗ
[1:16:45] ふぁいぴ: ｗｗｗ
[1:17:02] ロジーー: ロボハラ罪いくらだろうなぁ
[1:17:03] マナさん: ｗｗｗｗｗ
[1:17:06] mekemeke33: ロボハラ罪
[1:17:11] ayame_oxo: www
[1:17:12] 白_白: wwwww
[1:17:14] はむはむ_: ｗｗｗｗ
[1:17:16] katawaraitai: www
[1:17:41] lulusyu: ここ、ロスサントスじゃなくてデトロイトだった！？ｗ
[1:18:55] nonono090: うおおお
[1:19:26] キーア: ないすー
[1:19:28] ロジーー: ないす
[1:19:35] ふぁいぴ: ないすう
[1:19:35] ロジーー: うまかった
[1:19:39] マナさん: 終わった後はパトカー乗り込むんだよね
[1:19:50] aru_grenat: ナイスー！
[1:19:54] ゆーじぇにー: 投降の判断がはやいw
[1:20:11] mekemeke33: いいねぇ
[1:20:20] ロジーー: 良い感じ、判断も良かった
[1:20:46] nonono090: すご
[1:21:03] ふともも3: わろてるやん
[1:21:09] マナさん: ｗｗ
[1:21:10] ロジーー: ｗｗｗｗｗｗ
[1:21:14] nonono090: ママ？
[1:21:21] ふともも3: きたねえｗ
[1:21:36] nonono090: 誰だこれw
[1:21:39] ロジーー: ケインも笑うの我慢してるｗｗｗ
[1:22:19] マナさん: 銃持ったな今ｗｗｗ
[1:22:22] aglerld: ｗｗｗｗｗｗ
[1:22:24] ロジーー: 楽しそうだ
[1:22:27] ラシ: なんでダウンしたｗ
[1:22:28] はむはむ_: 何でダウンしてるんｗｗｗ
[1:22:33] ロジーー: おもろすぎ
[1:22:50] ふぁいぴ: 突然の死
[1:22:57] マナさん: https://clips.twitch.tv/TalentedSingleBananaLeeroyJenkins-pH4EBH2MLOTwChIa
[1:23:08] ロジーー: ｗｗｗｗｗｗ
[1:23:23] nonono090: 無線か？w
[1:23:39] ロジーー: なんかこの手の話多いなぁ
[1:23:39] はむはむ_: ボブに殴られてちょうど出血死したのかな・・・
[1:23:54] ふともも3: お？
[1:24:18] ロジーー: 怪しいのいるな
[1:25:15] nonono090: ありがとね
[1:25:16] 褒めらにあん: かわいいねぇ
[1:25:21] ロジーー: マジか
[1:27:58] ロジーー: ｗｗｗｗｗ
[1:28:01] ロジーー: きまっずｗ
[1:28:31] ひちゃそ: ｗｗｗ
[1:28:45] ロジーー: 頑張って欲しいねｗ
[1:28:55] aglerld: 車良い感じ
[1:29:23] aglerld: ヘリの援護があるのも大きいけど
[1:29:41] ロジーー: 壊れてるな
[1:29:46] aglerld: たしかに
[1:30:32] あいみまい: あいみまい subscribed at Tier 1. 
[1:30:34] スギヒロ: 建設現場が今の課題か
[1:30:40] キーア: なんだ？
[1:30:42] ajaj1414wa: あとは、ちゅーちゅーか
[1:30:43] funibo: 練度も上がってきてるっぽいか
[1:30:44] マナさん: ん？
[1:30:44] ふぁいぴ: ヘリだ
[1:30:49] nonono090: ！？
[1:30:59] aglerld: 求愛ダンス
[1:30:59] oooodaaaoo: あらぶり過ぎだろｗ
[1:31:00] joukashio01: なんだ？
[1:31:02] キーア: だれか確認したかったのか？
[1:31:02] _いるく: 危なっかしかったw
[1:31:07] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:31:07] ロジーー: そろそろ出てくるか
[1:31:09] karuto0888: 顔見に来たのかな
[1:31:12] skiaik: 手強いもんね笑笑
[1:31:44] nonono090: チャルロス！
[1:33:03] ロジーー: 修理きてるんやな
[1:33:11] ロジーー: 上田さんや
[1:33:16] nonono090: 上田さんだー
[1:34:10] マナさん: おー
[1:34:14] ロジーー: いいなー
[1:34:23] ロジーー: ほほう
[1:34:29] はっこ310: ほう
[1:34:36] ロジーー: 23日か
[1:34:40] nonono090: おー
[1:34:48] ロジーー: 自分で用意するか
[1:34:54] nonono090: チャルロス指名手配w
[1:34:56] マナさん: 忙しい時間帯だぁ
[1:35:05] こたみん: 警察抜けれないか
[1:35:10] sa0i: chillも大事よ
[1:35:19] マナさん: イベントだったらイベントテロ適用されないんかな
[1:35:44] ri_nemuri: 九州か？
[1:35:50] ロジーー: あー確かに
[1:35:59] キーア: え、なおすって方言なんか
[1:36:06] yurin_6121: え、なおすって普通だと思ってた…
[1:36:14] ロジーー: しまうことことをなおすって言ってる
[1:36:21] こたみん: 方言だけど結構周知されてるほうやな
[1:37:11] ロジーー: 関西方面かな
[1:37:31] マナさん: 関西でも言うわね
[1:37:34] ふぁいぴ: 関東では聞かないね
[1:37:36] ロジーー: 西日本の方言と考えるより、（古い）日本語で東日本で廃れた言い方でしょう。 「方言」と言う言葉にこだわるなら、「標準語」から「西日本方言」に格下げになった言葉です。 明治時代に遡ると、東京生まれ東京育ちの夏目漱石の小説にも多用されてます
[1:37:53] ロジーー: そうそう
[1:37:58] ロジーー: そう
[1:38:01] aglerld: 捨てるとか
[1:38:02] キーア: ほうっといてかな
[1:38:22] こたみん: 勝手にさせてほしいときとかほっといてっていう
[1:38:52] nonono090: 警察いそがしいなあ
[1:38:53] マナさん: ほかす とかも方言なんよな
[1:39:05] ロジーー: ほかすもそうだね
[1:39:15] ロジーー: 23日のレースわくわく
[1:39:45] よくすい: ぼぶきゃくる？
[1:40:36] ロジーー: おっも
[1:41:17] マナさん: ｗｗｗｗｗ
[1:41:20] ふぁいぴ: ｗｗｗ
[1:41:21] キーア: wwwww
[1:41:23] はっこ310: www
[1:41:25] よくすい: w
[1:41:26] ロジーー: ｗｗｗｗ
[1:41:27] seiha0422: ひでぇwww
[1:41:32] ロジーー: 罠ｗｗｗ
[1:41:33] nonono090: わっるw
[1:41:42] ラシ: ｗｗｗｗ
[1:41:44] マナさん: 今のはズルいでしょ
[1:41:50] ふぁいぴ: 旦那ネタずるいわあ
[1:41:54] よくすい: ネタやん
[1:41:58] cesarstreet: 常に一人ストメンタルを強いられてる
[1:42:14] ロジーー: そのうち笑うをインストールして回避しなきゃ
[1:42:33] マナさん: 喜怒哀楽プログラム更新しないとな
[1:43:19] ロジーー: 哀をアンインストールして、喜をインストールしよか
[1:43:26] よくすい: ハッキングされて、笑えるようになった、とか？
[1:43:44] ロジーー: ｗｗｗ
[1:44:11] マナさん: 大型一気に来るのかなぁ
[1:44:32] ロジーー: カレー美味しそうだな
[1:45:30] nonono090: ストメンタル仕掛けられるときついw
[1:45:55] ロジーー: もう無理だろ3原則
[1:46:26] うしげん: アシモフだっけか
[1:46:27] funibo: 外国のSF作家のはず
