[0:00:18] Muuwannn: wow
[0:01:09] PLAIXOXR: สวัสดีครัข
[0:01:10] being_t: ไว
[0:01:10] krittisak2548: ช่วยเคสต่อ555
[0:01:10] thanachatr2: ดีครับ
[0:01:11] farafirstll: เชรดดดดดดด
[0:01:11] ARm_rm: ดีค้าบบบบเป็นการเปิดตัวแบบใหม่
[0:01:11] nattawat20120: ดีครับๆ
[0:01:11] aum8_8: เห้ย
[0:01:11] tagunz: ดีครับพี่เอส คิดถึงๆครับ
[0:01:12] gamekoas: ดีค้าบบ
[0:01:12] ash_ketchumxx: มาไวจริงงงง
[0:01:12] pp1nng: มาเร็วมากกกกก
[0:01:12] you_3461: สวัสดีครับ
[0:01:13] mewness19: ดีค้าบ
[0:01:13] thanaphat119: ดีงับ
[0:01:13] BABYFLUKEKY420: พระเอกมาจนได้
[0:01:13] TENLOWWELL: ดีคับ
[0:01:13] Running_31: ดีค้าบ
[0:01:13] nxeyy__: ดีฮะ แบบมาไวแท้
[0:01:14] kittiwinthongpiw2550: ไวจริง
[0:01:14] FUANGFA_CHAOBOL: ไวโพดดดด
[0:01:14] zaza123123zaza: ดีครับสุดหล่อ
[0:01:14] thanakorn055: พระเอกมาแล้ว5555
[0:01:15] gu_handsomeeeeeeeeeeeeeee: สวัสดีครับ
[0:01:15] farafirstll: เป็นบุญ
[0:01:15] PremMufc: 10ชม.ตามคำพูดเหยดๆๆๆๆ
[0:01:15] vichak2549: เพื่อนโดนอุ้มมม
[0:01:16] nontarn0975: สวัสดีครับ
[0:01:16] feeclub23: ดีค้าบ
[0:01:16] pupe1717: คิดถึงลุงงงงงว
[0:01:16] Parnjaz: วันนี้ลุงต้องเฉิด
[0:01:17] jeans2549: ดีครับ
[0:01:17] adumpoker_: ลุงมาทอน
[0:01:17] davening0: ดีครับ
[0:01:17] babybeammm: เหยดๆเข้ๆมาไววว
[0:01:17] four_kub_: ทดเวลาแน่นอน
[0:01:18] shx_bl: ทำให้ครบตาม10ชม.รึป่าว555
[0:01:18] Jinbu_X: ไว
[0:01:19] tee_zsayhi: สวัสดีครับพี่
[0:01:19] sansan2216: ดีครับ
[0:01:19] eakkeyy: เห้ยย
[0:01:20] bsym_: มาเร็วว้าาาา
[0:01:20] dloptowu: ดีค่าบสุดหล่อ
[0:01:20] ba_furu: มาไว
[0:01:21] ash_ketchumxx: WutFace WutFace WutFace
[0:01:21] devyjxne: เต็มจี หวัดดีครับลุง
[0:01:21] irewkonlotae_: เห้ยยยยนน
[0:01:21] 19__ning_d: ตามนัดจริงด้วยยย
[0:01:21] FUANGFA_CHAOBOL: พระเอกกูมาแว้ววว
[0:01:22] huhuhuuuuuuuu: เย้! มาแล้ววววววววววว
[0:01:22] chxt_tttt: ไม่เอานะขึ้นสตีมเร็วสวัสดีเสียงเจ๊อะ5555
[0:01:22] wave_panachai: <3 <3
[0:01:23] kittiwinthongpiw2550: พระเอกมาจนได้
[0:01:24] z_earth: ของจริง
[0:01:24] batmanjik: ดีครับ
[0:01:25] apologize91: เข้ๆๆๆ
[0:01:26] ekkarinsamthappra76: ดีครับ
[0:01:30] huhuhuuuuuuuu: <3
[0:01:30] via2020z: สวัสดีครับลุง
[0:01:31] mix_no: R34 ตัวร้ายออกล่าาา
[0:01:32] mueanfun_zx: ลุงมาไววว
[0:01:32] you_3461: พระเอกมาจนได้55555
[0:01:32] PeeKruBz: ดีครับ
[0:01:33] tar_lack: แปลกๆ
[0:01:34] new1111111111: สวัสดีครับพี่เอส
[0:01:34] krittanan112: ว่าละทำไมเเจ็กหยุดไล
[0:01:34] tinnapopxx: นี้ลุงหรอคับ
[0:01:35] def0000000: เห้ยยยยย
[0:01:35] Her0inn_TV: มาไวเฉญ
[0:01:35] farafirstll: รักษาคำพูดจริงลุงคนนี้5555
[0:01:35] yutthasintoey: ยีง ยีง 55+
[0:01:35] tagunz: ตัวตึงพระนครมาแล้ว
[0:01:35] eakkeyy: ดีคับบบบ
[0:01:35] eort123: ดีค้าบบบ
[0:01:36] keem_m: สวัสดีครับ
[0:01:37] ddream47: บุหรี่ตรา afk
[0:01:37] j0park0: แปลกๆ
[0:01:38] p_gams: ลุงฉันหลงเวลา
[0:01:39] hellomixixone: อ่าวลุงสวัสดีครับ
[0:01:40] penguin1150: เปิดเพลงสากลได้ละหรอครับ
[0:01:41] nw_vi: ว้าวววววววววววววววววววว
[0:01:41] vivcion: ยืนเท่เกินนนนนนน
[0:01:42] irewkonlotae_: ย้อนหลังไม่มีใจจะขาด
[0:01:42] 01dinjo: มาเร็วล่าsatได้นาน
[0:01:42] tajubitt: มาไว
[0:01:43] Whalewhale16: ดีครุบ
[0:01:43] coc_kit: yyyy
[0:01:44] mrdee007: แปลกๆ
[0:01:44] picempv: ดีครับ
[0:01:45] fongwick: ไหวโพดดดดดดดดดดดด
[0:01:45] dojabuss_: หือ
[0:01:46] nuengloom: ดีค้าบบ
[0:01:46] topson_windiche: ห้ะไ
[0:01:47] mueanfun_zx: สวัสดีค่ะ☺️
[0:01:47] BoAoNoK: rebirthztvPlease rebirthztvPlease
[0:01:47] nmboom51120: ดีคับ
[0:01:47] beammiii: หะ
[0:01:47] mnxnm___: เร็ว
[0:01:47] pig__sn: whatt
[0:01:48] bigbosss034: มาไว
[0:01:48] phasumon1: ไวมากกก
[0:01:48] mos310840: ดีคับ
[0:01:48] bird1999az: สวัสดีครับ
[0:01:48] farafirstll: สุดครับพี่
[0:01:49] jona1than: อะไรครับเนี้ยยย
[0:01:49] minituekz: Hold
[0:01:49] ba_furu: ตามนัด
[0:01:49] JK2XR: ดีคับ
[0:01:49] vichak2549: พระเอกมาล้าาา
[0:01:49] marypuu: บ้าไปแล้ว
[0:01:49] topson_windiche: ห้ะ
[0:01:50] pondsaza: ????
[0:01:50] abarss0: ลุงงงงงงงงงงงงงงงงงงงงงงงงงง
[0:01:51] mixteerapat: เฮิปๆๆๆๆ
[0:01:52] babymailll: ห๊ะ
[0:01:52] nuengloom: เข้
[0:01:52] garteeh_roy: แปลกๆ
[0:01:52] ssaz1234ss: สวัสดีครับลุง
[0:01:52] kitmaiokeiei: มาเเล้ว
[0:01:52] somsak_0828: เป็นไปไม่ได้
[0:01:52] beam__xp: มาเร็ว
[0:01:52] dojabuss_: คิดถึงที่สุด
[0:01:52] jakkritsoking: ไหวโพด
[0:01:52] vee_enus: ไวจัด
[0:01:52] poplowplay4: ห้ะ
[0:01:53] nut_ty86: ดีครับ
[0:01:53] kwancha_i: ห่ะ
[0:01:53] pswac__: ได้นอนยังพี่
[0:01:53] cosmo_2569: ไวเกินน
[0:01:53] hyuki3: ห้ะ
[0:01:53] arnus_kj: ดีคัรบ
[0:01:53] gamerkungja: ห้ะะะ
[0:01:53] auto_063: วอท
[0:01:54] horizon_same: ห้ะ
[0:01:54] TangSogoodSogod: ห้ะ ดีครับ
[0:01:54] tasnimes_: มาไวจ้าดดดด
[0:01:54] kmarrk788: ไวเกิ้นวันนี้
[0:01:54] mailmaillllllll: ห้ะ
[0:01:54] Sunmoonon: ดีคับบ
[0:01:54] komkiki: มาไวเกิ้น5555
[0:01:54] monthonjames: ดีครับสุดหล่อ
[0:01:54] messi_k: สุดจัดครับ
[0:01:54] farafirstll: มาตามสัญญาาาาา
[0:01:54] ddearthpp: ยาวๆๆๆคับวันนี้
[0:01:54] 111224k: มาเร็วแปลกไ
[0:01:54] tajubitt: วันนี้ชดเชยหรอครับลุง
[0:01:55] tiwlytwin7: เกิ้นนนน
[0:01:55] poz_5555: อะไรอะ
[0:01:55] tawan707: สตรีมครั้งนี้จะถูกบันทึกในหน้าประวัติศาสตร์การสตรีม
[0:01:55] chnathip1: มาเร็วจัง
[0:01:55] thxminnie: ห้ะ
[0:01:55] sit_satoru: หวัดดีครับลุง
[0:01:55] dektenbabythug: พระเอกมาจนด้ายยยยยยยยย
[0:01:55] topnook: เย้
[0:01:55] wesper1602: ดีครับลุง
[0:01:55] bun_niex: ห๊ะ
[0:01:55] bom_bie: ห้ะะะ
[0:01:55] nongjengoung: ห๊ะ
[0:01:56] kriangsak45: ดีคับลุง
[0:01:56] cabom1953: เห้ยยยย
[0:01:56] yeddab: หะ
[0:01:56] peeeetch: ตาฝาดดดด
[0:01:56] BankTyPer: พระเอกมาแล้วครับ5555 สวัสดีครับ
[0:01:57] kitmaiokeiei: คถ
[0:01:57] techasit_8203: ลุงค้าบบบบบบ
[0:01:57] skeidjs: ดีคับ
[0:01:57] armisus999: มาแล้วๆ
[0:01:57] jakkritsoking: ห้ะ
[0:01:57] Nxthpz: คิดถึงจังเลย
[0:01:57] book4800: ดีครับ
[0:01:57] 25_0346dong: แปลกๆ
[0:01:58] FilmMee_Hatsaw: 5555555
[0:01:58] messi_k: ตกใจเลย
[0:01:58] brightgamerkung__: ห๊ะ
[0:01:58] vee_enus: หือออ
[0:01:58] peetza420: สวัสดีคับ
[0:01:58] poplowplay4: ห้ะะะะะ
[0:01:58] phasumon1: ผิดป่าวครับเนี้ย
[0:01:58] leoleo20051953: วอท
[0:01:58] microwavexa: ห๊ะะะะะ
[0:01:58] earth_x285: Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1
[0:01:58] 99455573: ดีงับบบบ
[0:01:58] marypuu: ประวัติศาสตร์
[0:01:58] Akane_766: ดีค้าบบบบบ
[0:01:58] LOOK_TAOZZ: ห้ะะะะ
[0:01:59] 74we1: สวัสดีครับ
[0:01:59] ootloveootcxz: ดีคับ
[0:01:59] teil14_teil14_2007: คิดถึง
[0:01:59] dre4m2543: อะไรคับเนี้ย
[0:01:59] itidec: ดีคับลุง
[0:01:59] ker1113: 5555กลัวไม่ได้เล่นสินะ5555
[0:01:59] pachara16: มาเร็วเกิน5555
[0:01:59] rachanon9999: ลุงงงงงงงงงงง
[0:01:59] nut_ty86: มาเร็วมาก
[0:01:59] palmzx0011: ดีครับพี่เอส
[0:02:00] metel_jubjub: ชดเชยให้เยอะจัดดดด
[0:02:00] dorxthyyyy: ดีฮ๊าาาาาา
[0:02:00] bom_bie: ดีครับลุงงงง
[0:02:00] boomzazz001411: ห้ะ
[0:02:00] ball_41: มาไวเกิ้นนนน
[0:02:00] bluespc: เฮ้ยยยนน
[0:02:00] somdowenlan: ดีครับ
[0:02:00] tasnimes_: ดีค้าบ
[0:02:00] kokizja: ห๊ะ
[0:02:00] bearbid: ห้ะ
[0:02:00] WATERRAIN0: หือออ
[0:02:01] beergiftattoo: เข้วันนี้ฝนตกใหญ่หวะ
[0:02:01] kkawmunkaii: ห้ะะะะะะะะะะะ
[0:02:01] fluk25422: ห้ะ
[0:02:01] laomax1986: มาไวจัด
[0:02:01] yona_uuuu: หวัดดีค่ะ
[0:02:01] witsar00t: วันนี้ลุงมาเร็ว
[0:02:02] bbgun_47: เห้ย
[0:02:02] cabom1953: มาไวจัง5555
[0:02:02] p_gams: ไวโพด
[0:02:02] rattapol10: มาเร็วจังครับบ
[0:02:02] pongsapakthiamchai: มาแล้ว
[0:02:02] peesoxa2345: เกิ้น
[0:02:02] Sunnyz__: เห้ย
[0:02:02] ppear_ntp: แปลกๆ
[0:02:03] messi_k: มาไวจัด
[0:02:03] auaou: <3 <3 <3 <3
[0:02:03] PremMufc: เบาเสียงงงงงง
[0:02:03] most1470: มาไวจังลุง
[0:02:03] bhkkk121: เห้นมาเร้วจัด
[0:02:03] oatchaichu: g-h
[0:02:03] itidec: เร็วเกิ้นนน
[0:02:03] peakrama7: แปลกๆ
[0:02:03] vee_enus: แปลกๆ
[0:02:03] gamerkungja: เหยดดด
[0:02:03] Mimiewww: ห้ะๆๆ
[0:02:03] hell0_madafaka: หวัดดีลุง
[0:02:04] bom_bie: คืดถึงงงง
[0:02:04] somdowenlan: แทดทาด
[0:02:04] st084105: มาเร็วจังครับ
[0:02:04] firm12: เห้ยแปลกๆ
[0:02:04] bigtui20: ฝันไป
[0:02:04] gu_ness: ห่ะ
[0:02:04] mamaboat_44: ไหวจ้าด
[0:02:04] pohggez: หะ
[0:02:04] akkarapongoat: ดีคร้าบบ
[0:02:04] canby1413: หวัดดีค่ะ
[0:02:04] ntpppp_k: คูมลุงงงงง
[0:02:04] farafirstll: ห้ะ
[0:02:04] kwancha_i: ยังไง
[0:02:04] safieen45: ดีครับ
[0:02:04] OT1KING: ดีครับ
[0:02:05] bluespc: เอาดี
[0:02:05] privilege1234: ดีครับ
[0:02:05] tar_lack: คิดถึงชะมุดเลยยยยยยยย
[0:02:05] tk_thee: มาแปลก
[0:02:05] phongsakon11: ห๊ะ
[0:02:05] microwavexa: มาาาไวเวอร์
[0:02:05] jony_bye: ดีคับ2พี่เอส
[0:02:05] kaorai001: มาไว
[0:02:05] guylnwzaaaa: ห้ะๆๆๆๆ
[0:02:05] WATERRAIN0: ไวจัด
[0:02:06] 25_0346dong: คิดถึงงงงงงง5555555
[0:02:06] KritSaBaTa: มาไวจัดดด
[0:02:06] 05beer: ดีครับ
[0:02:06] rabbit_t_: คถถถ
[0:02:06] Supper_168: ฝนตกเเน่ละ
[0:02:06] mixvov: ถือว่าดี
[0:02:06] twitchpz9: เห้ยยยยย
[0:02:06] akin_chanet: สวัสดีครับลุงงงงงงงงงงงงงงงงงงงงงง
[0:02:06] oammmmao: ดีครับ
[0:02:06] phonlawat12344: สวัสดีค้าบบลุง
[0:02:06] Sspeadboatt: ดีครับ ห้ะ
[0:02:07] somdowenlan: กากากา
[0:02:07] weioap: มาไวจัง
[0:02:07] yona_uuuu: มาเร็วจังงง
[0:02:07] kokizja: สวัสดีครับพี่เอส
[0:02:07] peeraphat_1: หือ
[0:02:07] tinnapopxx: ลุงหรอคับเนี่ยๆ5555
[0:02:07] khinglikeyme: ลุงงงงงง
[0:02:07] Few_Few_: อารายครับเนี่ยยย
[0:02:07] jakno10: มาล่ะฮะ
[0:02:08] jirawoww: แปลกๆ
[0:02:08] viwwiv1: ห่ะ เอาจิงอ่ะ ไวแบบไวสุดๆ แต่ก่ดีคับ
[0:02:08] palmzx0011: ขึ้นไวสุดๆในรอบปี
[0:02:08] mbutf445: มาไว้จะอ่ะ
[0:02:09] chinnapat17: ดีครับ
[0:02:09] nam_mw: เข้
[0:02:09] coc_kit: เชิดเชยหละ
[0:02:09] bluespc: SeemsGood SeemsGood SeemsGood SeemsGood
[0:02:09] gamer200660000: ดีค้าบ
[0:02:09] phuththiphngsmaxwn05: วันนี้มาเร็วจังครัย
[0:02:10] messi_k: ไม่อยากจะเชื่อ
[0:02:10] purin_2002: GlitchCat
[0:02:10] topson_windiche: คิดถึงมากๆครับ
[0:02:10] gu_ness: แปลกๆๆๆๆๆ
[0:02:10] Annjungroom39: เว้ย
[0:02:10] mai_pai40: ดีงุ้บลุ๊งงงง
[0:02:10] tangjina: ลุงงงงงงงงงงง
[0:02:10] na_mo1: ไวโพ๊ดดด
[0:02:10] horizon_same: แปลกๆ
[0:02:10] Maxkey00: ฝนตกแง่ม
[0:02:10] piyawat005: เห้ยๆ
[0:02:11] pppawww: เห้ยๆๆๆๆ
[0:02:11] wavegghmon: ดีค้าบบบ
[0:02:11] panadornhari: ห๊ะ5555555
[0:02:11] tttt1408: ดีค้าข
[0:02:11] ikkew77: คิดถึงลุงอะ
[0:02:11] pxxyhub: ซาซาซาหวัดดีครับลุงงงงง
[0:02:11] gusutatinee_2449: ดีค่ะ
[0:02:11] dusitmax: เข้ พายุไซโคลนเข้าไทยมาไวจัด
[0:02:11] superadam26: ชดเชยโหดเกินพี่ชาย55555
[0:02:11] phonlawat12344: มาไวเเปลกๆ
[0:02:11] being_t: ลุงคนนี้ทำตามสัญญา
[0:02:11] bhkkk121: สงสันนอนไม่หลับ
[0:02:11] wa_sitthichai_rbz: ไวโพดดดดดด
[0:02:11] teerapat0045: หวัดดีครับ
[0:02:11] toto_bear: สวัสดีครับ
[0:02:12] mamaboat_44: หวัดดีค้าบลุง
[0:02:12] pangkun2213: ลุงเปลี่ยนเวลารึป่าวครับ
[0:02:12] MUNANY00: วัยรุ่นนอนน้อย
[0:02:12] canby1413: !uptime
[0:02:12] noah_ajj: กดผิดรึป่าว
[0:02:12] banglan_hope: ห่ะๆๆ
[0:02:13] Nightbot: Stream uptime 2 minutes, 32 seconds
[0:02:13] mack9909: มาเร็วจัง
[0:02:13] ro900p: rebirthztvOmg
[0:02:13] 99455573: มาไวจังงง
[0:02:13] xjohunx: เหยดดดดดด
[0:02:13] SuperBoss_Cnx: เรื่องจริงเหรอนี่ 55
[0:02:13] topnook: 10ชั่วโมงได้กล่าวไว้
[0:02:14] kriangsak45: คิดถึงลุง
[0:02:14] rochnok999: มาแปลกๆ
[0:02:14] 1mperious_: ดีครับบบ
[0:02:14] guylnwzaaaa: แปลกๆ
[0:02:14] khawkhawmaru: อย่างตึงงง555555
[0:02:14] pongsatorntt: WutFace
[0:02:14] meenapiwatz_: ดีครับบบบบบบ HeyGuys
[0:02:15] abarss0: คิดถึงงงงงๆๆๆๆ
[0:02:15] bigtui20: ฝันไปแล้วววววว
[0:02:15] armisus999: กว่าจะมาได้ ❤️
[0:02:15] job0001: ห่ะ
[0:02:15] auaou: แล้ว
[0:02:15] brightgamerkung__: ฝนตก55555
[0:02:15] gusutatinee_2449: สุก
[0:02:15] warattaya_: คนมาไวเวอร์
[0:02:16] dunyawat_title: ดีคับลุง
[0:02:16] pakin_s: ห๊ะไม่ได้ใช่ไหม
[0:02:16] nasruddeen3536: หวัดดีครับพี่เอส
[0:02:16] hell0_madafaka: แปลกๆแล้ววันนี้
[0:02:16] book4800: มาไวเลิกไวไช่ไหม
[0:02:16] GuPan9: แปลกลุงมาไว
[0:02:16] la_la_bell: เอาดีๆ
[0:02:17] trexza69: ดีคับลุง
[0:02:17] bearbid: เอาจริงอะ มาไวจัด
[0:02:17] reonardd13: 10 ชม.ยาวๆ
[0:02:17] 05beer: ทำไมมาไวจังลุง
[0:02:17] meenlove: มาไวจุง
[0:02:17] BoAoNoK: หวัดดีครับพี่ หวัดดีครับทุกคน
[0:02:17] techasit_8203: SeemsGood
[0:02:17] openError: มุแง
[0:02:18] FewJirayu_: ดีครับมาไวจัดๆ
[0:02:18] ntw_saen: หวัดดีคับลุง
[0:02:18] naiinaii_: ถามจริง
[0:02:18] tar_lack: คิดถึงจัดๆ
[0:02:18] ingaswa: มาไวเกินน
[0:02:18] farafirstll: เหยดดดดดดดด
[0:02:18] teephakorn33: ทำไมหาย้อนหลังไม่เจอครับ
[0:02:18] cosmo_2569: ลุงครับทำไมไม่มีคลิปย้อนหลังเหรอครับ
[0:02:18] microwavexa: ดีครับลุง rebirthztvPlease
[0:02:18] vivcion: ง่วงเฉยย
[0:02:18] komkiki: ยินดีต้อนรับกลับครับพี่เอส
[0:02:19] p_pond1: ดูจากทรงน่าจะลงไว
[0:02:19] ManPrakasit142: ลุงบอกชดเชยไงพวกแชทบื้อ
[0:02:20] yona_uuuu: <3 <3 <3
[0:02:20] jackjune12: เหยดดดดด
[0:02:20] domkakna1144: ห้ะ
[0:02:20] loss2541: สุด
[0:02:20] kkawmunkaii: ไม่ต้องงงครับ 2 ทุ่มลง 555555
[0:02:20] beam__xp: ฝนตกเพราะลุง
[0:02:20] pra_kanpipo: ใครอ่ะ
[0:02:21] kiattisak_fa: ลุงจะสตีม10ช.ม.
[0:02:21] pop566: ดีคับ
[0:02:21] arm__2005: Dค้าบบพี่เอส
[0:02:21] goodbyes1412: ดึครับบบบ
[0:02:21] messi_k: ผมฝันไปใช่มั้ย
[0:02:21] ballmaxmax: แปลก หิมะตกแผ่นดินไหว
[0:02:21] evoezkill: เข้
[0:02:22] theeradet_th: ทำไมวันนี้มาเร้วจังครับ 55
[0:02:22] farafirstll: ห้ะ5555555
[0:02:22] bom_bie: 55555
[0:02:22] e_i_r_k_x_d: ของจริง
[0:02:22] tnploser: 555555555555555555
[0:02:22] nopporn_01: ไมวันนี้มาไวจังคับ
[0:02:22] tar_lack: 5555555
[0:02:23] THANAPOME0: ดีครับบบบ
[0:02:23] sober_nnp: 5555555
[0:02:23] peeraphat_1: 555
[0:02:23] artee52: เห้ย555
[0:02:23] gapninja: SeemsGood SeemsGood
[0:02:23] mongpele: ฝนตกแน่
[0:02:23] march_ntw: rebirthztvPlease rebirthztvPlease
[0:02:23] job3412: สวัสดีครับ
[0:02:23] nut_ty86: คิดถึงจังครับ
[0:02:23] tagunz: ดูย้อนหลังได้ยังครับ
[0:02:23] GuJaoNa: ห๊ะ
[0:02:24] being_t: เห้ยยย
[0:02:24] noomzajmlp71: มาเร็วมากครับ
[0:02:24] superadam26: 555555
[0:02:24] painoii: เปิดสตรีมมาก็ง่วงแล้วหรอลุง
[0:02:24] artnaverdie: หะ
[0:02:24] j0park0: ไม่เอามาบอกฝันดีนะ
[0:02:24] time2572_: 55555
[0:02:24] donutty16: ฝันไปรึปาว
[0:02:24] kemenotoo: ???
[0:02:24] gamerkungja: ุ55555
[0:02:24] ker1113: ตั้งใจทำงาน5555
[0:02:24] title_2003: มาเร้วจังลุง
[0:02:25] Parnjaz: 55
[0:02:25] aomlrenish: 55555555
[0:02:25] bsym_: 5555
[0:02:25] monthonjames: 5555555
[0:02:25] tk_thee: มาแปลกนะเนีย
[0:02:25] Jforthemoon: เหยดดดดดด5555555555
[0:02:25] dojabuss_: ห่ะ
[0:02:25] tnp_yo: 55555555
[0:02:25] Wishyourwings: 5555555555
[0:02:26] marspk: หืออออ
[0:02:26] ReMoTh41: พูดๆๆๆเป็นเล่นไป พี่เอสมาเวลานี้
[0:02:26] hunterx_007: ดีครับ
[0:02:26] farafirstll: 5555554
[0:02:26] Survivor606: 5555555555555
[0:02:26] guszo093: 55555
[0:02:26] vee_enus: 55555555
[0:02:26] vivcion: ดีครับดาบบบบ
[0:02:26] crochetx: หะ เหลือเชื่ออออ
[0:02:26] bhkkk121: ห้ะ
[0:02:27] wa_sitthichai_rbz: สวัสดีครับพี่เอส
[0:02:27] mmc__: สุด
[0:02:27] pakin_s: 555
[0:02:27] nestnarack1: 5555555555
[0:02:27] tar_lack: เขาจ่ายยยย
[0:02:27] freedom__mann: 55555555555
[0:02:27] PeeKruBz: 55555555
[0:02:28] zazafirst55: สวัสดีครัย
[0:02:28] bigtui20: ตาฝาด
[0:02:28] johunes: เหยดดดดดดด โคตรตึงอ่ะ
[0:02:28] jame0z0game: อ่าววว
[0:02:29] Kimber4: 55
[0:02:29] galahad0738: ห้ะ55555
[0:02:29] Keattisak2006: ดีค้าบบ
[0:02:29] rattapol10: นอนเต็มอิ่ม
[0:02:29] dunyawat_title: 5555555
[0:02:29] penguin1150: !uptime
[0:02:30] venomdell: เอาผมรั่วเลย5555
[0:02:30] aoms_wr: ขายหน่อย
[0:02:30] suney_taoeid: สวัสดีครับ
[0:02:30] sirichokkumma: ถามจริ้งงง
[0:02:30] Nightbot: Stream uptime 2 minutes, 50 seconds
[0:02:31] omagaz: เข้
[0:02:31] microwavexa: อ้าว
[0:02:31] warattaya_: ขายของป่ะเนี่ยยย
[0:02:31] wa_sitthichai_rbz: 5555555555555
[0:02:31] messi_k: 55555
[0:02:31] pooriwat_iu: ห้ะ
[0:02:31] an_an1999: เข้าปะเนี่ย
[0:02:31] junnutcy: หื้มมมม
[0:02:31] Caramel_111_Focus: 55555555
[0:02:31] privilege1234: ขอดูพี่ทำงาน
[0:02:31] 0971508964: สวัสดีค้าบลุง
[0:02:32] macotmoss: เกินนนนน
[0:02:32] stnang2005: เห้ย10ชั่วโมงจริง
[0:02:32] colazaaa: ห่ะ
