[0:00:52] ぱすたっ: 早起きえらいだ
[0:29:55] はーちゃん410: ダメ元で色々聞くのありそう
[0:30:03] kamatamaudon3150: ヘリ買ったりする？
[0:30:28] h4sh1_84: 聞いたっていい
[0:30:42] ゆーじぇにー: 車の出し入れ良い
[0:31:11] はーちゃん410: 聞くだけはタダ
[0:32:25] h4sh1_84: 古のファーマーたち買ってないってことは高いとかか
[0:32:43] goigo2go3: こんぎる
[0:33:46] やよち: めちゃめちゃ板張りされてはいる
[0:35:13] ajaj1414wa: 盗難車入れとくやつやなw
[0:35:13] たなかっち123: おはようございます
[0:35:20] From774: 盗難車入れるガレージじゃない？
[0:35:24] 褒めらにあん: このロボット英語が読めないっ！
[0:35:32] にこにここ: おおーこの辺りギャングさんが買ってそう
[0:35:49] ajaj1414wa: レダーさんに改造されたら使うかもねw
[0:36:53] さいこかるぱす: こんちゃー
[0:36:56] まい56: そういうのもあるんだ
[0:37:09] kirikrs: みんな考えること一緒
[0:37:16] はーちゃん410: ファーマーの考えることは一緒
[0:37:51] gito64: 駐車場つけれるかもあるし物件決めは難しいですね～
[0:38:18] さいこかるぱす: アプデで仕様変わって買えるようになりましたとかワンチャンあれば…
[0:38:31] kirikrs: まさかと言いつつちゃんとみに行くギルくん
[0:38:52] pog_tan2: まさかの牧場
[0:38:54] masa_1234567: vcrのダイジェスト(アーカイブ)ってあります？
[0:39:00] はーちゃん410: www
[0:39:12] shintanjent: いけるかもしれんな
[0:39:21] gito64: せっまそうw
[0:39:21] さいこかるぱす: しっかり扉だしいける？ｗｗ
[0:39:25] にこにここ: 聞いてみるしかない…！
[0:39:29] sponjapan: うーん、物置！
[0:39:54] masa_1234567: そこは買えそうだけど高そう
[0:40:04] はーちゃん410: 聞いてみないことにはわからんな
[0:40:18] nekome_chan: 不動産屋さん連れてきてこの辺でって言ったら一緒に探してくれないかな
[0:40:31] ふぁいぴ: 予算はいくらまで？
[0:40:49] ryo3363: もしかして白市民パス持ってない？
[0:41:19] ryo3363: 下にあったんですねｗ
[0:41:26] にこにここ: 土地代が安くなる！
[0:41:31] aaa15345: 黒になる予定は？
[0:41:38] さいこかるぱす: 足りなくても目標になるし…
[0:42:21] mekemeke33: ｗｗｗｗｗ
[0:42:25] mol_guri: ｗｗｗ
[0:42:29] pog_tan2: wwwwww
[0:42:31] さいこかるぱす: ゴネ得ではあるｗｗｗ
[0:42:32] gito64: かわいいw
[0:42:33] よくすい: 内装次第？
[0:42:37] ajaj1414wa: 駄々こねロボットw
[0:42:41] kirikrs: そんなケインオーは見たくないwwww
[0:42:43] はーちゃん410: その声で駄々こねられるのは怖い
[0:42:52] h4sh1_84: ロボットの目からオイル
[0:43:10] はっこ310: ロボットが情に訴えるの中々あれやなｗ
[0:43:14] やよち: ロボも家を買う時代
[0:43:48] mekemeke33: 屋内にいないと風化しちゃうからね
[0:44:45] すのうろべる: konngiru
[0:45:11] さいこかるぱす: 行けそうやん！！！ﾜｸﾜｸ
[0:45:14] やよち: ないそうです
[0:45:42] mol_guri: 安！！！
[0:45:42] さいこかるぱす: やすいｗｗｗｗ
[0:45:44] まい56: やっす！
[0:45:44] ryo3363: やす
[0:45:45] h4sh1_84: おおおおと
[0:45:46] an7nk: おおー！
[0:45:48] mekemeke33: おー
[0:45:49] はっこ310: おー
[0:45:54] ゆーじぇにー: 良い！
[0:45:57] sei160: お買い得
[0:45:58] ふぁいぴ: いいねえ
[0:45:59] 白_白: おお〜
[0:46:00] gito64: いけるうう
[0:46:30] キーア: guilty38Kon guilty38Kon
[0:46:33] ajaj1414wa: 両方買えるかw
[0:46:42] まい56: 一気に2個買おう
[0:47:16] キーア: 内見してるのかいいね
[0:47:55] にこにここ: お
[0:47:59] ロジーー: こんばんわ
[0:48:14] さいこかるぱす: 次世代エースかぁ
[0:48:16] キーア: 頑張ってるからね
[0:49:30] NandemoE: ここで自慢をひとつまみ...
[0:50:35] kirikrs: あっさり決まってよかったよかった
[0:50:46] ゆーじぇにー: おやすーい
[0:50:52] まい56: 優しい
[0:50:57] さいこかるぱす: 聞くもんだなぁ…
[0:50:59] gito64: お安くすんでよかった
[0:51:12] すのうろべる: ずぅさん優しい
[0:52:35] amgptwgamt: 優しい
[0:52:38] h4sh1_84: ヨーソローハリケーン
[0:53:07] ロジーー: おしゃなオープンのってるなぁ
[0:53:31] キーア: 良かったね
[0:53:35] はーちゃん410: おめでとう
[0:53:37] すのうろべる: ないすぅ
[0:53:38] よくすい: よかった
[0:53:40] mol_guri: おめでとー！！
[0:53:44] ｶﾝﾅ: おめでとう
[0:53:45] さいこかるぱす: マジで聞いてみるもんだなぁ
[0:53:46] mokita6104: 急に声のトーン上がるの笑っちゃう
[0:53:50] sei160: おめでとうございます！
[0:53:52] gito64: おめでとうございます～w
[0:53:54] mekemeke33: 意外と安くてよかった
[0:53:55] にこにここ: おめでとう🎉
[0:53:58] ロジーー: さ、また金稼がなきゃな
[0:54:01] kakitama8810: バックグラウンドで聞いてて急に声変わったからビビったww
[0:54:06] kirikrs: テンションの落差で草w
[0:54:10] ajaj1414wa: となりもかえそうだったね
[0:54:11] はーちゃん410: やはり聞いてみるもんだな
[0:54:14] やよち: 将来性◎
[0:54:15] すのうろべる: リサセン近いのはマジで便利
[0:54:16] ふぁいぴ: ファームもはかどる
[0:54:19] キーア: 場所もいいし良き
[0:55:08] pog_tan2: 工場なのもロボットぽい
[0:55:28] はーちゃん410: 秘密基地感あっていい
[0:55:58] ajaj1414wa: アーティファクト近く？
[0:56:05] gito64: プライベートが充実するのいいね～
[0:56:07] 褒めらにあん: 嬉しそうでいい
[0:56:14] NandemoE: 100年前100年後て家持ってたっけ
[0:56:57] ロジーー: ｗｗｗｗ
[0:57:09] はーちゃん410: ゴミ箱も漁れるいい物件だな
[0:57:31] kirikrs: www
[0:57:44] キーア: こーれセンス問われます
[0:57:54] ロジーー: ｘなのにそっち動くの酷いな
[0:57:59] gito64: めり込ませない派だ
[0:58:20] mekemeke33: ｗｗｗｗｗ
[0:58:35] ajaj1414wa: 縦なんだw
[0:58:46] さいこかるぱす: 見てると本当にハウジング難しそう
[0:58:46] すのうろべる: アーティの近くにDr.ギガさんが研究所あった気がww
[0:58:50] mekemeke33: 消えたｗｗｗ
[0:59:28] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:00:18] gito64: ナイスめり込み
[1:00:20] やよち: ちょっとかゆい
[1:00:25] NandemoE: 便利～～
[1:00:32] ぼさつもんじゅ: ほな没収か
[1:00:38] さいこかるぱす: これは捗るか
[1:00:41] キーア: 動かずに行けるの最高か
[1:00:42] よくすい: よき
[1:00:44] ロジーー: 収納だと思えばありえるか
[1:00:44] はーちゃん410: チャルロスお花摘みかー
[1:00:52] よくすい: 最適解？
[1:01:16] kirikrs: 便利すぎる代償として呪われた？
[1:01:16] dopi_dutu: www
[1:01:20] まい56: ちょっと面白いw
[1:01:20] さいこかるぱす: この乗れないやつシュールでおもろいけどｗｗｗやばいｗｗｗ
[1:01:23] ro_rerai: 鍵とかは流石にかけるべきか？
[1:01:30] キーア: X連打か瞑想か？
[1:01:33] はーちゃん410: ドアもげた
[1:01:39] はっこ310: 呪われてドア取れたｗ
[1:01:47] ロジーー: 湧く方向調整してもらっても良いかもね
[1:02:12] ぼさつもんじゅ: 車に乗った状態で駐車場設置してもらうと、ほぼそのままの位置に駐車場設置が可能
[1:02:18] はーちゃん410: お花摘みだえー
[1:02:26] 冷凍みかん3: 冷凍みかん3 subscribed with Prime. 
[1:02:37] ラミュゥ: 行きたい向きに向いて車を出せば綺麗にだせたと思います
[1:02:46] キーア: だえだえー
[1:02:51] 絹熊: こんぎる〜
[1:02:58] marker062216: チャルロスK
[1:03:05] ロジーー: 次は南で家か
[1:03:37] ぼさつもんじゅ: 10000台？
[1:04:00] はっこ310: FAQ
[1:04:01] ro_rerai: なんかニトロ使うとランポが屁こいてるみたいだなw
[1:05:22] kirikrs: 移動用にヘリとか買わないの？
[1:05:53] はーちゃん410: ロボット警官www
[1:06:27] ぼさつもんじゅ: なんでスクワットw
[1:06:56] さいこかるぱす: ｗｗｗｗ
[1:07:23] はっこ310: www
[1:07:23] sei160: ｗｗｗｗ
[1:07:27] 白_白: wwww
[1:07:29] やよち: ロボットも眠いし噛みます
[1:07:33] ぼさつもんじゅ: 停電圧
[1:08:09] 草槍: でもこのケインとか言うロボット 1時間ぐらい寝れば何とかなりそうな奴だもんな
[1:08:14] さいこかるぱす: 別系統のロボットかｗｗｗ
[1:08:37] mekemeke33: この街では希少なロボ
[1:09:06] ぼさつもんじゅ: 人間並みの性能
[1:09:09] ロジーー: 名前ど忘れ↓
[1:09:13] ロジーー: した
[1:09:25] はっこ310: 500MBしか容量無さそう
[1:09:36] ロジーー: おぼえとるやんｗ
[1:10:07] ajaj1414wa: CPUはいいんだw
[1:10:08] pog_tan2: さすロボ
[1:10:09] はっこ310: 確かにそうか
[1:10:11] 褒めらにあん: 気も使えます
[1:10:21] やよち: これは高性能
[1:10:25] aglerld: めっちゃ渋滞
[1:10:32] marker062216: セキュリティも万全
[1:10:32] funibo: guilty38Kon￼ guilty38Kon
[1:10:35] ロジーー: CPUは全公開してると
[1:10:40] はーちゃん410: まぁ確かに
[1:11:01] ふぁいぴ: 久しぶりに起きたみたいな話してたね
[1:11:44] ro_rerai: このランポ燃費終わってねぇか？w
[1:12:17] はーちゃん410: 燃料垂れ流しだったか
[1:14:12] ro_rerai: 工場行けるくらいだし聞いてみるだけ聞いてみるべw
[1:15:55] mekemeke33: 利用用途によるんじゃないか？
[1:15:56] はーちゃん410: 100年前に見覚えがあるなここ
[1:16:15] ajaj1414wa: ゴミ箱も近い
[1:17:21] NandemoE: ゴミ箱とクラフト場が近いところがベストなのか
[1:19:19] はっこ310: いったんクラフトか
[1:20:24] ro_rerai: ランポもう一台買うなら駐車場付きで安く済ませたいか
[1:20:43] はっこ310: 💩
[1:21:52] 沙霧まお: guilty38Kon guilty38Kon guilty38Kon
[1:22:13] はっこ310: こうなるとJTSの業務停止が収入面で結構響いてきてるか
[1:22:28] さいこかるぱす: たしかにランポでゴミあさりあまり見ないかも…
[1:22:59] 草槍: いいよね…
[1:23:12] masa_1234567: クラブはマジでコスパ良すぎる
[1:23:27] にこにここ: 段差に弱いけど優秀
[1:23:28] NandemoE: クラブ値上げしようよね
[1:23:36] さいこかるぱす: 初心者のために踏ん張って値段抑えてるクラブ君好き
[1:24:11] にこにここ: そうだった
[1:24:28] mekemeke33: たけえなぁ
[1:24:40] ロジーー: アーマー作る当たり何か考えてるんやな
[1:25:05] ロジーー: なんだと・・・ｗ
[1:25:22] ロジーー: クラフト欲・・・
[1:25:34] さいこかるぱす: あって損はないから上げ得ではある
[1:26:02] sushi1182: 闇落ちルートもあるのか…
[1:26:50] ssss4121: 気づいたら警察
[1:26:51] From774: 入るならどこのギャング？
[1:26:59] sei160: そーなんだ
[1:26:59] masa_1234567: つまり改造されるルート？
[1:27:03] にこにここ: そーなの？！
[1:27:06] sa0i: まぁ、好きなことするのが一番ですよ
[1:27:12] ロジーー: そのときは別キャラも？
[1:27:17] にこにここ: なりゆきで闇堕ちするかも？？
[1:27:29] さいこかるぱす: 最初から黒より白→黒の方が楽しむ幅としては広そう
[1:27:31] funibo: 割と勧誘受けてるよね
[1:27:42] type505: 闇落ちはストーリーとしておもろいし
[1:27:47] ajaj1414wa: どう転んでもオモロい
[1:27:51] masa_1234567: この街いいひとばっかりだもんなぁ
[1:28:00] udonkun1213: それぞれのギャングの印象は？
[1:28:01] にこにここ: 警察いいよね
[1:28:02] gyudonman: この先の展開たのしみだ
[1:28:08] pog_tan2: ゆっくり楽しめる良コンテンツすぎる
[1:28:09] にこにここ: まだ耐えて欲しい
[1:28:13] mekemeke33: 2キャラ目は詰んだときの救済感あるよな
[1:28:20] funibo: 警察→ギャング→警察っていけるのかしら？
[1:28:20] ロジーー: Ｏーメン作ってギャング
[1:28:42] kakitama8810: ケインオーが闇堕ちした時の警察の反応見たいな…
[1:28:45] 白_白: 今後が楽しみ
[1:28:46] cassis727: 改造待ち
[1:28:52] From774: ギャングから警察は出来ないこともないはず
[1:29:03] nhuzimaru: 1ヶ月犯罪せずに禊すればなれた気も･･･？
[1:29:03] funibo: 覚悟居る判断になるわね
[1:29:16] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:29:27] kakitama8810: やりたいことやってもらうのが1番だけどねー
[1:29:40] ギルくん: 出来事や発言はすべてロールプレイで起こったフィクションです! 指示コメ禁止!鳩コメ禁止! 他視点の情報も禁止見かけてもスルーお願いします!
[1:29:49] はっこ310: いつもの
[1:29:54] masa_1234567: おk
[1:29:58] ロジーー: いつもの
[1:30:01] にこにここ: たのしみだ
[1:30:02] pog_tan2: 抑制大事
[1:30:03] ふぁいぴ: 自分のタイミングで好きにやればええ
[1:30:14] さいこかるぱす: 抑制する！！
[1:30:29] masa_1234567: 燃費の悪いレモネード地味に好き
[1:30:56] はっこ310: www
[1:30:59] mekemeke33: ｗｗｗｗｗｗ
[1:30:59] kakitama8810: wwww
[1:31:00] gyudonman: wwww
[1:31:00] sei160: ｗｗｗ
[1:31:00] 草槍: それでいうならJTSの就職も成り行きだったよね
[1:31:02] ajaj1414wa: オモロいw
[1:31:02] ラシ: いいねｗｗｗ
[1:31:05] ロジーー: レヴでもいいなｗ
[1:31:12] ブァダル: wwww
[1:31:16] さいこかるぱす: ケインオーから改造されてレヴナントになるのおもろいなｗｗ
[1:31:16] funibo: もうレヴでいいやんw
[1:31:23] haru_chan92: めっちゃいいやんw
[1:31:24] nhuzimaru: ちなみに正式採用された警察が闇落ちした例ってあるんかな？w
[1:31:25] pepu_pi: ガイコツの頭にしなきゃw
[1:31:27] にこにここ: wwwww
[1:31:28] はっこ310: ナイフじゃなくて黙れ玉投げるようになるのか
[1:31:32] 草槍: あるよ
[1:31:40] ロジーー: キャラ作ってレブ良いかもしれんが使い分け大変だろうなｗ
[1:31:40] NandemoE: それっぽいマスクあるしな
[1:31:45] すのうろべる: レヴのモノマネをするケインオーも悪くない
[1:32:03] haru_chan92: 仮面変えたら闇堕ちみが分かりやすくていいなw
[1:32:06] ぼさつもんじゅ: 強盗やる時の犯罪が全部他のロボットになるってのもおもろそうなんだよ
[1:32:15] funibo: でもいい人バレしそう
[1:32:24] kakitama8810: ババア(老婆)がバリ悪口言ってくるかもしれん
[1:32:29] mekemeke33: まじかよ
[1:32:30] すのうろべる: 仮に闇堕ちしたらどこのギャンに属したいですか？
[1:32:31] にこにここ: おお？！
[1:32:32] はっこ310: かっこよ
[1:32:32] ロジーー: おー
[1:32:34] まい56: えぐ！
[1:32:35] さいこかるぱす: バーチャンまじか
[1:32:36] gyudonman: いいな～
[1:32:37] pog_tan2: かっけぇ！
[1:32:38] ロジーー: れっつご
[1:32:41] pepu_pi: 10億すご
[1:32:44] From774: とうとうトゥクトゥク当てられたのか
[1:32:47] haru_chan92: かっこよ
[1:32:53] swift_horse: １０億ひえー
[1:32:55] ぼさつもんじゅ: 何億だっけ
[1:32:58] はっこ310: トゥクトゥク誰か当ててたのか
[1:33:02] boccoro: カジノ太っ腹
[1:33:06] ぼさつもんじゅ: 10おくかぁ
[1:33:14] さいこかるぱす: トゥクトゥク長生きだったなぁ
[1:33:40] ロジーー: 家も買ったし車庫に入れたいな
[1:34:12] さいこかるぱす: 段ボール君根っこ生やしてる…
[1:34:48] はっこ310: 警察まだ2人なの珍しい
[1:35:26] ぼさつもんじゅ: 土地代次第
[1:35:56] さいこかるぱす: タイミング良
[1:37:49] mekemeke33: レインボウ…
[1:37:53] はーちゃん410: 目に優しくない色やな
[1:37:55] はっこ310: タマムシランポ
[1:38:37] From774: デヴェステやん
[1:38:38] さいこかるぱす: でべすて…
[1:39:01] はーちゃん410: www
[1:39:26] さいこかるぱす: 今日は諦めますとかじゃないのおもろいｗｗｗ
[1:40:25] mekemeke33: 店の裏に住み着く謎のロボ
[1:40:42] はーちゃん410: ここ買えたら持ってる家が全て秘密基地感あるな
[1:41:56] funibo: クリア･･･?
[1:42:05] ロジーー: まさか
[1:42:39] さーそー: MOD？
[1:43:15] funibo: 白市民割ってこと？
[1:43:22] まい56: やっす
[1:44:26] さいこかるぱす: 300で1千万かぁ…
[1:44:31] mekemeke33: 億かぁ
[1:44:39] maru3d: ガレージが高いのか
[1:44:48] さいこかるぱす: しかもその上グレード億かぁ…
[1:45:54] funibo: ファーム祭りか…
[1:46:03] fukutoto: 車が遠のいたw
[1:46:30] さいこかるぱす: ラッキー
[1:46:53] NandemoE: 車出す時の向きとかも決められるんかな
[1:47:47] はーちゃん410: 一気にお家が増えた
[1:48:55] mekemeke33: あそこ買えるのほんまｗ
[1:48:56] マナさん: Cheer100 小銭
[1:48:57] さいこかるぱす: 買えちゃったし駐車場代浮いた
[1:48:58] gyudonman: お家おめでとうございます
[1:49:12] NandemoE: 拠点2か所デケ～
[1:49:30] さーそー: 向いてる方向に出るんじゃないんだ
[1:50:21] マナさん: ハウジングとかいう沼
[1:50:40] funibo: 反応しなくないか？ｗ
[1:51:08] さいこかるぱす: もしかしてカートの中見ながらカートに追加できない…？
[1:51:27] funibo: 一回買ってから設置とか？
[1:51:30] マナさん: 歪んでる可能性？
[1:51:33] さーそー: 歪んだ
[1:51:35] mekemeke33: 歪んた
[1:51:44] aglerld: バックスペース
[1:51:45] はーちゃん410: 歪んだ
[1:51:55] はーちゃん410: さよなら4番
[1:52:36] ロジーー: とりあえずまた検挙して荒稼ぎしなきゃな
[1:52:39] さーそー: 警察ってやっぱり儲からない？
[1:52:42] はーちゃん410: こりゃ沢山検挙しないとな
[1:53:08] さいこかるぱす: 倒してもその人の牢屋対応できるとは限らないもんな…
[1:53:10] funibo: 裏方のほうが儲かる職業
[1:53:12] うどんの信者: 初コメですー！こんばんは！！
[1:53:24] マナさん: 割と対応した人に分配してくれる人もいるけど、それでも儲からんわね
[1:53:29] 2kssan: ほな闇堕ちかぁ
[1:53:46] aglerld: 後ろにいてダウンした犯人護送するのが、まぁ。
[1:53:48] araiguma00000: 初見です、抑制されにきました
[1:53:50] ro_rerai: 警察ってランクあるけどランク上がると給与増えるのかな？w
[1:54:00] よくすい: Cheer100 おめ
[1:54:35] さいこかるぱす: カートの中身の後ろにいたのかｗｗｗ
[1:54:39] ロジーー: 警察もランクがあるのか
[1:54:46] はーちゃん410: www
[1:54:47] さいこかるぱす: ｗｗｗｗ
[1:54:49] マナさん: ｗｗｗｗｗ
[1:54:49] うどんの信者: wwwwwwww
[1:54:50] はっこ310: www
[1:54:52] maru3d: ランポーーーー
[1:54:55] まい56: マッサージ椅子w
[1:54:56] ロジーー: テーザー撃たれたあとみたいにｗｗｗ
[1:54:56] さーそー: これガレージもうちょっと前にしてもらったほうがいいか？
[1:55:02] funibo: ランポも興奮してます
[1:55:02] aglerld: 呪物化してしまう
[1:55:10] mekemeke33: スマホおっも
[1:55:25] 草槍: 凡そ3百個のすまほ
[1:56:28] aglerld: すっきり
[1:56:51] さいこかるぱす: 1件1時間か
[1:56:55] funibo: 大きな買い物やししゃあない
[1:57:02] はーちゃん410: まぁ大きな買い物だから時間かかっても仕方ない
[1:57:15] ロジーー: 投資完了
[1:57:26] マナさん: いくらの家買ったの
[1:58:04] funibo: もう一軒の方はどこに買ったの？
[1:58:06] つけ麺_: ２件買ったのｗ
[1:58:38] つけ麺_: やっぱそっちか
[1:58:50] funibo: 買えるところあったんやね
[1:58:51] マナさん: 誰と住むの
[1:58:52] araiguma00000: ファームできるの尊敬する
[1:59:06] さいこかるぱす: これでQOL上がるなら爆アド
[1:59:08] ロジーー: あ・・・
[1:59:11] マナさん: ごめん
[1:59:13] nagi2525_: ロボットなのに涙出てるよ
[1:59:21] mekemeke33: 目からオイルが
[1:59:22] はっこ310: ワロタ
[1:59:23] 草槍: 自宅かっただけなのにね
[1:59:26] 褒めらにあん: オイル漏れてます
[1:59:27] Nightbot: Twitter:https://twitter.com/R6S_guilty
[1:59:29] ロジーー: これが涙
[1:59:29] funibo: ケインオー…感情が…
[1:59:44] さいこかるぱす: 確かに自宅というより物置ではある
[1:59:44] souha_bandit: 待ってストグラは初めて来たんだけどギルくん声www
[1:59:44] あもーる: っ塩分で錆びるからハンカチ
[1:59:46] つけ麺_: 倉庫借りた感ｗ
[1:59:50] araiguma00000: こ、これが、悲しみ？
[2:00:05] 草槍: まぁ正味警察署に住んでれば安全だしね
[2:00:12] ロジーー: 何かあるかもしれんしキレイにしておくべ
[2:00:12] funibo: 9000万の物置かぁ…
[2:00:13] あもーる: 感情を得た機会
[2:00:17] fukutoto: まあ家ならJTSに社員寮あるし
[2:00:50] maru3d: リサセン近くに家あるのは激熱
[2:01:03] NandemoE: 南北移動に豆ヘリみたいなん欲しいな
[2:01:03] 草槍: 安めではあるしふぇーむ力を考慮すると割とすぐに取り返せるしねぇ
[2:01:41] araiguma00000: 効率厨だからドアとった？
[2:01:57] 草槍: 素材持ってきますね！ どこから？ 家です ができるようになったって事だもんね
[2:02:25] スギヒロ: guilty38Kon
[2:03:32] nhuzimaru: ここのゴミ箱の量あっつw
[2:04:41] さいこかるぱす: 布って何にでも使うんだなぁ
[2:05:21] mekemeke33: ここ激アツスポットやね
[2:06:01] うどんの信者: ロボットもタバタバコ
[2:06:08] よくすい: あり
[2:06:09] funibo: もうストグラズブズブだねぇ…
[2:06:13] ロジーー: タフなスケジュールだな
[2:06:18] さいこかるぱす: ファーム警察ファームか
[2:06:19] スギヒロ: ゴミ箱戦争が起きるから…
[2:06:32] はっこ310: そのうち衛星外リサセンマンになりそう
[2:06:51] monaka_jp: やってることがRUSTみたいで草
[2:07:09] よくすい: 以前よりゴミ箱の形式変わったから 戦争にはならないかも
[2:07:22] よくすい: 衛星してください
[2:07:23] NandemoE: 今てリポップ何時間なんだろ
[2:07:37] はっこ310: ｽﾊﾟｰ
[2:07:38] スギヒロ: 適度な足音で寝落ちできそう
[2:07:44] さいこかるぱす: さすがにタバコ吸いすぎか
[2:07:47] funibo: ニコチン中毒のロボットさん…
[2:08:14] 草槍: まぁ正味長時間ファーム耐性あるもんねここの観測者
[2:08:46] マナさん: 街の平和を守るために退勤してファームしなきゃ…
[2:08:50] ロジーー: 前世の黄色のランポの人と・・・
[2:09:00] maru3d: まだ漁ろう
[2:09:00] スギヒロ: 警察がいない方が平和な街ロスサントス
[2:09:17] ふぁいぴ: ファームの手が止まらんのだわ
[2:09:19] mekemeke33: ｗｗｗｗｗ
[2:09:28] gyudonman: ファーム最高ですね
[2:09:28] fukutoto: ファーム見てるの好きだから大丈夫w
[2:09:31] kirikrs: ファームはおもろいからしゃーなし
[2:09:42] マナさん: 他に人増えてきたらしれっと出勤しよう
[2:10:46] ふともも3: ライター使い道ないんですかね
[2:10:50] maru3d: フレアだね
[2:11:09] スギヒロ: あも最
[2:11:18] masa_1234567: 溶鉱炉で溶かすことも出来る
[2:11:52] スギヒロ: みんな布不足
[2:12:17] さいこかるぱす: 布の使用頻度に対してライター君…
[2:12:23] mekemeke33: 労働力がね…
[2:12:32] よくすい: メカは必要だけど・・
[2:14:05] kirikrs: クラフトポイントあげるとどーなるの？
[2:14:15] よくすい: 金 銀にしたら 買い取ってくれそう・・・
[2:14:24] さいこかるぱす: 家をファームしたか
[2:14:32] ふともも3: 家探し
[2:14:35] ふぁいぴ: 物件ファーム
[2:15:27] ふともも3: ２万ｗ
