[0:00:20] 小太刀00: おはよございます！
[0:30:18] マドリディスタ: 慣れて来るとねー
[0:30:19] おじぎ__: 手持ちが無くなってることに気づかなかったりね
[0:30:22] すぱ: 慣れてきたときこそ危ないやつやんｗｗｗ
[0:30:25] らんぱ: 大フラグ立った
[0:30:31] zenith_ar: 🚩
[0:30:32] kakinootaane: 絶対ね
[0:30:33] setunry: イベントテロ罪結構えぐいよなw
[0:30:34] amgptwgamt: フリかえ？
[0:30:35] kemamon_: それで抜けた人いる
[0:30:49] mikenyan089: バレなければ大幅➕
[0:30:51] ガマトト: 慣れて脳死でやりだす頃にミスるんやろな
[0:30:52] ぺろさんだよ: @kemamon_ Shush
[0:30:58] まいんん22: 初期は忙しかったからね
[0:31:03] yuukadayonn: チャルロスだー！！嬉しい
[0:31:15] レヴィ99: 1億は痛いな
[0:31:16] ムー1030: ぽっぽだめだえ
[0:31:21] nsgrn__: こんばんだわえ～！今日イベントなんですか？？
[0:31:23] ファンけん: バイク買おう
[0:31:37] 55naagatomo: 花摘み安定
[0:31:40] shigechan3rd: 徒手空拳
[0:31:45] kotosidekouiti: @perorom GoatEmotey
[0:31:48] すぱ: イベントチネリ読み警察サーマルとか来そうだな
[0:32:12] 葉加瀬太郎にはかせたろう: あるよ
[0:32:13] edoward0402: イベントの時って警察も大型ないから逆に暇だから回ってきそう
[0:32:16] 直生: 昨日で終わったかな
[0:32:16] katuki1029: ツイックス見た方がいいえ
[0:32:17] 海名: こんばんは
[0:32:21] papapapupepon: バレンタインとかなんかあるんかな
[0:32:29] マドリディスタ: 摘んでる時も捕まったら一億か・・・
[0:32:32] asahiru21: さいきんイベントばっかりだった
[0:32:33] cheeeeekun: イベントの方が逆に警察暇してる気がする
[0:32:39] nsgrn__: 餡が使ってる精製所よくくるイメージ。。
[0:32:49] バニーガールの精霊: こんばんは
[0:32:50] すぱ: わきおが衛生外で捕まってるイメージしかないえ
[0:33:01] poteti33: 捕まると罰金より素材とかがダルそう
[0:33:18] しぇぱ3: この時間こわ
[0:33:25] らんぱ: www
[0:33:26] ムー1030: え
[0:33:26] とろとろぴく: 車光すぎw
[0:33:28] レヴィ99: www
[0:33:28] 直生: おおおすごいｗ
[0:33:28] shigechan3rd: 車のライト怖いえ
[0:33:28] learnenglish12345: ww
[0:33:30] Kaminagi_TKP: 車の光でバレバレw
[0:33:34] たろをまんじ: 寒そう
[0:33:35] atsumori_pop: 雪迷彩ｗｗ
[0:33:42] mikenyan089: 体温でわかるな
[0:33:47] こまりゅう615: サーマルでバレる
[0:33:55] とろとろぴく: 肉眼では分からん
[0:34:07] マドリディスタ: でも孤独
[0:34:09] 直生: 鉱山を思い出すｗ
[0:34:12] わさび329: 雑談タイム
[0:34:14] shigechan3rd: おなまえけしえらいえ
[0:34:24] とろとろぴく: どこぞの禊を思い出す
[0:34:33] とろとろぴく: えら
[0:34:38] atsumori_pop: でもこういう作業好きでしょ～
[0:34:43] yossy_island23: あれジュースだえ？
[0:34:46] とろとろぴく: 野菜ジュース？
[0:34:56] nnn_tttttt: おんなか？
[0:34:57] EnidxxxSinclair: 野菜ジュースめっちゃ甘くね？
[0:34:59] riou18: 社会人は大変だえ
[0:35:01] ムー1030: その野菜ジュースも砂糖いっぱいじゃないかえ？
[0:35:01] とこた: 筋トレいいぞ
[0:35:02] katuki1029: 寒いからね
[0:35:03] icenine_9029: 日照時間だえ
[0:35:03] ナマコ魚雷: 移動とか？
[0:35:03] ティーセブン: 冬はメンタル沈むよね
[0:35:06] Zero_Ax_: この時期がやばいかも
[0:35:07] nnn_tttttt: 女か？
[0:35:10] リーヅモ裏裏: 冬季鬱かえ
[0:35:11] yuu00177: 寒いからかな？
[0:35:12] ムー1030: ああ・・・・
[0:35:14] とろとろぴく: 名前教えてくれだえ
[0:35:16] しぇぱ3: それは身体に良き
[0:35:17] yossy_island23: 外に出て太陽あびないと病む
[0:35:18] ぶたぁー: うわ
[0:35:19] ムー1030: まずいやつかえ 興味ないえ・・・
[0:35:19] とこた: 筋肉は全てを解決するえ
[0:35:23] tomozooooooo: えらい
[0:35:28] 海猫だおーん: 不味いんだ
[0:35:30] atsumori_pop: 鼻の空気止めて一気に飲むやつね
[0:35:32] たろをまんじ: リコピン取るえ
[0:35:33] しろしろくんどっと: まず朝起きて布団出る時に気分落ち込むからなぁ
[0:35:35] 2525nicolas: 理想のトマト美味い
[0:35:36] zenith_ar: がんばれとか言ったらダメだえ
[0:35:38] 半熟めんま: どうしたの？痩せちゃうよ
[0:35:38] nsgrn__: ちゃるはだいじょうぶかえ？
[0:35:47] すぱ: そういえば今日スパイシーチキンナゲット食べてみたけどほんとに美味しかったえ
[0:35:49] mikenyan089: あ
[0:35:50] ナマコ魚雷: だるw
[0:35:53] とろとろぴく: ニー、ト
[0:35:54] papapapupepon: この時期は落ちん込むよね
[0:35:57] いちぞく: 散歩しなくなっちゃうからなぁ
[0:35:58] yossy_island23: 在宅勤務じゃなかったら僕もしんどかったはず
[0:35:59] しろしろくんどっと: うわ
[0:36:13] huyuuuh: 同じメーン
[0:36:14] yuu00177: 我慢しすぎてんのかなー
[0:36:14] とろとろぴく: 実際そう
[0:36:19] otonashi6209: 1番長生きできそうな生活してるえ
[0:36:21] nyonmenm: うまい飯食えたら幸せや
[0:36:23] ムー1030: ね
[0:36:25] カキ出汁醤油: 日光に当たらないとおなしくなっていくらしい
[0:36:27] katuki1029: 休みたいけどお金は欲しいえ
[0:36:28] とろとろぴく: 休まないより休めないの方が適してそう
[0:36:31] mci_foden: 死ぬまで働くえ
[0:36:33] しぇぱ3: 日本人働きすぎだえ
[0:36:43] yuu00177: そういう時はいっぱい食べるえ
[0:36:45] ピザしか勝たん: 休まないんじゃない、休めないんだ
[0:36:47] ムー1030: ストグラがまんまばんぱいやｗｗｗ
[0:36:54] とろとろぴく: 義務はフォトナやろ
[0:36:56] atsumori_pop: 太陽見ると気分が沈むときもある
[0:36:56] ナマコ魚雷: チャルの配信で気持ちが元気になるえ
[0:36:56] huyuuuh: 日光に当たらなくても元気
[0:36:57] yuu00177: 罪悪感だえ
[0:37:22] ムー1030: 孤独感ないえ？
[0:37:24] すぱ: すべてのお花が友達
[0:37:29] とろくまー: 風強いなぁ
[0:37:34] cheeeeekun: 配信者じゃない世界線だとチャルも病むのかな？
[0:37:44] mci_foden: この喋り方は辛くないんですか？
[0:37:47] ムー1030: ｗ
[0:37:49] とろとろぴく: www
[0:38:03] TYdaaa: パチンコやばかったんだっけ
[0:38:09] とろとろぴく: メンタルブレイクか
[0:38:11] mikenyan089: ノンフィクション
[0:38:12] ふゆ介: 料理関係？
[0:38:18] yossy_island23: でもその頃から稼げてたでしょ？
[0:38:21] しぇぱ3: それ毎日やわ
[0:38:28] icenine_9029: そういう人多いえ
[0:38:33] ムー1030: 絶対やらないｗなぜとったｗｗ
[0:38:33] Run0808: 家業？
[0:38:41] とろとろぴく: 義務仕事
[0:38:48] setunry: なんで撮ったん?免許
[0:38:49] 半熟めんま: 資格と全く関係ない仕事に就くのあるあるだよね
[0:38:59] カキ出汁醤油: モチベーションが保てない仕事はつらい
[0:38:59] らんぱ: 隣の芝生は青いんだえ
[0:39:03] ムー1030: @塩茹えだまめ ありますよねー
[0:39:03] riou18: 辛いのに辞めれないってヤバイえ
[0:39:13] しろしろくんどっと: 日本は転職関係のイメージ悪いから、なかなか会社辞めれないのエグいよね
[0:39:15] oleo0227: その人の苦労はその人にしかわかんねんだえ
[0:39:16] 千葉遼: Cheer1000
[0:39:18] huyuuuh: お金稼げるからいいって訳では無いよな
[0:39:27] すぱ: お金は凄い大事だけどお金だけじゃないの難しいよね
[0:39:33] atsumori_pop: やりたいことやってたら、後からお金が着いてきたってのが理想かもしれん
[0:39:38] とろとろぴく: 行ってて楽しい会社なんてこの世界に10個あるかないか
[0:39:40] ムー1030: ｗ
[0:39:44] cheeeeekun: 美味いもん食うえー
[0:39:44] 葉加瀬太郎にはかせたろう: 社長は最近来てる？
[0:39:45] だーやま4096: デイリーさんだ！！
[0:39:45] ピザしか勝たん: ｗｗｗ
[0:39:46] はっぴーまろ: ww
[0:39:48] Zero_Ax_: ｗ
[0:39:50] huyuuuh: ちばりょさん色んな人に投げててホンマに富豪
[0:39:50] ムー1030: 千葉ありがとうだえ
[0:39:57] ピザしか勝たん: １ビッツ１円なんです？
[0:40:02] shin_misou: 未だにTwitchのビッツ換算できない
[0:40:09] yolu_shikimi: 今日は焼き鳥食べたの？
[0:40:14] いちぞく: 運動不足だえ
[0:40:16] yuu00177: 今日は何食べるえ？
[0:40:26] とろとろぴく: とりあえず数が多ければ嬉しい
[0:40:32] mikenyan089: 今月振り込まれない人いるみたい
[0:40:33] riou18: 整体院行くのおすすめだえ
[0:40:38] papapapupepon: Youtubeの収益はわかりやすいのかえ？
[0:40:54] リスキーダイス: 鍼治療即効性あっていいぞ
[0:40:54] 海猫だおーん: プライムサブスクの分ってどうなってんやろ
[0:41:00] とろとろぴく: アナリティクス見せてくれ
[0:41:05] cheeeeekun: ミルダムとかオープンレックはもうオワコン？？
[0:41:11] レヴィ99: へー
[0:41:16] shin_misou: サブスクはメンバー、ビッツはスパチャ的な？
[0:41:20] atsumori_pop: 男女比どんなもんかえ
[0:41:28] すぱ: youtubeは昔に比べてやっぱ収益減った？
[0:41:40] nyonmenm: ちゃる広告少ないよね
[0:41:42] ムー1030: 見るダム一瞬でしたね
[0:41:49] tanakeeen: ドル換算なんだっけtwich
[0:41:49] eighten810810: 義務ダム
[0:41:58] とろとろぴく: ミルダムしてる人いるけどんー、って感じ
[0:41:59] sigure0113: Youtube最近広告多くて辛い
[0:42:00] pppopppoa: 何億ならいく？笑
[0:42:05] れのだお: チャルのドラクエアーカイブみたい、、
[0:42:07] らんぱ: www
[0:42:08] Kaminagi_TKP: www
[0:42:10] rinnemu75: バロ部門の費用になったみ、るだむ
[0:42:11] karumimaguro: wwwww
[0:42:12] KABAYAKIGG: なるほどw
[0:42:14] hirata923: あれ億とか貰ってた人いたもんね
[0:42:15] ムー1030: ないでしょうね
[0:42:17] 半熟めんま: もう無さそうだよね
[0:42:17] とろとろぴく: もうないねぇ
[0:42:20] tepapa: twitchは赤字続きらしいから無くなるのが心配だえ
[0:42:24] onann92: 金ないぇ
[0:42:24] nqshiko511: ミルダムレベルとかあったよね
[0:42:25] ジヴァ: 義務ダム
[0:42:25] nyonmenm: 見ずらい
[0:42:45] saikeufc: ドラクエやってたよな
[0:42:45] 海猫だおーん: twitchが1番いい
[0:42:46] girotin89: 格ゲー界隈はだいぶ助かったから悪くは言えないっす
[0:42:48] アサダおきろ: オープンレックか!
[0:42:48] shin_misou: 見た見た
[0:42:50] シマシマさん: ありけんがミルダムで寂しそうにストファイやってたのが懐かしい
[0:42:51] katuki1029: 義務ダムは月20時間かな
[0:42:58] atsumori_pop: 韓国は通信料がたけえんだっけね
[0:42:58] 直生: 来月かな
[0:43:03] hirata923: 来月末よね
[0:43:06] 葉加瀬太郎にはかせたろう: そうなったらKR勢どうするんや
[0:43:07] rcyijninjn: ドラクエ配信めっちゃ見てたわ
[0:43:08] nyonmenm: ニコ生に行かないか
[0:43:08] カキ出汁醤油: 韓国のストリーマーは日本に移住するのかな
[0:43:10] ピザしか勝たん: 韓国のツイッチはアーカイブ残らないのがね
[0:43:11] 赤見二等兵: include。。。
[0:43:17] pppopppoa: 観測者と喋る時は普通でいいんじゃない？笑
[0:43:20] とろとろぴく: アーカイブ残らんのがやばい
[0:43:20] tepapa: 韓国は通信事情が大変らしいね
[0:43:26] shin_misou: だるまも昔オプレ
[0:43:28] ムー1030: 日本移住するっていってるやつもいましたね
[0:43:43] ティーセブン: いや、韓国の配信者は収益得られないはず
[0:43:43] ふゆ介: ツイッチ自体は観れるんじゃなかった？
[0:43:43] 葉加瀬太郎にはかせたろう: あ、配信はできるんだ
[0:43:46] ぜろぜろ: CRヤバそう
[0:43:54] hirata923: 韓国にいても確か銀行が日本にあれば大丈夫じゃなかった？
[0:44:00] とろとろぴく: Twitch自体消されるんやないの？
[0:44:07] ふゆ介: 収益化だと思ってた
[0:44:08] しぇぱ3: 配信もダメなんじゃない？
[0:44:09] atsumori_pop: twitchが韓国から撤退じゃないのか？
[0:44:09] ジヴァ: 配信の方じゃないの？
[0:44:10] 湘南マグナム: そうだよ
[0:44:13] 直生: Twitchのサービス全部なくなるから配信も出来ないよ
[0:44:16] ピザしか勝たん: モンドかセリーに聞いた方が早いかもｗｗ
[0:44:18] 海鼠: Twitch自体が韓国から消える？
[0:44:21] 半熟めんま: そうそう
[0:44:22] しぇぱ3: せやんな
[0:44:23] hirata923: え、もんちゃんとかどうすんの？
[0:44:26] tepapa: サービス終了だよ
[0:44:35] とこた: 韓国国民はVPN使わないとTwitchが観れない
[0:44:43] 直生: それダメなんだって
[0:44:48] 海鼠: リスナーが見れなくなっちゃうね
[0:44:52] しろしろくんどっと: 最後にミルダムの名前聞いたの、配信者が制限時間内に投げられたビッツの量で戦い合う悪魔みたいなイベントやってた時だえ
[0:45:03] 葉加瀬太郎にはかせたろう: まあロシアだってVPN使ってインスタ使ってるしそういう感じか
[0:45:10] karumimaguro: そうだね
[0:45:16] とろとろぴく: だえのせいでなんも話がわからん
[0:45:23] 直生: そうね
[0:45:24] atsumori_pop: 脱法twitch視聴・・・ってｺﾄ！？
[0:45:30] 海鼠: 韓国でやってて日本人のリスナーがいる人ならいいけど そうじゃないなら日本に来る意味がない
[0:45:33] 海猫だおーん: そうなるとyoutubeか？
[0:45:37] らんぱ: アフリカTVだえ
[0:45:39] ghosthunt98: まあ来るのは日本向けの人ばっかじゃない？
[0:45:39] プッチンプリン: 登録時に居住地を韓国にした登録者の収益が終了
[0:45:40] しぇぱ3: CRは問題ないな
[0:45:42] とこた: そうね
[0:45:44] tepapa: アフリカTVってとこにみんな行くらしいね
[0:45:46] karumimaguro: アフリカTVきちゃあ
[0:45:51] たかんたでーす: 携帯のアカウントを違う国にするのはダメなんだ
[0:45:54] kaniganisamurai: でも絶対数は減るよね
[0:45:56] TYdaaa: でも日本に住むって結構難そう権利とか
[0:45:58] ふゆ介: そういうことだったんだ
[0:45:59] すぱ: CRの韓国勢ってみんな韓国在住なのかな？
[0:46:06] hirata923: CRはおじじがなんとかしてくれそうやし大丈夫そうやけどな
[0:46:18] じぇーざ: ようつべ、アフリカ行きが濃厚だな
[0:46:18] カキ出汁醤油: 韓国は一応停戦状態だから民間の通信の値段がバリ高い
[0:46:19] pppopppoa: 運営に金かかるんやろなー
[0:46:20] ティーセブン: とはいえ日本移住は日本企業のバックアップがないと厳しいからなあ
[0:46:21] riou18: 韓国は通信料が他国の10倍なんだって
[0:46:23] チェリー0201: ネットが高くて撤退やったはず
[0:46:23] TYdaaa: 韓国の人普通に万の配信者結構いる
[0:46:25] すぱ: 韓国Twitchは通信料が他の国に比べてバカ高いからって理由じゃなかったっけ？
[0:46:25] れのだお: モンド、セリーとかは大丈夫なのか？
[0:46:29] ghosthunt98: 盛り上げるえ
[0:46:31] とろとろぴく: まぁいつかね
[0:46:31] Run0808: 国の政策で国内優遇をしだした
[0:46:32] airplayerx: 韓国はアフリカTVって配信サイトが人気
[0:46:33] 海猫だおーん: こわいえ…
[0:46:33] レヴィ99: Fakerとかも見れなくなるのかな
[0:46:36] Kaminagi_TKP: 流行ってなかったというか通信料の問題じゃないっけ？
[0:46:37] かっぱまん: こわいえ
[0:46:37] ryoukake: 政府の方針が影響してたはず
[0:46:37] 湘南マグナム: 法律変わったらやばいね
[0:46:42] yossy_island23: ふわっちいくえ
[0:46:44] 如月93: アフリカTVはなんかゲーム配信が怪しいらしくてnaverのchzzkが流行ってる
[0:46:47] robin2jr: 日本も格闘勢や釈迦さんいなかったらそうなってたなｗ
[0:46:48] tepapa: ただでさえ会社自体赤字なのにそのでかい赤字を担う原因は切るしかないよね
[0:46:48] atsumori_pop: twitchが通信会社に払う額がデカすぎるから撤退、だよね？？
[0:46:49] 326ma: 赤字の問題は国策やね
[0:46:49] saikeufc: ありけんはそうなったらYouTubeか？
[0:46:50] karumimaguro: ぷんれく
[0:46:52] megaflame35: 日本も今後はわからんで
[0:46:54] 海鼠: 国内の企業優遇した結果Twitchとかに多額の負担を要求？
