[0:00:03] nongtzz: 95
[0:01:26] sutthirat_47: สวัสดีครับพี่เอส
[0:01:26] rachatakonsukeiam: ดีคับลุง
[0:01:26] boatyuytrtyu: สวัดดีครับ
[0:01:27] gus2y: สวัสดีครับพี่เอส
[0:01:27] kimmarach: สวัสดีครับลุง
[0:01:27] milk_fervent: สวัสดีงับลุง
[0:01:27] moeyjaaaaa: ดีค้าบ
[0:01:28] nxpaz: หวัดดีน้าบบบ
[0:01:28] app_pongporn: ดีครับ
[0:01:28] devils_sixs: ดี
[0:01:28] ntnattawut0680: หวัดดีครับ
[0:01:28] Stamp0102: หวัดดีง้าบบบ
[0:01:28] sitthikon_time: ดีครับ วันนี้ตื่นสายมากค้าบบ
[0:01:28] i3ankzzzzz888: ดีงับ
[0:01:29] thanawan87: ดีค้าขบ
[0:01:30] jengnajaa13: หวัดดีค้าบลุงงงง
[0:01:30] bank0273: ดีค้าบลุง
[0:01:31] thanaphat119: ดีคับ
[0:01:31] benz01042547: ดีครับพี่เอส
[0:01:31] poomza2005: ดีครับ
[0:01:31] kiw015: ดีครับพี่เอส
[0:01:31] arowmi: วันนี้ลุงมาช้า
[0:01:31] roing123: ดีครับ
[0:01:32] nasron__suemae555: วันนี้มาช้า
[0:01:32] Pl_iy: rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:01:32] franknahub: ดีคับ
[0:01:32] asffghhjkknvvh: ดีค้าบ
[0:01:33] nuttawut77766: นึกว่าคริ
[0:01:33] nightkrap: วันนี้ เรา จะต้อง ได้ บ้านนนนนนนน
[0:01:34] jamesNjNj: ดีครับลุง
[0:01:34] arinchawanx: fดคับ
[0:01:34] attakorn4884: หวัดดีลุง
[0:01:34] film_too: เย้ๆๆๆๆ
[0:01:34] imyourmajer: D kaaaaa
[0:01:35] sativa_dominant420: สวัสดีครับพี่
[0:01:35] hydraclas: ดีง้าบ
[0:01:35] mrpakapong: รอจรง่วง
[0:01:36] purple_moon_iusupczz: สวัสดีครับพี่เอส
[0:01:36] stdc0: ดีครับ
[0:01:37] banknoi9: ดีค้าบบบบบ
[0:01:37] jxmmy386: หวัดดีค้าบบบ
[0:01:37] duekkdj: ดีหง้าบบบบบบบบ
[0:01:38] nuaybae: ดีครับ
[0:01:38] hey2hey__: หวัดดีครับ
[0:01:38] ponggggg38: ดีครับ
[0:01:39] fhbgjnfyjgyhjgng: ดีครับ
[0:01:39] 466797851: สวัสดีครับ
[0:01:39] love_jak: ดีคับลุงง
[0:01:39] boy00732: ดีครับ
[0:01:39] rickky_martin: ดีครับคุณลุง
[0:01:40] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:01:40] destroy__29: มาแล้วววว
[0:01:40] m_ppp: สวัสดีครับลุง
[0:01:40] samahusamaha: ดีค้าบบบบ
[0:01:40] ohmnarongsak: ดีคับป้าาาา
[0:01:41] purple_moon_iusupczz: สวัสดีนะครับทุกคน
[0:01:41] smin_afk: ดีค้าบบบ
[0:01:41] tafair_2549x: ดีคับบบบ
[0:01:41] deadtodidexxz: ดีค้าบบ
[0:01:42] mick_pp: ดีคับ
[0:01:42] puncharatzx: eapexHaha eapexHaha eapexHaha
[0:01:43] felephantt: ดีคับพี่
[0:01:43] kitzaoo1: วันนี้ลุงลารร.หรอฮ่ะ
[0:01:43] kanatip_1234: ดีง้าบ
[0:01:44] pxech_dekwen: สวัสดีง้้าบบ
[0:01:44] purple_moon_iusupczz: jackey9JackeyDja
[0:01:45] songkan_: ดีค้าบบ
[0:01:45] owenely: ดีค้าบ
[0:01:45] aum8_8: ดีคร้าบพี่เอส
[0:01:45] P_00_M: ดีค้าบบบ
[0:01:45] khinglikeyme: สวัสดีงับบบ
[0:01:45] framjirapat: สวัสดีครับ
[0:01:45] supawit_thai: ดีครับ
[0:01:47] bluletyesssss: ดีค้าบบบ
[0:01:49] feeww_lcf: ดีค้าบ
[0:01:49] benjxminn_: หวาดดีงับบบบบ rebirthztvLove rebirthztvLove
[0:01:49] monxxx123: ดีครับ
[0:01:49] 1millbar: D kab
[0:01:49] BOOZER___AK47: rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove rebirthztvLove
[0:01:49] pinggod12345: มาแล้วววว
[0:01:50] yuinakamura: ดีครับ
[0:01:50] jeffrebirthz: ดีครับบบบบบลุง
[0:01:51] maduhii: ดีครับคุณลุง
[0:01:51] gaju41: ดีค้าบ
[0:01:51] mentosse: สวัสดีคับ
[0:01:51] moe_blackblood: rebirthztvTueng
[0:01:51] suchart__: ดีคับ
[0:01:52] tan_0203: ดีครับลุง
[0:01:52] piaezemap: เพลงไรอ่ะ
[0:01:52] patipat_1234: สวัสดีครับ
[0:01:53] rondorothy: ลุงหวัดดีคร๊าบบบบ
[0:01:53] 0644858344: D kub P S
[0:01:53] methi_909: ดีค้าบ
[0:01:54] mogun_rgb555: ดีครับพี่เอส
[0:01:55] poxd_206: ดีครับ
[0:01:55] arm313131: ดีครับ
[0:01:55] chanon234567: ดีคับ
[0:01:55] xdrugs168: BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump
[0:01:55] sanchai345: ดีคับ
[0:01:55] zaza123123zaza: ดีครับ
[0:01:56] mnggf: ดีค้าบบบ
[0:01:56] microwavexa: ดีครับพี่เอส
[0:01:56] suriya_skanya: ดีคับ
[0:01:56] purple_moon_iusupczz: เพลงดี
[0:01:57] kr008: ดีคับ
[0:01:57] 346ford: ดีค้าบพี่เอส
[0:01:57] 070per: ป้าาาา
[0:01:57] ak_arsy: ดีค้าบ
[0:01:58] blindersj: TransgenderPride
[0:01:58] stamp_oopshot: สวัสดีครับบ
[0:01:58] numaii_: rebirthztvLove rebirthztvLove
[0:01:59] fatezeroone01: แท็กเกมครับ
[0:02:00] plam1245p: ดีครับ
[0:02:00] king_pv: ตอนแรกคิดว่าคริแตก55
[0:02:00] 0639963267: จะหลับก่อนละคืนนี้ดูไม่จบเเน่เลย555
[0:02:00] naini_0: jackey9Mnheart jackey9Mnheart jackey9Mnheart jackey9Mnheart
[0:02:00] babyrid_: ดีค้าบลุง
[0:02:01] kl_fbook7713: สวัสดีค้าบลุง
[0:02:01] fc_rust99: ดีคราบ
[0:02:01] mailuvhf: อาริกกาโตะโปไซมัส
[0:02:01] mikufreedxd01: สวัสดีครับพี่
[0:02:01] expbiwpopo: rebirthztvHaha
[0:02:02] Paipypy: ดีง้าบพี่เอส ดีง้าบพี่ซุบ @purple_purple_iusupczz
[0:02:02] pond0018: ได้ทำการบ้านยังพี่
[0:02:02] via2020z: ดีครับลุง
[0:02:02] Stamp0102: @purple_purple_iusupczz หวัดดีครับพี่
[0:02:03] aj_ezeiei: ดีค้าบ
[0:02:03] 885558: ดีคับ
[0:02:03] wanchana_123: ดีคับ
[0:02:03] flame_paradon: วันนี้โดดเรียนนะลุง
[0:02:03] pomkii2552: เดี๋ยวมานะค้าบ.
[0:02:03] kandavill: หวัดดีคับ
[0:02:04] boyezgamer: สวัสดีครับพี่เอส
[0:02:05] phachara_live: ดีครับ
[0:02:05] Mackey_black_blue: rebirthztvLove rebirthztvLove
[0:02:05] javisyesss: สวัสดีค้าบ
[0:02:07] baskung_kun_jane3_omg_ja_: สวัสดีครับ
[0:02:08] alifderamea34: ดีค้าบบบบบบลุงงง😚😚
[0:02:08] nasron__suemae555: คิดถึงแวนเลยครับ
[0:02:08] Up2Skyy: ดีค้าบทุกโคนนน
[0:02:08] nonnxxx: ดีครับ
[0:02:08] artur_cameron: ดีครับพี่
[0:02:08] xekp: <3
[0:02:09] AriFln: ดีคับ
[0:02:10] boatyuytrtyu: เหนื่อยบ่อครับ
[0:02:10] inumaki_haha: ดีครับ
[0:02:11] win_x_croissants: ดีครับ
[0:02:12] YazirKuechi: vremon1Bue
[0:02:12] ta9964: สวัสดีคับ
[0:02:13] pech_ktm: ดีคับ
[0:02:13] Boat_bm20: !uptime
[0:02:13] Nightbot: Stream uptime 2 minutes, 33 seconds
[0:02:14] Naiijomjun_: ดีคร้าบบบ
[0:02:14] purple_moon_iusupczz: @paipypy สวัสดีจ้าปาย jackey9Mnheart
[0:02:14] Akkadet_16: ดีครับ
[0:02:14] natee097: SeemsGood
[0:02:15] nattakorn_imphraam: ดีครับ
[0:02:15] gamehub111: amndtwCute
[0:02:16] bankweerawit: เพลงไรอะบอกที
[0:02:16] jtsoyclhciyoyupc: ดีน้าบบ
[0:02:16] film_too: คนอยู่ก็สู้ต่อไปคับ
[0:02:16] ナッ: @purple_purple_iusupczz สวัสดีฮ่ะดาบซุป rebirthztvPlease HeyGuys
[0:02:17] lucifer9999991: เดี๋ยวผมมาดูพี่นะ ดูนารูโตะให้จบแปบค้าบ
[0:02:17] 9mocca: ดีครับ
[0:02:17] veeraphat_1105: BibleThump BibleThump BibleThump BibleThump BibleThump
[0:02:18] osuki_jamida: หือ
[0:02:18] pongsakonrtt: ดีครับ
[0:02:18] phanupon2307: rebirthztvAngelTew_BW rebirthztvAngelTew_BW rebirthztvAngelTew_BW rebirthztvAngelTew_BW
[0:02:18] awkgg156: ดีค้าบ
[0:02:19] d_donut_sk: สวัสดีค้าบ
[0:02:19] kenwannphat: สวัสดีครับพี่เอสสุดหล่อครับ
[0:02:19] Inwzaa01: สวัสดีครับพี่เอส
[0:02:20] aong23456678: ดีคับ
[0:02:20] arowmi: SeemsGood
[0:02:20] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:02:20] a0msln_32: สวัสดีครับ
[0:02:20] Periphery32: สวัสดีครับลุง iimebsOla
[0:02:21] tar6789: ดีคับพี่เอส
[0:02:21] inlovehsp: rebirthztvLove
[0:02:21] Rocky_Still: สวัสดีครับพี่เอส rebirthztvLove
[0:02:22] guszii1509: เพลงอะไรหรอแชท
[0:02:22] godaaaaaaaajl: สวัสดีครับ
[0:02:22] DonLa1995: สวัสดีครับเฮีย
[0:02:23] purple_moon_iusupczz: @stamp0102 สวัสดีจ้า rebirthztvLove
[0:02:25] drxam_chana: ดีครับลุง🤍
[0:02:25] tlena_999: คอมเสร็จแล้วพี่เอส
[0:02:25] jirapatazaz: FootYellow FootYellow
[0:02:26] ba_furu: สวัสดีครับ TPFufun
[0:02:27] subarux2: FBCatch FBSpiral FBPass
[0:02:28] falaframe04: ดีค้าบบ
[0:02:29] suaperk: สวัสดีครับ
[0:02:29] phuriphat18: VoHiYo
[0:02:30] snowy_GTR: สวัสดีครับ
[0:02:30] imyourmajer: rebirthztvLove
[0:02:30] godzeed_2007: สวัสดีครับลุง
[0:02:30] kr008: ดีคับ
[0:02:31] auttpol: สวัสดีครับ
[0:02:32] 0644858344: <3 <3 <3 <3 <3 <3 <3 <3 <3
[0:02:32] mmmmmzl: rebirthztvLove rebirthztvLove
[0:02:33] Stamp0102: rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:02:33] becauseofyou001: สวัสดีคับพี่
[0:02:34] purple_moon_iusupczz: @nuttyyyy28 นัทตี้สวัสดีครับ
[0:02:34] stamp_oopshot: rebirthztvPlease rebirthztvPlease rebirthztvPlease rebirthztvPlease
[0:02:35] fatezeroone01: แท็กเกมครับ
[0:02:35] nuaybae: สวัสดีพี่เอส
[0:02:35] puncharatzx: ดีคับ
[0:02:35] icee_pkp_08: jackey9Cute eapexShutup eapexThx
[0:02:36] expbiwpopo: rebirthztvTewดีครับ
[0:02:36] YiwCNP: SeemsGood
[0:02:36] xkdjdjjdje: rebirthztvMc
[0:02:38] dhgvjbc: ดีครับ กว่าจะมาเนอะเสี่ย
[0:02:38] name_2308: ดีคับ
[0:02:38] wanchana_123: สวัสดีคับลุง
[0:02:40] jaylerr17: !คอมพี่เอส
[0:02:40] purple_moon_iusupczz: jackey9Sad
[0:02:41] yanisa_1: สวัสดีคับพี่
[0:02:41] after_asre: ดีคร้าบ
[0:02:41] PRD_RB: @purple_purple_iusupczz พี่ซุปดีฮะ jackey9JackeyDja
[0:02:41] sakariya_: <3 <3
[0:02:42] ohm_vag4my: FamilyMan FamilyMan
[0:02:42] Up2Skyy: @purple_purple_iusupczz สวัสดีค้าบพี่ซุปป
[0:02:42] candyy_yy: สวัสดีค่ะ rebirthztvPlease
[0:02:43] ttawwx: rebirthztvTew
[0:02:43] pech_ktm: @purple_purple_iusupczz ดีคับ
[0:02:43] poom220951: jaliceDUENGGAM
[0:02:43] ice00000009: เพลงไรคับ
[0:02:43] bi_kabb: ดีครับบบบบบบ
[0:02:43] adeep_7419: อิ่มแล้วหรอครับ😂
[0:02:45] yyttaa_015: สวัสดีครับลุงงงงงงงง.
[0:02:45] janepop3029: สวัสดีคับลุง
[0:02:47] tonkla065: ดีครับ
[0:02:47] kitzaoo1: Kappu Kappu Kappu Kappu
[0:02:47] kingchatchai1: สวัสดีพี่เอส
[0:02:48] purple_moon_iusupczz: @re_jak_666 ดีค้าบ jackey9JackeyDja
[0:02:49] mawinxx: ดีค้าบ
[0:02:50] ox101: สวัสดีค้าบพื่เอส
[0:02:50] kenxace: ดีค้าบ
[0:02:50] arisa_85: สวัสดีค่ะ
[0:02:52] Nightbot: ทิ้งเพื่อน rebirthztvTew
[0:02:52] folk100: ดีคร้าบบบบบบบพี่เอส
[0:02:52] fiwfiwgi: นึกว่าไม่มาแล้ว
[0:02:53] MONARCH447: @purple_purple_iusupczz พี่ซุปดีค้าบ
[0:02:53] dozo_n1: ดีครับ
[0:02:53] ARTHUR_X0: ดีครับลุง ต
[0:02:54] thichakron: 
[0:02:54] 007xla: สวัสดีค้าบบบ
[0:02:54] dxholly: rebirthztvTew
[0:02:56] aum1116: สวัสดีครับพี่เอส
[0:02:56] mickppppp: ดีครับพี่จุก
[0:02:56] aumrrdsa: jackey9JAK jackey9JAK jackey9JAK jackey9JAK
[0:02:56] piaezemap: เพลงไรคะ
[0:02:57] plam1245p: @purple_purple_iusupczz ดีค้าบ
[0:02:57] bankktpr: แท็กเกมเป็นnaraka ครับพี่เอสสสส
[0:02:58] phuminan_mos: สวัสดีคับลูกพี่
[0:02:58] bas77_: ดีครับบ
[0:02:58] purple_moon_iusupczz: @pharida_24 น้องเกรซสวัสดีจ้า jackey9Mnheart
[0:02:59] pack999_: ดีครับบบบ
[0:02:59] benz01042547: @purple_purple_iusupczz ดีครับพี่
[0:02:59] phisitzz: ดีครับ
[0:02:59] MsPeeTy: สวัสดีครับพี่เอส
[0:02:59] mark_pear: ดีค้าบบบบบบบบบบบบบบบบบบบบบบบบบบบ
[0:03:00] bcv_pond: ดีค้าบ
[0:03:00] Nenepchi: สวัสดีครับ
[0:03:01] timetry69x: เกมผิด
[0:03:01] nayy_feary: ดีค้าบลุงงง
[0:03:01] zeetar_u: เพลง55555
[0:03:02] tuomdnko: ดีคับพี่เอส
[0:03:03] uromikey: ดีคับ
[0:03:03] subarux2: rebirthztvPlease rebirthztvPlease rebirthztvPlease jackey9JAK jackey9JAK jackey9JAK
[0:03:05] aut2226: !uptime
[0:03:05] coccyz07: สวัสดีคับป๊า
[0:03:05] Nightbot: Stream uptime 3 minutes, 25 seconds
[0:03:06] mkt51: MercyWing1 rebirthztvITA MercyWing2
[0:03:06] Rocky_Still: @purple_purple_iusupczz สวัสดีค้าบผม rebirthztvLove
[0:03:06] gotx99: โอยะเอาชัยชนะไปวันนี้5555
[0:03:06] sitthisak0: ดีคร้าบ
[0:03:07] aong23456678: เพลงอย่างได้
[0:03:07] irewkonlotae_: นารากะเฉย
[0:03:07] rotk38: ดีครับ:)
[0:03:07] privilege1234: ดีครับ
[0:03:07] aopcts: rebirthztvOmg rebirthztvOmg rebirthztvOmg
[0:03:08] nineky01: ดีคับ
[0:03:09] purple_moon_iusupczz: @skyhubz กายดีจ้า jackey9Slp
[0:03:09] jtsoyclhciyoyupc: HungryPaimon HungryPaimon
[0:03:09] juudjuudd: rebirthztvTueng rebirthztvTueng
[0:03:09] kittiwat_47: ดีค้าบ
[0:03:10] kasidit_2007: ดีค่าบบบบ
[0:03:10] jacoflxboy: ลุงหวัดดีคับ
[0:03:11] 0644858344: Squid1 Squid2 Squid3 Squid2 Squid4
[0:03:11] film105: หวัดดีคับ
[0:03:12] pinggod12345: SoonerLate VirtualHug
[0:03:12] godaoque: ดี ครับ
[0:03:13] hellomixixone: สวัสดีครับพี่
[0:03:13] fatggj: ดีคับ rebirthztvPlease
[0:03:13] minggoooooo: ดีครับป้าาาาาาาา
[0:03:13] dhgvjbc: @purple_purple_iusupczz ดีครับคุณพี่ซุบ
[0:03:14] jaylerr17: !คอมพี่เอส
[0:03:15] Oasis_Live_Forever: III
[0:03:16] smokkewow: rebirthztvITA rebirthztvITA rebirthztvITA rebirthztvITA
[0:03:17] nattawut_rk: Dครับ
[0:03:17] anyaaxe_: @purple_purple_iusupczz สวัสดีค้าบบบ🙏🏻💕
[0:03:17] kunanon_boss: ดีงับบบ
[0:03:17] puncharatzx: rebirthztvAngry
[0:03:18] phuriphat18: PansexualPride
[0:03:19] phachara_live: เพลง
[0:03:19] nabeesa: rebirthztvB
[0:03:19] vivcion: @purple_purple_iusupczz ดีค้าบพี่
[0:03:19] purple_moon_iusupczz: @pech_ktm สวัสดีค้าบ jackey9JackeyDja
[0:03:20] y_fon: rebirthztvTew
[0:03:20] black_dragonzz: HungryPaimon HungryPaimon HungryPaimon
[0:03:20] monsusu: ดีครับป๊าาาาาาา
[0:03:21] Stamp0102: rebirthztvAfk rebirthztvAfk
[0:03:22] nattawut_2547: ดีครับบบ
[0:03:23] kengsoyer: ดีครับปู่เอส
[0:03:23] domme0000: Squid1 Squid3 Squid4
[0:03:23] funnyyTH: นี้เพลงไรอะ
[0:03:23] 070per: ดีค้าบป้าาาาา
[0:03:23] basfl: ดีครับลุงตู่
[0:03:23] ARTHUR_X0: ป๊าเเม็ค
[0:03:24] p_achara007: ดีครับ
[0:03:24] mogun_rgb555: @purple_purple_iusupczz ดีค้าบพี่ซุป
[0:03:25] expbiwpopo: SSSsss
[0:03:25] win_x_croissants: เพลงอะไรกันครับเนี้ย5555
[0:03:25] rastanoel_7678: VoHiYo VoHiYo
[0:03:26] bom_nain: jackey9JAK jackey9JAK jackey9JAK
[0:03:26] lucasz477: ดีค้าบลุงงงงงง <3
[0:03:26] zcxasw: ดีครับ
[0:03:26] loma120: ดีครับบ
[0:03:26] sasagi0989: ดีครับนึกว่าไม่มา555
[0:03:26] purple_moon_iusupczz: @benz01042547 เบ้นดีจ้า
[0:03:26] Nightbot: พี่เอสหล่อมาก
[0:03:27] kitzaoo1: TwitchUnity
[0:03:27] songkan0_0: ดีคับบบ
[0:03:28] boyice15: สวัสดีครับ
[0:03:29] mickppppp: EarthDay
[0:03:29] saharus2548: ดีครับลุงง
[0:03:30] lava_itachi: jackey9JackeyDja jackey9JackeyDja
[0:03:31] dozo_n1: twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid twitchRaid
[0:03:31] masterwiriya: รอคำตอบกิโล
[0:03:32] auttpol: ดีครับ
[0:03:32] gonkun01: หวัดดีครับ
[0:03:32] xerdeck: ดีคัาบ
[0:03:34] pota12130: ป๊าาาาาาา
[0:03:34] nasron__suemae555: rebirthztvAfk
[0:03:34] chefbha: เห็นจุกบอกส่งคลิปให้แล้วไหนคับลุง
[0:03:34] Thitisorn007: สวัสดีครับ rebirthztvLove rebirthztvLove
[0:03:36] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:03:36] boomztv8: ดีครับพี่เอส ดีครับ @purple_purple_iusupczz
[0:03:36] jelly_4200: ดีครับ
[0:03:37] bank_rock2533: <3 <3 <3
[0:03:38] purple_moon_iusupczz: @monarch447 บอลสวัสดีจ้า
[0:03:39] impostersung: เพลงเรารักลุงคับ555
[0:03:39] BASSHIBUYA05: ดีค้าบคุณลุงไม่เป็นอ่ะไรค้าบ
[0:03:40] fourgq: รอได้ค้าบ
[0:03:40] auaou: ดีคับป๊า
[0:03:41] stamp_oopshot: ดีค่าบบบบบบบบบบบบบบบบบบบบ
[0:03:41] tunpasurt: LUL LUL LUL LUL LUL LUL
[0:03:41] Ryuseissplus: MercyWing1 RitzMitz MercyWing2
[0:03:42] thanphisit1150: ลุงดีค้าบบบ
[0:03:42] phanuwachomphong: rebirthztvAfk
[0:03:42] Laika_withyou: มาล้าาา
[0:03:42] kqrone_p_p: rebirthztvITA
[0:03:43] aoonging12: ดีค้าบบบ
[0:03:43] aong23456678: สายไหน
[0:03:44] aum8_8: เเท็กเกมเก่าป่ะ
[0:03:44] nattpong_: ดีครับ
[0:03:45] electrostatic5555: ดีงับ
[0:03:45] Eto_AT: Dคับ
[0:03:46] 0644858344: FootYellow FootYellow FootYellow FootYellow
[0:03:46] jaylerr17: คอมพี่เอส
[0:03:46] aum1116: @purple_purple_iusupczz สวัสดีครับพี่ซุป
[0:03:46] kl_fbook7713: ไม่เป้นไรค้าบบ
[0:03:46] Nightbot: i9 7900x gtx 1080ti Ram 32gb 3200 m.2 960 pro 512gb ssd samsung 960 pro 512 x2 psu tt 750w rgb case core P5 ชุดน้ำเปิด
[0:03:46] patcarapon99: CurseLit
[0:03:46] smokkewow: rebirthztvTew
[0:03:46] zeetar_u: เพลงดี
[0:03:47] bank_pollwawt: สวัสดีครับ
[0:03:48] sdf67: หวัดดีครับ
[0:03:48] jxmmy386: มาสายดีกว่าไม่มาค้าบ
[0:03:48] duekkdj: คิดถึ
[0:03:49] kon_c8: ดีค้าบบบ
[0:03:49] mintked: สวัสดีครับ
[0:03:49] gtsxif: ดีค้าบบบบ
[0:03:49] wanchana_123: สวัสดีคับ
[0:03:50] Periphery32: มาช้าดีกว่าไม่มา5555
[0:03:50] minggoooooo: ไม่เป็นไรลุงมาสายก็ดีกว่าไม่มา
[0:03:50] ARDUMX: ดีงับ
[0:03:50] breezehaki: ดีครับ
[0:03:50] ARMWONGSATHORN: ดีครับ
[0:03:50] jinnew_fell: มาสายต้องอยู่นานๆล้าาา
[0:03:50] sixser15y: มาช้าแต่มานะ
[0:03:52] UpzZz2: dครับ
[0:03:52] khnaut_fluke: หัวจะป่วดกับแชทถามว่าลุงมาไหม555
[0:03:52] Okim__: แท็กเกมครับลุง!!!!!!
[0:03:53] Pimchanok_To: ดีค้าบป๊า
[0:03:53] bluesky2580: ดีครับ
[0:03:53] samahusamaha: ห่ะ
[0:03:54] natthawut2005: !คอมพี่เอส
[0:03:54] dxholly: rebirthztvCritical rebirthztvCritical rebirthztvCritical rebirthztvCritical
[0:03:54] MsPeeTy: Cheer10สวัสดีครับพี่เอส
[0:03:54] DonLa1995: lll
[0:03:55] bankweerawit: เพลง-คน นะครับ
[0:03:55] purple_moon_iusupczz: @plam1245p สวัสดีค้าบ jackey9JackeyDja
[0:03:55] juudjuudd: FootYellow
[0:03:56] nutmininab_1234: สวัสดีคัชชชชชช
[0:03:56] mark_markub: หวัดดีคับ
[0:03:56] 070per: ป้าาาาา
[0:03:56] plakay: เพลงชื่อ คน raptery
[0:03:56] ba_furu: TPFufun
[0:03:57] darakovn_: 
[0:03:57] nongmuay999: ดีงับ
[0:03:57] kafiwwww: เพลงอะไร
[0:03:57] funnyyTH: ชื่อเพลงไรค้าบพี่
[0:03:58] cechswift: WutFace WutFace WutFace
[0:03:58] Up2Skyy: ดีกว่าไม่มาา rebirthztvLove
[0:03:59] frive195: ชดเชยด้วยค้าบ
[0:04:00] ninethong55: มาช้าดีกว่าไม่มา
