[2:30:01] flukeskxs: สวยจริง
[2:30:17] leobeer77: ยังๆๆ
[2:30:17] aaumnad: ดูล้ะ
[2:30:17] tonklaa_04: ดูแล้วๆ
[2:30:18] 2fairr: rebirthztv10 rebirthztv10
[2:30:18] purple_moon_iusupczz: StinkyGlitch
[2:30:19] duckkyza: ยัง
[2:30:19] CheckerDabX: ดูเเล้ว
[2:30:19] ddfffzxxxx: ดูเเล้ว
[2:30:20] bomnerndin: ผมยังไม่ได้ดูน้าบบบ
[2:30:20] punpawat_sena: ดูแล้ว
[2:30:20] sonnnnnnnnnaaaa: ดูแล้วววว
[2:30:20] peterluna7799: ดูแล้ว
[2:30:22] PaoYingShul3: ดูแล้ว
[2:30:22] heremos1: เปิดอีกก็ได้ 555555
[2:30:23] PaTonStory: ยังครับ
[2:30:23] pongsiri4455: ดูแล้วป่ะ
[2:30:23] bxngmacz_: ดูแล้ว
[2:30:24] vinsmokesobad: แล้ว
[2:30:24] sansandy_: ดูแล้ว
[2:30:24] fewwisarut: อะไร
[2:30:24] chok5gg: ดูแล้ว
[2:30:24] mamew1230_: ถ้ารสชาติมันเปลี่ยนอาจจะอยู่ที่น้ำยานะลุง
[2:30:26] frame_57good: ดูแล้วนอ
[2:30:26] martinnicora: ยัง
[2:30:27] chitirat: ยัง
[2:30:27] dduumm43: ยัง
[2:30:28] potae001: rebirthztvRun
[2:30:28] aphisitowen01: ยัง
[2:30:28] golfze12: 55555
[2:30:29] jedsada45: ยัง
[2:30:29] taday240: ยังๆๆๆ
[2:30:29] boonmee2543: ดูแล้วเชอวีโก้
[2:30:29] dismon2st: ดูแล้ว
[2:30:30] purple_moon_iusupczz: เปิดใหม่ได้ StinkyGlitch
[2:30:30] peerawat_787: @newookomo ซบที่ไหล่ ครับ
[2:30:30] smokkewow: ยัง
[2:30:30] xenshin0: ยัง
[2:30:31] khettawan_06: ยัง
[2:30:31] toey144p: ยังๆๆๆ
[2:30:31] pawo_thai: ยัง
[2:30:31] thenna99: ย้งงงงงงงงง
[2:30:32] alaweepq: ยัง
[2:30:32] 7ayers: ยัง
[2:30:32] BenzFlintt: ยัง
[2:30:32] boatzippo: ยัง
[2:30:32] thomas_somtoy: ยัง
[2:30:33] beam_050: ยังไม่เห็นเลยย คนอื่นอาจะเห็นเเล้ว55555
[2:30:33] zero_sunzofgod: ยัง
[2:30:33] patipan_6: ดูแลเวว
[2:30:33] kfxv: ดูอีกก็ได้
[2:30:33] bang_kimi: เปิดอีกได้
[2:30:33] kfcotp7899: 110ทรงเชง
[2:30:34] CHAIWAT___2003: ยังงๆ
[2:30:34] dickiesburgh: บางคนยังไม่ได้ดู
[2:30:35] tmr_th: ห้ามเล่นเวฟ นะครับ บัญชีในโทรศัพท์ มันแฮ็กได้ครับ แม่ ผมโดนไป25,000 ครับ เพราะพี่สาวไปแล้วแล้วโดนครับ
[2:30:35] biferan: หลับอะลุง
[2:30:35] QQRR1010: ดูแล้วว
[2:30:35] guysupanut42: ยาวๆไง
[2:30:35] sharkeyb2: ดูอีกก็ได้พี่
[2:30:35] ThAtHeP_56: ยัง
[2:30:36] kitkitkit000000: ยัง
[2:30:36] osaka_casava7: serpico 150
[2:30:37] fifa_5532: ยัง
[2:30:37] mon_warathep: ดูแล้วเชอวีโก้
[2:30:38] papermintx12: ดูแล้วววว
[2:30:38] EAST_BOO: หม้อน้ำลุงใส่ของ Nismo หรือ ยี่ห้ออื่นครับ
[2:30:38] punphat_t: ยังๆๆ
[2:30:38] freestytae: ใช่ๆ
[2:30:40] zbhjtrrnlu: บ้างคนก็ไม่ได้เข้ามาดู
[2:30:40] spslxkxmjdkekd: ยัง
[2:30:40] kasma141: ดูแล้ว
[2:30:40] toey_ey556: ดูแล้ววววว
[2:30:40] patiphan_200x: ใช่ดูแล้ว
[2:30:40] fantasticbkd: ไช่ๆ
[2:30:40] dixkznvzww828: ไช่
[2:30:41] k2nz_2004: ใช่
[2:30:41] paypiimi: ยัง
[2:30:41] petchppz: ดูแล้ว
[2:30:41] enola_kch: ยังงงงงงงงงงงงงงงงงงง
[2:30:41] phoom_don: ดูแล้ว
[2:30:41] yooya113: ดูแล้ว
[2:30:42] juicezzza: ใช่
[2:30:42] por_hrx: ยังงง
[2:30:42] Diw_Trd: ยัง
[2:30:42] tuihdeeia: ใช่
[2:30:42] PXXMOKL: ดูเเล้วลุง
[2:30:42] phuwadon1005: ดูแล้ว
[2:30:42] ナッ: เปิดอีกได้
[2:30:43] norawit11: หนูออกtvแม่ๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
[2:30:43] nobi_nolove_: ใช่
[2:30:43] KoKonthai: 5555555555
[2:30:43] hyperratv: ดูแล้
[2:30:43] TAEPCGAMING: ดูเเล้ว
[2:30:43] narongsak__: ใช่
[2:30:43] teeraphat55: ใช่
[2:30:43] Reindeer_ch: ดูเเล้ว
[2:30:43] purple_moon_iusupczz: ใช่ คันนี้ให้ดูแล้ว
[2:30:44] ly_pwp: ดูแล้ว
[2:30:44] djphom: Tv
[2:30:44] saiadulraman: ยัง
[2:30:44] TwinszTV: ดูแล้ว
[2:30:44] kantron24: ใช่ๆ
[2:30:44] ehuejej: แล่ะ
[2:30:44] newpy_: ใช่
[2:30:45] imyourflxke: ดูเเล้ว
[2:30:45] frame_thanatorn: ดูแล้ว
[2:30:45] Tour_888: ดูแล้ว
[2:30:45] OLDMAN18YEAR: ดูแล้ว
[2:30:45] atsavara: ใช่
[2:30:46] thuanoiz: ดูแล้ว
[2:30:46] rswer127: ช่าย
[2:30:46] chathaipsy: ดูเเล้ว
[2:30:47] anurak_2005: ดูเเล้ว
[2:30:47] leobeer77: ยัง
[2:30:47] nine7913: ลุงจะ ซื้อ Honda Type R ไหมครับ
[2:30:47] janangkaan___: ใช่ดูเเล้ว
[2:30:47] jam_thanatos: ดูแล้ว
[2:30:47] arnaow_elizxbeth: ดูแล้วว
[2:30:47] finland0005: ดูแล้ว
[2:30:48] golfkup69: ดูแล้ว
[2:30:48] allontin_oil: ดูแช้ววววว
[2:30:48] kanasuz: ดูเเล้ววว
[2:30:49] nathatrotchom: ดูแล้ว
[2:30:49] champ_champ__96: ผมดูแล้วแต่บ้างคนไม่ใด้ดูคับ
[2:30:49] granzaxd: ดูแล้วครับ
[2:30:50] wrykt: 3 แสนไง
[2:30:50] naszaza44444444: kr
[2:30:50] just_zxx127: ดูเเล้วๆๆๆๆ
[2:30:50] tasapone001: ดูแล้ว
[2:30:51] pookawkan: ดูแล้วว
[2:30:51] aaumnad: ไช่.
[2:30:51] thai_makup: ใช่
[2:30:52] akadelluna: เว่ออออ
[2:30:52] pon7736635: ดูแล้ว
[2:30:52] natchanonch: ดูแล้ว
[2:30:52] mosxxxxxx: สวย
[2:30:53] aekkapopm: แล้ว
[2:30:53] PaoYingShul3: ภาพเดิม
[2:30:53] tong_99999: ดูแล้ว
[2:30:54] aoy__08: ดูเเล้ว
[2:30:54] pitchayut2544: สวยจัด
[2:30:54] Snai1Nox_: ดูแล้วววววววว
[2:30:55] wasdwasdxxyz: สวยจางง
[2:30:56] poyparin: กรี๊ด supra
[2:30:57] Merxlikeyou: rebirthztvShy rebirthztvShy
[2:30:58] my_rorikon: ดูแล้ว ผ
[2:30:59] ffkkvh: ทําแข่งหรอลุง
[2:30:59] tae_srw_: ดูอีกครับ
[2:31:00] alongkornzaa: ดูแล้วเมื่อวาน
[2:31:00] pleum_modxtyzzz: เอาดี
[2:31:01] tiwly_77: ไอ้คนทร่บอกว่ายังหลับป่าววะ
[2:31:01] ittipat_102: ดูละๆ
[2:31:02] best_wasurat567: เซอร์ปิโก้
[2:31:04] bineney: SUPRAAAAAAAAAAAAAA
[2:31:05] johnnyy___07: ใช่
[2:31:07] seenoomth: มีตัวขับยังงับ
[2:31:07] frame_57good: แชทมาปั่นม
[2:31:08] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[2:31:09] memsisasis: ทรงเชง
[2:31:11] phethaynothere: คันซ้ายสวยจัด
[2:31:12] waranyu_26: ลำลายJAK
[2:31:12] bambii_44: โหววววววว
[2:31:12] cutemaru: เอามาลุงต้องบิดทุกวัน ข้างบ้านอวยพรแน่
[2:31:13] PXXMOKL: ข้างหลัง
[2:31:14] ten______ten: พี่ต้องทำท้ายR1ถึงหล่อ
[2:31:15] kunlov: เอาลงแข่งสนามไหม
[2:31:15] roing123: เชรดลุงทำรถแข่งรุ่นถังเดิม
[2:31:16] marzotvvv: ทำสติ้กเกอร์ขายมะลุง แข่งกับวัดท่าไม้
[2:31:17] filmdemo89: เปิดกล่องงงง
[2:31:17] aphisitowen01: ทรงพลัง
[2:31:19] purple_moon_iusupczz: vremon1Lol
[2:31:19] TlANN_: มีท่อJakมั้ยครับ
[2:31:22] manman19111: ทรงซ้อ
[2:31:22] janangkaan___: เพลงไรอ่ะลุง
[2:31:23] basterbitxh: เรียกเขาว่า เอสลาย ศาลายา
[2:31:24] MaithaiJaitawan: ลงสนามไหมหรือจอด
[2:31:25] petchppz: ทำ300k  วิ่ง8วิ ถ้าชนก็ซ่อมอีก3เดือน5555
[2:31:29] khunvit: @seenoomth โจโจ้ เขาทองขับ
[2:31:30] taballsoiton: ทำสติกเกอร์บ้างคับลุง
[2:31:31] chok5gg: 34สู่เทวดาตัวน้อย
[2:31:31] adisak_suthisan: ท้ายjak เลยหรอลุง55555
[2:31:32] nuch_eiei123: @tiwly_77 ก็เขาอาจจะดูไม่ทันป่าวเเล้วเราเป็นไรอ่ะ
[2:31:34] PaTonStory: ผมยังไม่ได้ดูเพราะผมหลับคาตรีมลุง
[2:31:35] mane254: ที่พี่จะทำเค้าเชงกันเป้นล้านเลยคับพี่
[2:31:36] my_rorikon: ลุงต้องบิดท่อตอนเที้ยงคืนอะครับ แบบดังๆ 55555
[2:31:36] remix_eiei: ดำขาวเท่จัดเลยนะลุง
[2:31:38] bob7701: ลุงลองฟังเพลงของผมหน่อยได้ไหมครับถ้าไม่รบกวน :ใช้คำว่าคิดถึงได้เปลืองมากๆ
[2:31:40] jeremyst1: ส.จ.เอส
[2:31:48] pitchayut2544: อยากได้สติกเกอร์Jak กี่บาทครับลุง
[2:31:51] purple_moon_iusupczz: @marzotvvv ตั้งแต่มีประเด็น ก็ไม่เห็นสติ๊กเกอร์วัดท่าไม้อีกเลยนะ StinkyGlitch
[2:31:53] Tour_888: NotLikeThis
[2:31:54] janangkaan___: @purple_moon_iusupczz เพลงไรอ่ะพี่ซุปรู้ไหมครับ
[2:31:59] aphisitowen01: 34ต้องใส่หมวกกันน็อกขับนะลุง
[2:32:00] sueaar92: ลุงงงงงงงงงงงงงงงงงงงงงงงงงงงงง
[2:32:00] One_GodGG: jackey9JackeyLOL jackey9JackeyLOL
[2:32:01] roing123: สอ ศาลายา ของจริง55555
[2:32:03] yooya113: 5555555555
[2:32:05] frame_57good: ซบที่ไหล่
[2:32:06] petchppz: เป๊ะ
[2:32:07] mm_200x: เป๊ะ
[2:32:08] purple_moon_iusupczz: @janangkaan___ ซ่บที่ไหล่
[2:32:10] bom0987: อยากเห็นทีมJak จัดมิตติ้ง สำหรับแฟนๆอะคับ
[2:32:11] retuenone: ลุงเปิดเซิฟมากี่ปีเเล้วคับขอยาดถาม
[2:32:11] fahhz: 55555555
[2:32:11] badvibeeiei: 55555555555555555555555555555
[2:32:13] cat_ninez: เป๊ะ
[2:32:14] art5466: พี่จุกสตริมไหนค้าบบบบบ
[2:32:15] THananan44877: @janangkaan___ ซบที่ไหล่
[2:32:15] NewLASIOz: เป๊ะ
[2:32:15] bonglaa1994: ชัดเลย
[2:32:15] narongsak__: เป๊ะ
[2:32:15] golfze12: เพลงเอาเรื่อง 55555
[2:32:16] Nonthapatt_1: 555555
[2:32:16] filmz_pakorn: เอ๊ะ5555555555555555
[2:32:16] tang_mayyyy: 5555
[2:32:16] Babyflukey: jackey9Huphup jackey9Huphup
[2:32:16] CKNanz: rebirthztvRich rebirthztvRich
[2:32:16] dickiesburgh: เพลงนี้ไอแจ็คล่อลุงอยู่
[2:32:17] purple_moon_iusupczz: เค อีกละเพลงนี้ StinkyGlitch
[2:32:17] cutemaru: เป๊ะ555555
[2:32:17] back_007: เคร
[2:32:18] xnewbiexxx: 555555
[2:32:18] fresh13ac: 5555555555
[2:32:18] stefan_allday: เป็ะะะะ
[2:32:19] nest5669: 55555
[2:32:19] k0rnz4: 5555
[2:32:20] cuz_iu: รู้ใจ300%
[2:32:21] noodeeeeee: jackey9JackeyLOL
[2:32:22] zomintdontcry: คุ้นๆ5555555555
[2:32:22] lionwisdom: เป๊ะจัด555
[2:32:23] teeraphat55: เค
[2:32:25] zeeyoua: เป๊ะ
[2:32:25] peerawat_787: @janangkaan___ ซบที่ไหล่ ครับ
[2:32:25] jamelyxd: minoruLalla minoruLalla minoruLalla
[2:32:25] k_h_a_m: 555
[2:32:26] pon7736635: เปณะ
[2:32:26] marzotvvv: @purple_moon_iusupczz 555555 เด้ะนี้ผมเห็น ยันหลวงพ่อกวยนะ แต่สวยดี
[2:32:26] janangkaan___: SeemsGood
[2:32:26] onlyone_p_: เป๊ะ
[2:32:28] eveeee_12: ชัด556655555
[2:32:29] ta9898989: เเจ้กเข้ามาในหัวทันที
[2:32:32] aphisitowen01: เพลงได้จัด
[2:32:32] howtwo1222: เปิดใจให้ขี้เหล้าแหน๊555
[2:32:35] shadesx_wex: เหมือนเป๊ะเลยBy แจ็คกี้555
[2:32:35] yooya113: คุ้นๆ5555555 เพลง afk
[2:32:35] purple_moon_iusupczz: @marzotvvv rebirthztvHa
[2:32:37] One_GodGG: ผับ 1.0 จะเจริญกว่าหลักและคอนเทนมากมายแน่นอน jackey9JackeyLOL
[2:32:39] pokpong_m: @purple_moon_iusupczz ดีครับพี่ชายยย
[2:32:41] aomsinz__stp: jackey9Haehae
[2:32:42] eng1301: โหหลุงเพลงมาจัดดด
[2:32:42] badvibeeiei: เป๊ะเลย555555555555555555555
[2:32:44] psfrankxd: เปิดใขแหน่ๆๆๆ BrokeBack BrokeBack
[2:32:44] petchppz: แล้วลุงก็จะร้องท่อนฮุกท่อนเดียว
[2:32:44] fahhz: เปิดละไปห้องน้ำ ชัดเลย55555
[2:32:48] TopKub08: 5555555555
[2:32:48] sittikornmen: เป๊ะจ้าดดดด
[2:32:49] purple_moon_iusupczz: @pokpong_m สวัสดีจ้า rebirthztvLove
[2:32:51] bossrambo11: เพลงafk
[2:32:52] biferan: เปิดจัยให้ขี้เหล้าเเนี
[2:32:53] chok5gg: ลุงตอกสดๆ
[2:32:53] jirayu_017: โอเคเพลง
[2:32:55] carbonarax06: @one_godgg อันนี้แอบเห็นด้วย
[2:33:01] purple_moon_iusupczz: StinkyGlitch
[2:33:01] babycruz: babyju8Aroi babyju8Aroi babyju8Aroi babyju8Aroi babyju8Aroi
[2:33:02] howtwo1222: อิโซเก
[2:33:03] new_sparrow: jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:03] minpiss: เป๊ะ jackey9JackeyLOL jackey9JackeyLOL
[2:33:04] bambii_44: เปิดใจให้ขี้เหล้าแหน่
[2:33:04] someone9545: อย่างเป๊ะ
[2:33:04] babysadboy_: StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch
[2:33:04] zayaka007: jackey9Huphup jackey9Huphup
[2:33:07] ddfffzxxxx: RlyTho RlyTho RlyTho
[2:33:07] Nattapon_Sanngern: พี่โนหายไปไหนครับ ไม่เห็นเลย
[2:33:07] art5466: พี่จุกสตรีมไหน
[2:33:08] laser999999: ชัดเลย
[2:33:08] pvkstp: 55555555
[2:33:09] babynoop: Mvอย่างเข้า
[2:33:10] mosnewrid: rebirthztvHaha rebirthztvHaha
[2:33:11] kaim_02: เพลงเหมือนแจ็คกี้เปิดเลยแล้ว บอกผมไปเยี่ยวมา
[2:33:11] rain5y: StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch
[2:33:13] SOCZ4CK: jackey9Huphup jackey9Huphup
[2:33:13] thissadee: jackey9Huphup
[2:33:14] oni03737: สงสารแม่ค่ากาแฟน โดนoc
[2:33:15] nuylnan: rebirthztvRuraa rebirthztvRuraa
[2:33:15] jackkey13: StinkyGlitch StinkyGlitch
[2:33:15] PaTonStory: เพลงมาแปลกวันนี้555
[2:33:15] mmanow__: แจ็คเอาเหมือนจัดวันนี้อะ 55555
[2:33:15] Gotz2_: @purple_moon_iusupczz ดีครับพี่
[2:33:16] ying_g_g: เป้ะเรย55555
[2:33:16] minntjd: rebirthztvRun
[2:33:17] kim_songrit: อิสโสเค้
[2:33:17] boyjaa_25: boyjaaaaaaaa subscribed at Tier 1. They've subscribed for 5 months! 5 เดือนแล้วคับ
[2:33:18] sprite_1999: StinkyGlitch
[2:33:18] lumpan11: เพลงดีจัด
[2:33:18] tungx2x: jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:18] numaii_: เพลงนี้5555
[2:33:18] petchppz: อย่างกับเปิดรีรันอ่ะ
[2:33:18] TopKub08: jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:19] boat_suwit: jackey9Huphup jackey9Huphup
[2:33:19] jaotimeee: jackey9Huphup jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:19] vinsmokerm: rebirthztvRich rebirthztvRun
[2:33:21] Oattphon074123Per: เปิดใจให้ขี้เหล้าเเน่่่
[2:33:21] k2nz_2004: Squid1 Squid2 Squid3 Squid2 Squid4
[2:33:21] One_GodGG: ความรู้มันบ่งบอกแบบนี้ jackey9JackeyLOL jackey9JackeyLOL
[2:33:21] bom0987: เชะๆๆ
[2:33:21] t0p_pk: อ้า มาละ คำต่อไป55
[2:33:21] jaoboaa: ตกใจเพลงเลยนึกว่าเข้าผิดช่อง5555
[2:33:23] purple_moon_iusupczz: @nattapon_sanngern พี่โนป่วยครับ รักษาตัวอยู่
[2:33:23] kink0039: @art5466 บ้านครับ
[2:33:24] j_r_n_a: PowerUpL Squid3 Squid2 Squid4
[2:33:24] dada__24: 5555
[2:33:24] teeraphat55: Mvเข้าจัด
[2:33:25] ta9898989: มาเเล้วๆ555
[2:33:25] tigher18: xerxlololHippp xerxlololHippp xerxlololHippp xerxlololHippp xerxlololHippp xerxlololHippp
[2:33:26] r_i_w_: แจ็ครู้อนาคต
[2:33:27] gboyyy1: Mvเข้าอยู่นะ5555
[2:33:27] bedinomoz: เป๊ะเกินนน 5555555
[2:33:27] x_armreds_x: รู้จักแล้วจะรักผมเอง BY.เอส ศาลายา
[2:33:31] phaer1177: migbizYoyo
[2:33:31] janangkaan___: jackey9Huphup jackey9Huphup
[2:33:33] arnotvader: jackey9Huphup jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:33] yooya113: jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:34] fogg_yyy: rebirthztvHaha
[2:33:34] purple_moon_iusupczz: @gotz2_ ดีจ้าน้องชุย rebirthztvLove
[2:33:34] eng1301: มาจาดดด
[2:33:35] winwinnnnnnnnnnnnn: jackey9Huphup jackey9Huphup
[2:33:35] alex1ndeq: jackey9Huphup jackey9Huphup jackey9Huphup
[2:33:37] MaithaiJaitawan: jackey9Huphup jackey9Huphup
[2:33:37] someone9545: เดจาวูจัดเลย5555
[2:33:37] Chulapapi: arthur387Arthurhp arthur387Arthurhp
[2:33:39] yoooooooyyyy: rebirthztvRich rebirthztvRich rebirthztvRich
[2:33:39] MaprAnG_o9: KappaPride
[2:33:41] bambii_44: โย่วๆ
[2:33:44] basterbitxh: เรียกเขาว่า เอสลาย ศาลายา หัวหน้าทริป ฟันไม่แปรง แมงกินฟัน
[2:33:54] gxrlaka_gxrfiiw: KappaPride KappaPride KappaPride
[2:33:58] jgcnifckkhg: มีดกับปืน
[2:34:17] loveaqwl: สวัสดีพ่อใหญ่แม็ก
[2:34:18] bigbear_r: 555555555
[2:34:19] purple_moon_iusupczz: rebirthztvHa
[2:34:20] hajamoy2000: Tcเสจแล้วลุง
[2:34:20] TAEPCGAMING: 555555
[2:34:21] heremos1: เค 5555555555
[2:34:22] eng1301: ตึงงจาดดดด
[2:34:22] delta2552_: 5555
[2:34:23] PaTonStory: rebirthztvHuh rebirthztvHuh rebirthztvHuh
[2:34:23] aomsinz__stp: 555555
[2:34:25] iTeeHiD: เท่เลย
[2:34:25] gchet69: จัดไป
[2:34:26] MaithaiJaitawan: เค
[2:34:26] topzana107: ยุบมาซวย
[2:34:27] teeraphat55: เค
[2:34:28] Anos_VDG: ยุบ5555
[2:34:29] marzotvvv: พี่เอส วันว่างๆ55555
[2:34:29] purple_moon_iusupczz: มีดราม่าอยู่นิ rebirthztvHa
[2:34:29] Nightbot: พี่เอสหล่อมาก rebirthztvNarukeu
[2:34:30] biferan: 55555
[2:34:31] yooya113: 5555
[2:34:32] QQRR1010: 555555
[2:34:32] al_al_ai_: ละก็เข้าอู่ต่อ
[2:34:33] foto911: IG!
[2:34:33] lucifer_max666: รถกู
[2:34:34] One_GodGG: เอาดี
[2:34:34] jaydurkdandara: ลุงฟังเพลงใหม่66ยังคระบ
[2:34:35] milden_moo: 5555555555555
[2:34:36] roing123: วันว่างๆ v3 5555555
[2:34:37] cuz_iu: เข้าอู่ต่อเลย
[2:34:38] vinsmokerm: แม่ย่าหน้าไม่ช่วยจ่ายค่าทำรถนะลุงงงงงง
[2:34:40] Non__45: 5555555555
[2:34:41] new_sparrow: แป๊บเดียวก็จะสิ้นเดือนแล้วอ่ะลุง jackey9NahGray
[2:34:41] J0w_GreeN: โนสน โนแคร์55555
[2:34:42] freestytae: 555555555
[2:34:42] someone9545: 55555555
[2:34:44] purple_moon_iusupczz: บูมๆ
[2:34:44] somfukubb: รถญี่ปุ่นไม่มีแม่ย่านางงง
[2:34:44] mrnatthawutza: 555555555555555555555
[2:34:45] badvibeeiei: 55555555555555555555555555555555555555
[2:34:45] tanakornnn_: 555555
[2:34:45] i_kuyy: 5555
[2:34:45] mosnewrid: แม่ยายนางไม่ได้จ่ายนิ55555
[2:34:46] MewExplosivE: 5556666
[2:34:46] petchppz: ดวลมีดกับเซิคหน่อยค้าบบบ อยากเห็นเซิคคอเป็นเอ็น
[2:34:46] febrerol: 5555555555555555
[2:34:46] z_opxlliss: 555555555
[2:34:47] sparklingw4ter: แหม๊ 5555555
[2:34:48] golfze12: ฝากระโปรงแพงกว่า หลังคา -,-
[2:34:49] moomazie: 55555555
[2:34:50] Tour_888: บูมกลัวโดนทิ้ง
[2:34:50] donsai420: 5555555 บูมกลัว
[2:34:50] tharathip_0: บูมๆๆๆ
[2:34:50] wasdwasdxxyz: 55555555
[2:34:50] dodorex_12: ไม่ตอก
[2:34:51] watchara4848: ทำไม ฝรั่งไม่มีแม่ยางนางอะลุง 5555
[2:34:52] janenyy18: 5555555555 บูมกังวล
[2:34:52] sornpichai7743: บูมกลัว
[2:34:52] maikm_134: บูมกลัวว
[2:34:53] DELANEY_DAY: พพรคเพื่อลุง555
[2:34:53] FuseFufy: เงินเรา เขาเงือก
[2:34:54] tigher18: 5555
[2:34:54] copepp: 55555555
[2:34:54] delta2552_: 5555
[2:34:54] oni03737: แม่ฌ่านางไม่อยู่ตั้งแต่ลุงขับ300ละ
[2:34:54] ray_430dp: 55555
[2:34:56] cheer_11: rebirthztvHa rebirthztvHa rebirthztvHa
[2:34:57] noodeeeeee: บูมกลัวจัด55555555
[2:34:59] markjak007: กลัว
[2:35:00] eng1301: บูมกลัวจิงๆๆๆ
[2:35:02] yecgaa1081: แม่ย่านางได้เปนคนซื้อไห้ไมละ555
[2:35:02] bob7701: พรรคเพื่อลุง5555555
[2:35:03] thayor_ch1: 55555555
[2:35:04] luciano_th3: 5555555555
[2:35:06] carbonarax06: อยู่เถอะะะะ
[2:35:06] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[2:35:08] WoonSenn87: 55555555
[2:35:09] my_rorikon: 5555555555 พรรคเพื่อลุง หายเข้ากลืบเมฆไปแล้ว เก็บเข้าซอกของซอกและซอก
[2:35:10] Non__45: 555555555
[2:35:12] purple_moon_iusupczz: rebirthztvHa
[2:35:12] heremos1: 5555555555555555
[2:35:12] someone9545: พรรควันเดียว
[2:35:13] onlyone_p_: 555555555
[2:35:14] peww555: รถ
[2:35:14] beam_050: 5555555555555
[2:35:17] sansanna07: อยากดูรถแล้ว
[2:35:18] ナッ: แล้วแต่เวรแต่กรรมนะบูม rebirthztvHa
